,ExpDate,Maximum Pain,Highest Premium Strike,Highest DFSxOI Strike,Top 2 OI Strikes,ITM P/C Ratio,Top 5 ITM OI Calls,Top 5 ITM OI Puts,Top 5 OI Calls,Top 5 OI Puts
0,2023-02-17,60.0,60.0,20.0,"{50.0: 6873.0, 35.0: 6771.0}",0.010749850029994,"[(65.0, 4898), (70.0, 4435), (60.0, 3793), (75.0, 3406), (55.0, 2517)]","[(80.0, 61.0), (85.0, 61.0), (77.0, 49.0), (81.0, 40.0), (78.0, 37.0)]","{90.0: 6240, 65.0: 4898, 85.0: 4509, 70.0: 4435, 60.0: 3793}","{35.0: 6673.0, 30.0: 5294.0, 45.0: 5184.0, 50.0: 5091.0, 40.0: 3773.0}"
1,2023-02-24,57.0,60.0,25.0,"{25.0: 2509.0, 50.0: 1409.0}",0.011325659116227255,"[(70.0, 1147), (75.0, 1066), (64.0, 835), (60.0, 778), (65.0, 686)]","[(76.0, 45.0), (82.0, 23.0), (79.0, 12.0), (80.0, 10.0), (77.0, 9.0)]","{70.0: 1147, 75.0: 1066, 64.0: 835, 60.0: 778, 65.0: 686}","{25.0: 2505.0, 40.0: 938.0, 50.0: 844.0, 35.0: 624.0, 56.0: 593.0}"
2,2023-03-03,60.0,65.0,38.0,"{65.0: 798.0, 60.0: 655.0}",0.006908904810644831,"[(65.0, 725), (70.0, 599), (67.0, 480), (71.0, 247), (60.0, 159)]","[(76.0, 10.0), (85.0, 10.0), (77.0, 7.0)]","{65.0: 725, 70.0: 599, 67.0: 480, 100.0: 289, 95.0: 263}","{60.0: 496.0, 45.0: 399.0, 55.0: 396.0, 40.0: 393.0, 38.0: 349.0}"
3,2023-03-10,54.0,54.0,40.0,"{70.0: 219.0, 45.0: 185.0}",0.0,"[(70.0, 196), (65.0, 111), (54.0, 96), (63.0, 92), (75.0, 90)]",[],"{90.0: 452, 70.0: 196, 65.0: 111, 54.0: 96, 63.0: 92}","{45.0: 183.0, 50.0: 139.0, 55.0: 99.0, 52.0: 80.0, 60.0: 61.0}"
4,2023-03-17,55.0,55.0,20.0,"{35.0: 8401.0, 30.0: 7796.0}",0.0067530427954456225,"[(65.0, 2526), (70.0, 2463), (55.0, 2127), (75.0, 1724), (60.0, 1665)]","[(80.0, 39.0), (90.0, 18.0), (100.0, 16.0), (95.0, 7.0), (85.0, 5.0)]","{100.0: 3355, 85.0: 2592, 65.0: 2526, 70.0: 2463, 110.0: 2393}","{35.0: 8212.0, 30.0: 7783.0, 45.0: 3911.0, 40.0: 3504.0, 50.0: 3030.0}"
5,2023-03-24,60.0,55.0,45.0,"{55.0: 537.0, 45.0: 283.0}",0.0,"[(69.0, 220), (60.0, 198), (55.0, 176), (65.0, 119), (63.0, 39)]",[],"{69.0: 220, 60.0: 198, 55.0: 176, 65.0: 119, 95.0: 98}","{55.0: 361.0, 45.0: 278.0, 46.0: 214.0, 56.0: 209.0, 47.0: 167.0}"
6,2023-03-31,60.0,68.0,47.0,"{67.0: 346.0, 54.0: 167.0}",0.0,"[(67.0, 345), (68.0, 202), (71.0, 107), (75.0, 74), (70.0, 42)]",[],"{67.0: 345, 80.0: 329, 68.0: 202, 85.0: 137, 71.0: 107}","{54.0: 166.0, 60.0: 68.0, 47.0: 43.0, 48.0: 42.0, 56.0: 23.0}"
7,2023-04-21,60.0,60.0,22.5,"{30.0: 3840.0, 35.0: 2753.0}",0.02954481198756008,"[(60.0, 1525), (65.0, 1517), (70.0, 1458), (75.0, 981), (55.0, 504)]","[(120.0, 79.0), (80.0, 51.0), (85.0, 44.0), (90.0, 24.0), (95.0, 6.0)]","{100.0: 1555, 60.0: 1525, 65.0: 1517, 70.0: 1458, 75.0: 981}","{30.0: 3818.0, 35.0: 2724.0, 50.0: 2144.0, 45.0: 1551.0, 55.0: 1319.0}"
8,2023-06-16,55.0,60.0,20.0,"{50.0: 9857.0, 45.0: 8949.0}",0.22696245733788395,"[(60.0, 2317), (55.0, 1709), (70.0, 1694), (65.0, 1298), (75.0, 942)]","[(85.0, 1192.0), (80.0, 457.0), (90.0, 205.0), (105.0, 69.0), (95.0, 58.0)]","{60.0: 2317, 100.0: 1895, 55.0: 1709, 70.0: 1694, 80.0: 1533}","{50.0: 9238.0, 45.0: 8518.0, 40.0: 3628.0, 30.0: 3247.0, 35.0: 2169.0}"
9,2023-07-21,65.0,85.0,20.0,"{30.0: 2035.0, 40.0: 1888.0}",0.5215502839959907,"[(70.0, 593), (65.0, 588), (75.0, 511), (50.0, 336), (55.0, 284)]","[(80.0, 806.0), (85.0, 393.0), (100.0, 161.0), (90.0, 107.0), (95.0, 94.0)]","{85.0: 1392, 80.0: 825, 70.0: 593, 65.0: 588, 75.0: 511}","{30.0: 1786.0, 40.0: 1755.0, 35.0: 1609.0, 55.0: 1352.0, 45.0: 866.0}"
10,2023-09-15,55.0,60.0,20.0,"{60.0: 4105.0, 40.0: 3285.0}",0.016597510373443983,"[(60.0, 3898), (40.0, 1834), (65.0, 869), (75.0, 311), (55.0, 244)]","[(100.0, 77.0), (85.0, 29.0), (90.0, 11.0), (80.0, 7.0)]","{60.0: 3898, 40.0: 1834, 65.0: 869, 90.0: 476, 80.0: 400}","{50.0: 1502.0, 40.0: 1451.0, 35.0: 1448.0, 45.0: 1045.0, 65.0: 274.0}"
11,2024-01-19,90.0,90.0,20.0,"{90.0: 2944.0, 60.0: 2818.0}",0.9885567491826249,"[(40.0, 832), (70.0, 699), (60.0, 670), (65.0, 580), (45.0, 383)]","[(80.0, 1001.0), (90.0, 801.0), (85.0, 684.0), (115.0, 374.0), (105.0, 367.0)]","{520.0: 2790, 300.0: 2256, 120.0: 2146, 90.0: 2143, 200.0: 1643}","{45.0: 2213.0, 60.0: 2148.0, 30.0: 2008.0, 40.0: 1612.0, 35.0: 1139.0}"
