,ExpDate,Maximum Pain,Highest Premium Strike,Highest DFSxOI Strike,Top 2 OI Strikes,ITM P/C Ratio,Top 5 ITM OI Calls,Top 5 ITM OI Puts,Top 5 OI Calls,Top 5 OI Puts
0,2023-03-03,70.0,70.0,25.0,"{70.0: 2830.0, 60.0: 2083.0}",2.9402427637721757,"[(55.0, 424.0), (62.0, 362.0), (61.0, 330.0), (60.0, 244.0), (56.0, 115.0)]","[(70.0, 1471.0), (65.0, 728.0), (75.0, 529.0), (63.0, 478.0), (68.0, 427.0)]","{70.0: 1359.0, 90.0: 1034.0, 100.0: 1032.0, 85.0: 993.0, 65.0: 926.0}","{60.0: 1839.0, 70.0: 1471.0, 49.5: 1004.0, 55.0: 972.0, 40.0: 968.0}"
1,2023-03-10,70.0,74.0,30.0,"{30.0: 2552.0, 70.0: 610.0}",3.148936170212766,"[(54.0, 90.0), (60.0, 65.0), (58.0, 63.0), (56.0, 49.0), (55.0, 48.0)]","[(65.0, 297.0), (70.0, 254.0), (63.0, 239.0), (74.0, 228.0), (75.0, 168.0)]","{90.0: 491.0, 70.0: 356.0, 75.0: 351.0, 80.0: 226.0, 95.0: 211.0}","{30.0: 2551.0, 40.0: 496.0, 60.0: 310.0, 65.0: 297.0, 46.0: 293.0}"
2,2023-03-17,70.0,70.0,20.0,"{35.0: 8413.0, 30.0: 7666.0}",1.598326359832636,"[(55.0, 2110.0), (60.0, 1667.0), (50.0, 1149.0), (45.0, 452.0), (40.0, 342.0)]","[(65.0, 3250.0), (70.0, 2433.0), (75.0, 769.0), (67.0, 554.0), (68.0, 531.0)]","{100.0: 4194.0, 90.0: 3402.0, 110.0: 3328.0, 75.0: 2910.0, 95.0: 2699.0}","{35.0: 8224.0, 30.0: 7654.0, 40.0: 4598.0, 50.0: 4022.0, 45.0: 3691.0}"
3,2023-03-24,65.0,90.0,45.0,"{55.0: 856.0, 71.0: 765.0}",3.424299065420561,"[(60.0, 184.0), (55.0, 177.0), (50.0, 28.0), (52.0, 17.0), (58.0, 16.0)]","[(70.0, 487.0), (90.0, 355.0), (63.0, 345.0), (65.0, 228.0), (66.0, 76.0)]","{71.0: 729.0, 69.0: 370.0, 100.0: 344.0, 65.0: 287.0, 60.0: 184.0}","{55.0: 679.0, 70.0: 487.0, 46.0: 447.0, 56.0: 422.0, 90.0: 355.0}"
4,2023-03-31,67.0,67.0,40.0,"{80.0: 665.0, 67.0: 411.0}",3.134259259259259,"[(56.0, 34.0), (60.0, 26.0), (62.0, 25.0), (54.0, 21.0), (55.0, 20.0)]","[(69.0, 140.0), (70.0, 106.0), (65.0, 93.0), (75.0, 67.0), (64.0, 65.0)]","{80.0: 654.0, 67.0: 382.0, 90.0: 372.0, 75.0: 224.0, 68.0: 207.0}","{45.0: 344.0, 54.0: 188.0, 40.0: 174.0, 69.0: 140.0, 55.0: 132.0}"
5,2023-04-06,64.0,64.0,50.0,"{64.0: 17.0, 55.0: 14.0}",2.272727272727273,"[(62.0, 7.0), (55.0, 2.0), (57.0, 1.0), (58.0, 1.0)]","[(64.0, 13.0), (63.0, 10.0), (70.0, 1.0), (72.0, 1.0)]","{80.0: 47.0, 71.0: 31.0, 62.0: 7.0, 70.0: 5.0, 64.0: 4.0}","{50.0: 46.0, 64.0: 13.0, 55.0: 12.0, 63.0: 10.0, 57.0: 5.0}"
6,2023-04-21,75.0,60.0,20.0,"{30.0: 3811.0, 40.0: 3600.0}",0.933791380387258,"[(60.0, 1491.0), (50.0, 574.0), (55.0, 514.0), (45.0, 385.0), (40.0, 157.0)]","[(75.0, 1006.0), (65.0, 982.0), (70.0, 717.0), (85.0, 139.0), (80.0, 85.0)]","{75.0: 1578.0, 60.0: 1491.0, 65.0: 1311.0, 80.0: 1268.0, 70.0: 1223.0}","{30.0: 3789.0, 40.0: 3443.0, 50.0: 2721.0, 35.0: 2383.0, 55.0: 1724.0}"
7,2023-06-16,55.0,50.0,20.0,"{50.0: 10314.0, 45.0: 8597.0}",0.8549213943950786,"[(60.0, 2325.0), (55.0, 1717.0), (50.0, 1029.0), (45.0, 425.0), (40.0, 207.0)]","[(85.0, 1197.0), (75.0, 1003.0), (65.0, 984.0), (70.0, 749.0), (80.0, 577.0)]","{100.0: 3182.0, 60.0: 2325.0, 70.0: 1775.0, 55.0: 1717.0, 80.0: 1715.0}","{50.0: 9285.0, 45.0: 8172.0, 40.0: 3354.0, 30.0: 3257.0, 22.5: 2321.0}"
8,2023-07-21,80.0,80.0,20.0,"{40.0: 2944.0, 30.0: 2107.0}",2.047993705743509,"[(50.0, 325.0), (55.0, 295.0), (30.0, 249.0), (60.0, 160.0), (40.0, 133.0)]","[(80.0, 869.0), (75.0, 412.0), (85.0, 400.0), (65.0, 393.0), (70.0, 199.0)]","{85.0: 1480.0, 80.0: 1071.0, 90.0: 887.0, 65.0: 600.0, 70.0: 585.0}","{40.0: 2811.0, 35.0: 2062.0, 30.0: 1858.0, 55.0: 1434.0, 60.0: 939.0}"
9,2023-09-15,40.0,40.0,20.0,"{60.0: 4246.0, 40.0: 3248.0}",0.32708127673576837,"[(60.0, 3881.0), (40.0, 1838.0), (55.0, 243.0), (35.0, 37.0), (30.0, 30.0)]","[(65.0, 1132.0), (70.0, 618.0), (100.0, 77.0), (75.0, 67.0), (80.0, 35.0)]","{60.0: 3881.0, 40.0: 1838.0, 65.0: 863.0, 90.0: 478.0, 75.0: 448.0}","{50.0: 1561.0, 35.0: 1429.0, 40.0: 1410.0, 65.0: 1132.0, 45.0: 1033.0}"
