index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put
0,ROKU  ,2023-02-03,2023-02-03,20.0,0,91
1,ROKU  ,2023-02-03,2023-02-03,25.0,1,12
2,ROKU  ,2023-02-03,2023-02-03,29.0,4,8
3,ROKU  ,2023-02-03,2023-02-03,30.0,2,63
4,ROKU  ,2023-02-03,2023-02-03,31.0,1,30
5,ROKU  ,2023-02-03,2023-02-03,32.0,1,47
6,ROKU  ,2023-02-03,2023-02-03,33.0,1,39
7,ROKU  ,2023-02-03,2023-02-03,34.0,14,281
8,ROKU  ,2023-02-03,2023-02-03,35.0,6,227
9,ROKU  ,2023-02-03,2023-02-03,35.5,1,28
10,ROKU  ,2023-02-03,2023-02-03,36.0,2,177
11,ROKU  ,2023-02-03,2023-02-03,36.5,1,260
12,ROKU  ,2023-02-03,2023-02-03,37.0,3,526
13,ROKU  ,2023-02-03,2023-02-03,37.5,0,25
14,ROKU  ,2023-02-03,2023-02-03,38.0,2,1236
15,ROKU  ,2023-02-03,2023-02-03,38.5,3,84
16,ROKU  ,2023-02-03,2023-02-03,39.0,8,93
17,ROKU  ,2023-02-03,2023-02-03,39.5,19,9
18,ROKU  ,2023-02-03,2023-02-03,40.0,55,282
19,ROKU  ,2023-02-03,2023-02-03,40.5,2,15
20,ROKU  ,2023-02-03,2023-02-03,41.0,19,215
21,ROKU  ,2023-02-03,2023-02-03,41.5,2,184
22,ROKU  ,2023-02-03,2023-02-03,42.0,26,354
23,ROKU  ,2023-02-03,2023-02-03,42.5,1,140
24,ROKU  ,2023-02-03,2023-02-03,43.0,58,448
25,ROKU  ,2023-02-03,2023-02-03,43.5,3,306
26,ROKU  ,2023-02-03,2023-02-03,44.0,87,787
27,ROKU  ,2023-02-03,2023-02-03,44.5,31,434
28,ROKU  ,2023-02-03,2023-02-03,45.0,89,1450
29,ROKU  ,2023-02-03,2023-02-03,45.5,11,442
30,ROKU  ,2023-02-03,2023-02-03,46.0,91,379
31,ROKU  ,2023-02-03,2023-02-03,46.5,25,370
32,ROKU  ,2023-02-03,2023-02-03,47.0,2276,333
33,ROKU  ,2023-02-03,2023-02-03,47.5,59,241
34,ROKU  ,2023-02-03,2023-02-03,48.0,2555,628
35,ROKU  ,2023-02-03,2023-02-03,48.5,40,471
36,ROKU  ,2023-02-03,2023-02-03,49.0,3861,883
37,ROKU  ,2023-02-03,2023-02-03,49.5,385,462
38,ROKU  ,2023-02-03,2023-02-03,50.0,777,2069
39,ROKU  ,2023-02-03,2023-02-03,51.0,794,779
40,ROKU  ,2023-02-03,2023-02-03,52.0,846,982
41,ROKU  ,2023-02-03,2023-02-03,53.0,832,1429
42,ROKU  ,2023-02-03,2023-02-03,54.0,851,656
43,ROKU  ,2023-02-03,2023-02-03,55.0,1085,964
44,ROKU  ,2023-02-03,2023-02-03,56.0,2586,1000
45,ROKU  ,2023-02-03,2023-02-03,57.0,5418,669
46,ROKU  ,2023-02-03,2023-02-03,58.0,2429,740
47,ROKU  ,2023-02-03,2023-02-03,59.0,3755,669
48,ROKU  ,2023-02-03,2023-02-03,60.0,9248,921
49,ROKU  ,2023-02-03,2023-02-03,61.0,647,967
50,ROKU  ,2023-02-03,2023-02-03,62.0,995,578
51,ROKU  ,2023-02-03,2023-02-03,63.0,1026,507
52,ROKU  ,2023-02-03,2023-02-03,64.0,614,436
53,ROKU  ,2023-02-03,2023-02-03,65.0,1125,454
