index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put,TotalOI
0,ROKU  ,2023-02-14,2023-02-17,20.0,1,358,359
1,ROKU  ,2023-02-14,2023-02-17,22.5,20,428,448
2,ROKU  ,2023-02-14,2023-02-17,25.0,17,2720,2737
3,ROKU  ,2023-02-14,2023-02-17,30.0,95,5244,5339
4,ROKU  ,2023-02-14,2023-02-17,35.0,85,6008,6093
5,ROKU  ,2023-02-14,2023-02-17,36.0,3,60,63
6,ROKU  ,2023-02-14,2023-02-17,36.5,0,3,3
7,ROKU  ,2023-02-14,2023-02-17,37.0,0,12,12
8,ROKU  ,2023-02-14,2023-02-17,37.5,0,66,66
9,ROKU  ,2023-02-14,2023-02-17,38.0,0,24,24
10,ROKU  ,2023-02-14,2023-02-17,38.5,0,47,47
11,ROKU  ,2023-02-14,2023-02-17,39.0,0,77,77
12,ROKU  ,2023-02-14,2023-02-17,40.0,756,2835,3591
13,ROKU  ,2023-02-14,2023-02-17,41.0,0,50,50
14,ROKU  ,2023-02-14,2023-02-17,42.0,19,577,596
15,ROKU  ,2023-02-14,2023-02-17,43.0,7,841,848
16,ROKU  ,2023-02-14,2023-02-17,44.0,15,239,254
17,ROKU  ,2023-02-14,2023-02-17,45.0,1298,4446,5744
18,ROKU  ,2023-02-14,2023-02-17,45.5,41,256,297
19,ROKU  ,2023-02-14,2023-02-17,46.0,69,381,450
20,ROKU  ,2023-02-14,2023-02-17,46.5,40,252,292
21,ROKU  ,2023-02-14,2023-02-17,47.0,75,861,936
22,ROKU  ,2023-02-14,2023-02-17,47.5,52,661,713
23,ROKU  ,2023-02-14,2023-02-17,48.0,37,910,947
24,ROKU  ,2023-02-14,2023-02-17,48.5,34,287,321
25,ROKU  ,2023-02-14,2023-02-17,49.0,167,551,718
26,ROKU  ,2023-02-14,2023-02-17,49.5,156,523,679
27,ROKU  ,2023-02-14,2023-02-17,50.0,2061,3925,5986
28,ROKU  ,2023-02-14,2023-02-17,51.0,274,1674,1948
29,ROKU  ,2023-02-14,2023-02-17,52.0,114,1035,1149
30,ROKU  ,2023-02-14,2023-02-17,53.0,113,767,880
31,ROKU  ,2023-02-14,2023-02-17,54.0,409,870,1279
32,ROKU  ,2023-02-14,2023-02-17,55.0,2473,1622,4095
33,ROKU  ,2023-02-14,2023-02-17,56.0,628,515,1143
34,ROKU  ,2023-02-14,2023-02-17,57.0,979,211,1190
35,ROKU  ,2023-02-14,2023-02-17,58.0,599,527,1126
36,ROKU  ,2023-02-14,2023-02-17,59.0,683,315,998
37,ROKU  ,2023-02-14,2023-02-17,60.0,3505,1082,4587
38,ROKU  ,2023-02-14,2023-02-17,61.0,1638,178,1816
39,ROKU  ,2023-02-14,2023-02-17,62.0,727,267,994
40,ROKU  ,2023-02-14,2023-02-17,63.0,649,153,802
41,ROKU  ,2023-02-14,2023-02-17,64.0,603,310,913
42,ROKU  ,2023-02-14,2023-02-17,65.0,4561,1090,5651
43,ROKU  ,2023-02-14,2023-02-17,66.0,621,197,818
44,ROKU  ,2023-02-14,2023-02-17,67.0,918,567,1485
45,ROKU  ,2023-02-14,2023-02-17,68.0,569,288,857
46,ROKU  ,2023-02-14,2023-02-17,69.0,338,256,594
47,ROKU  ,2023-02-14,2023-02-17,70.0,2007,288,2295
48,ROKU  ,2023-02-14,2023-02-17,71.0,447,82,529
49,ROKU  ,2023-02-14,2023-02-17,72.0,899,98,997
50,ROKU  ,2023-02-14,2023-02-17,73.0,187,89,276
51,ROKU  ,2023-02-14,2023-02-17,74.0,490,147,637
52,ROKU  ,2023-02-14,2023-02-17,75.0,2003,164,2167
53,ROKU  ,2023-02-14,2023-02-17,76.0,265,25,290
54,ROKU  ,2023-02-14,2023-02-17,77.0,166,46,212
55,ROKU  ,2023-02-14,2023-02-17,78.0,189,37,226
56,ROKU  ,2023-02-14,2023-02-17,79.0,130,27,157
57,ROKU  ,2023-02-14,2023-02-17,80.0,614,24,638
58,ROKU  ,2023-02-14,2023-02-17,81.0,275,37,312
59,ROKU  ,2023-02-14,2023-02-17,82.0,689,30,719
60,ROKU  ,2023-02-14,2023-02-17,83.0,107,20,127
61,ROKU  ,2023-02-14,2023-02-17,84.0,166,9,175
62,ROKU  ,2023-02-14,2023-02-17,85.0,3794,61,3855
63,ROKU  ,2023-02-14,2023-02-17,86.0,34,21,55
64,ROKU  ,2023-02-14,2023-02-17,87.0,238,34,272
65,ROKU  ,2023-02-14,2023-02-17,90.0,3868,23,3891
66,ROKU  ,2023-02-14,2023-02-17,95.0,141,0,141
