index,ExpDate,Strike,Call,Put
0,2023-01-27,20.0,0,54
1,2023-01-27,25.0,1,19
2,2023-01-27,29.0,0,38
3,2023-01-27,30.0,1,93
4,2023-01-27,31.0,5,98
5,2023-01-27,32.0,1,42
6,2023-01-27,33.0,1,77
7,2023-01-27,34.0,0,108
8,2023-01-27,35.0,3,2435
9,2023-01-27,36.0,9,104
10,2023-01-27,37.0,11,126
11,2023-01-27,38.0,27,94
12,2023-01-27,38.5,0,177
13,2023-01-27,39.0,116,543
14,2023-01-27,39.5,8,205
15,2023-01-27,40.0,161,497
16,2023-01-27,40.5,26,19
17,2023-01-27,41.0,78,358
18,2023-01-27,41.5,12,38
19,2023-01-27,42.0,112,135
20,2023-01-27,42.5,89,76
21,2023-01-27,43.0,118,138
22,2023-01-27,43.5,13,1242
23,2023-01-27,44.0,209,1945
24,2023-01-27,44.5,62,166
25,2023-01-27,45.0,273,8005
26,2023-01-27,45.5,49,101
27,2023-01-27,46.0,161,393
28,2023-01-27,46.5,70,250
29,2023-01-27,47.0,144,672
30,2023-01-27,47.5,76,1204
31,2023-01-27,48.0,228,900
32,2023-01-27,48.5,129,5185
33,2023-01-27,49.0,237,455
34,2023-01-27,49.5,337,430
35,2023-01-27,50.0,985,1732
36,2023-01-27,51.0,782,529
37,2023-01-27,52.0,521,1014
38,2023-01-27,53.0,923,769
39,2023-01-27,54.0,775,518
40,2023-01-27,55.0,1723,741
41,2023-01-27,56.0,991,233
42,2023-01-27,57.0,976,65
43,2023-01-27,58.0,507,33
44,2023-01-27,59.0,1924,8
45,2023-01-27,60.0,724,20
46,2023-01-27,61.0,196,4
47,2023-01-27,62.0,483,5
48,2023-01-27,63.0,166,2
49,2023-01-27,64.0,230,0
50,2023-01-27,65.0,422,1
51,2023-01-27,70.0,342,0
52,2023-01-27,75.0,22,0
53,2023-02-03,20.0,0,91
54,2023-02-03,25.0,0,12
55,2023-02-03,29.0,3,8
56,2023-02-03,30.0,2,63
57,2023-02-03,31.0,1,30
58,2023-02-03,32.0,1,47
59,2023-02-03,33.0,0,44
60,2023-02-03,34.0,13,291
61,2023-02-03,35.0,6,233
62,2023-02-03,35.5,0,10
63,2023-02-03,36.0,2,177
64,2023-02-03,36.5,1,20
65,2023-02-03,37.0,1,536
66,2023-02-03,37.5,0,0
67,2023-02-03,38.0,1,1236
