index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put
0,ROKU  ,2023_01_30,2023-01-27,20.0,0,54
1,ROKU  ,2023_01_30,2023-01-27,25.0,0,19
2,ROKU  ,2023_01_30,2023-01-27,29.0,0,38
3,ROKU  ,2023_01_30,2023-01-27,30.0,0,93
4,ROKU  ,2023_01_30,2023-01-27,31.0,0,98
5,ROKU  ,2023_01_30,2023-01-27,32.0,0,42
6,ROKU  ,2023_01_30,2023-01-27,33.0,0,75
7,ROKU  ,2023_01_30,2023-01-27,34.0,0,108
8,ROKU  ,2023_01_30,2023-01-27,35.0,0,2435
9,ROKU  ,2023_01_30,2023-01-27,36.0,0,104
10,ROKU  ,2023_01_30,2023-01-27,37.0,0,126
11,ROKU  ,2023_01_30,2023-01-27,38.0,0,94
12,ROKU  ,2023_01_30,2023-01-27,38.5,0,177
13,ROKU  ,2023_01_30,2023-01-27,39.0,0,543
14,ROKU  ,2023_01_30,2023-01-27,39.5,0,205
15,ROKU  ,2023_01_30,2023-01-27,40.0,0,491
16,ROKU  ,2023_01_30,2023-01-27,40.5,0,29
17,ROKU  ,2023_01_30,2023-01-27,41.0,0,355
18,ROKU  ,2023_01_30,2023-01-27,41.5,0,47
19,ROKU  ,2023_01_30,2023-01-27,42.0,0,134
20,ROKU  ,2023_01_30,2023-01-27,42.5,0,74
21,ROKU  ,2023_01_30,2023-01-27,43.0,0,140
22,ROKU  ,2023_01_30,2023-01-27,43.5,0,1242
23,ROKU  ,2023_01_30,2023-01-27,44.0,0,2051
24,ROKU  ,2023_01_30,2023-01-27,44.5,0,1282
25,ROKU  ,2023_01_30,2023-01-27,45.0,0,7888
26,ROKU  ,2023_01_30,2023-01-27,45.5,0,236
27,ROKU  ,2023_01_30,2023-01-27,46.0,0,409
28,ROKU  ,2023_01_30,2023-01-27,46.5,0,235
29,ROKU  ,2023_01_30,2023-01-27,47.0,0,526
30,ROKU  ,2023_01_30,2023-01-27,47.5,0,1286
31,ROKU  ,2023_01_30,2023-01-27,48.0,0,892
32,ROKU  ,2023_01_30,2023-01-27,48.5,0,7702
33,ROKU  ,2023_01_30,2023-01-27,49.0,0,844
34,ROKU  ,2023_01_30,2023-01-27,49.5,0,1008
35,ROKU  ,2023_01_30,2023-01-27,50.0,0,1729
36,ROKU  ,2023_01_30,2023-01-27,51.0,0,973
37,ROKU  ,2023_01_30,2023-01-27,52.0,0,1479
38,ROKU  ,2023_01_30,2023-01-27,53.0,0,965
39,ROKU  ,2023_01_30,2023-01-27,54.0,0,577
40,ROKU  ,2023_01_30,2023-01-27,55.0,0,1377
41,ROKU  ,2023_01_30,2023-01-27,56.0,44,281
42,ROKU  ,2023_01_30,2023-01-27,57.0,1012,0
43,ROKU  ,2023_01_30,2023-01-27,58.0,794,0
44,ROKU  ,2023_01_30,2023-01-27,59.0,2055,0
45,ROKU  ,2023_01_30,2023-01-27,60.0,825,0
46,ROKU  ,2023_01_30,2023-01-27,61.0,228,0
47,ROKU  ,2023_01_30,2023-01-27,62.0,471,0
48,ROKU  ,2023_01_30,2023-01-27,63.0,181,0
49,ROKU  ,2023_01_30,2023-01-27,64.0,236,0
50,ROKU  ,2023_01_30,2023-01-27,65.0,528,0
51,ROKU  ,2023_01_30,2023-01-27,70.0,339,0
52,ROKU  ,2023_01_30,2023-01-27,75.0,22,0
53,ROKU  ,2023_01_30,2023-02-03,20.0,0,91
54,ROKU  ,2023_01_30,2023-02-03,25.0,0,12
55,ROKU  ,2023_01_30,2023-02-03,29.0,4,8
56,ROKU  ,2023_01_30,2023-02-03,30.0,3,63
57,ROKU  ,2023_01_30,2023-02-03,31.0,1,30
58,ROKU  ,2023_01_30,2023-02-03,32.0,1,47
59,ROKU  ,2023_01_30,2023-02-03,33.0,0,44
60,ROKU  ,2023_01_30,2023-02-03,34.0,13,291
61,ROKU  ,2023_01_30,2023-02-03,35.0,6,233
62,ROKU  ,2023_01_30,2023-02-03,35.5,0,28
63,ROKU  ,2023_01_30,2023-02-03,36.0,2,177
64,ROKU  ,2023_01_30,2023-02-03,36.5,1,260
65,ROKU  ,2023_01_30,2023-02-03,37.0,2,526
66,ROKU  ,2023_01_30,2023-02-03,37.5,0,25
67,ROKU  ,2023_01_30,2023-02-03,38.0,1,1236
68,ROKU  ,2023_01_30,2023-02-03,38.5,0,84
69,ROKU  ,2023_01_30,2023-02-03,39.0,7,93
70,ROKU  ,2023_01_30,2023-02-03,39.5,4,9
71,ROKU  ,2023_01_30,2023-02-03,40.0,61,283
72,ROKU  ,2023_01_30,2023-02-03,40.5,1,14
73,ROKU  ,2023_01_30,2023-02-03,41.0,24,236
74,ROKU  ,2023_01_30,2023-02-03,41.5,1,169
75,ROKU  ,2023_01_30,2023-02-03,42.0,28,381
76,ROKU  ,2023_01_30,2023-02-03,42.5,1,124
77,ROKU  ,2023_01_30,2023-02-03,43.0,73,503
78,ROKU  ,2023_01_30,2023-02-03,43.5,2,292
79,ROKU  ,2023_01_30,2023-02-03,44.0,89,232
80,ROKU  ,2023_01_30,2023-02-03,44.5,29,214
81,ROKU  ,2023_01_30,2023-02-03,45.0,96,1148
82,ROKU  ,2023_01_30,2023-02-03,45.5,21,292
83,ROKU  ,2023_01_30,2023-02-03,46.0,149,368
84,ROKU  ,2023_01_30,2023-02-03,46.5,25,366
85,ROKU  ,2023_01_30,2023-02-03,47.0,2424,261
86,ROKU  ,2023_01_30,2023-02-03,47.5,51,223
87,ROKU  ,2023_01_30,2023-02-03,48.0,6024,417
88,ROKU  ,2023_01_30,2023-02-03,48.5,60,524
89,ROKU  ,2023_01_30,2023-02-03,49.0,871,592
90,ROKU  ,2023_01_30,2023-02-03,49.5,387,316
91,ROKU  ,2023_01_30,2023-02-03,50.0,806,1249
92,ROKU  ,2023_01_30,2023-02-03,51.0,568,577
93,ROKU  ,2023_01_30,2023-02-03,52.0,840,1090
94,ROKU  ,2023_01_30,2023-02-03,53.0,929,647
95,ROKU  ,2023_01_30,2023-02-03,54.0,915,408
96,ROKU  ,2023_01_30,2023-02-03,55.0,1036,569
97,ROKU  ,2023_01_30,2023-02-03,56.0,2474,503
98,ROKU  ,2023_01_30,2023-02-03,57.0,6006,168
99,ROKU  ,2023_01_30,2023-02-03,58.0,2998,193
100,ROKU  ,2023_01_30,2023-02-03,59.0,10576,86
101,ROKU  ,2023_01_30,2023-02-03,60.0,1221,43
102,ROKU  ,2023_01_30,2023-02-03,61.0,280,50
103,ROKU  ,2023_01_30,2023-02-03,62.0,471,4
104,ROKU  ,2023_01_30,2023-02-03,63.0,514,7
105,ROKU  ,2023_01_30,2023-02-03,64.0,134,1
