index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put
0,SPY   ,2023-01-31,2023-01-30,320.0,0,227
1,SPY   ,2023-01-31,2023-01-30,330.0,0,510
2,SPY   ,2023-01-31,2023-01-30,331.0,0,54
3,SPY   ,2023-01-31,2023-01-30,332.0,0,3
4,SPY   ,2023-01-31,2023-01-30,333.0,0,161
5,SPY   ,2023-01-31,2023-01-30,334.0,0,180
6,SPY   ,2023-01-31,2023-01-30,335.0,0,0
7,SPY   ,2023-01-31,2023-01-30,336.0,0,200
8,SPY   ,2023-01-31,2023-01-30,337.0,0,0
9,SPY   ,2023-01-31,2023-01-30,338.0,0,21
10,SPY   ,2023-01-31,2023-01-30,339.0,0,37
11,SPY   ,2023-01-31,2023-01-30,340.0,0,722
12,SPY   ,2023-01-31,2023-01-30,341.0,0,114
13,SPY   ,2023-01-31,2023-01-30,342.0,0,213
14,SPY   ,2023-01-31,2023-01-30,343.0,0,402
15,SPY   ,2023-01-31,2023-01-30,344.0,0,0
16,SPY   ,2023-01-31,2023-01-30,345.0,0,15
17,SPY   ,2023-01-31,2023-01-30,346.0,0,0
18,SPY   ,2023-01-31,2023-01-30,347.0,0,62
19,SPY   ,2023-01-31,2023-01-30,348.0,0,1165
20,SPY   ,2023-01-31,2023-01-30,349.0,0,1590
21,SPY   ,2023-01-31,2023-01-30,350.0,0,452
22,SPY   ,2023-01-31,2023-01-30,351.0,0,376
23,SPY   ,2023-01-31,2023-01-30,352.0,0,428
24,SPY   ,2023-01-31,2023-01-30,353.0,0,580
25,SPY   ,2023-01-31,2023-01-30,354.0,0,181
26,SPY   ,2023-01-31,2023-01-30,355.0,0,297
27,SPY   ,2023-01-31,2023-01-30,356.0,0,28
28,SPY   ,2023-01-31,2023-01-30,357.0,0,4
29,SPY   ,2023-01-31,2023-01-30,358.0,0,66
30,SPY   ,2023-01-31,2023-01-30,359.0,0,220
31,SPY   ,2023-01-31,2023-01-30,360.0,0,1741
32,SPY   ,2023-01-31,2023-01-30,361.0,0,239
33,SPY   ,2023-01-31,2023-01-30,362.0,0,342
34,SPY   ,2023-01-31,2023-01-30,363.0,0,155
35,SPY   ,2023-01-31,2023-01-30,364.0,0,156
36,SPY   ,2023-01-31,2023-01-30,365.0,0,192
37,SPY   ,2023-01-31,2023-01-30,366.0,0,378
38,SPY   ,2023-01-31,2023-01-30,367.0,0,24
39,SPY   ,2023-01-31,2023-01-30,368.0,0,641
40,SPY   ,2023-01-31,2023-01-30,369.0,0,856
41,SPY   ,2023-01-31,2023-01-30,370.0,0,3303
42,SPY   ,2023-01-31,2023-01-30,371.0,0,1491
43,SPY   ,2023-01-31,2023-01-30,372.0,0,1254
44,SPY   ,2023-01-31,2023-01-30,373.0,0,946
45,SPY   ,2023-01-31,2023-01-30,374.0,0,1409
46,SPY   ,2023-01-31,2023-01-30,375.0,0,856
47,SPY   ,2023-01-31,2023-01-30,376.0,0,1595
48,SPY   ,2023-01-31,2023-01-30,377.0,0,1048
49,SPY   ,2023-01-31,2023-01-30,378.0,0,2703
50,SPY   ,2023-01-31,2023-01-30,379.0,0,1161
51,SPY   ,2023-01-31,2023-01-30,380.0,0,7431
52,SPY   ,2023-01-31,2023-01-30,381.0,0,1094
53,SPY   ,2023-01-31,2023-01-30,382.0,0,1020
54,SPY   ,2023-01-31,2023-01-30,383.0,0,1283
55,SPY   ,2023-01-31,2023-01-30,384.0,0,1152
56,SPY   ,2023-01-31,2023-01-30,385.0,0,2629
57,SPY   ,2023-01-31,2023-01-30,386.0,0,3792
58,SPY   ,2023-01-31,2023-01-30,387.0,0,2229
59,SPY   ,2023-01-31,2023-01-30,388.0,0,11775
60,SPY   ,2023-01-31,2023-01-30,389.0,0,6882
61,SPY   ,2023-01-31,2023-01-30,390.0,0,14839
62,SPY   ,2023-01-31,2023-01-30,391.0,0,9400
63,SPY   ,2023-01-31,2023-01-30,392.0,0,6723
64,SPY   ,2023-01-31,2023-01-30,393.0,0,7792
65,SPY   ,2023-01-31,2023-01-30,394.0,0,7807
66,SPY   ,2023-01-31,2023-01-30,395.0,0,14369
67,SPY   ,2023-01-31,2023-01-30,396.0,0,14280
68,SPY   ,2023-01-31,2023-01-30,397.0,0,15834
69,SPY   ,2023-01-31,2023-01-30,398.0,0,16952
70,SPY   ,2023-01-31,2023-01-30,399.0,0,14728
71,SPY   ,2023-01-31,2023-01-30,400.0,0,26003
72,SPY   ,2023-01-31,2023-01-30,401.0,130,10931
73,SPY   ,2023-01-31,2023-01-30,402.0,16692,0
74,SPY   ,2023-01-31,2023-01-30,403.0,25295,3
75,SPY   ,2023-01-31,2023-01-30,404.0,23166,0
76,SPY   ,2023-01-31,2023-01-30,405.0,28581,0
77,SPY   ,2023-01-31,2023-01-30,406.0,28057,0
78,SPY   ,2023-01-31,2023-01-30,407.0,29778,0
79,SPY   ,2023-01-31,2023-01-30,408.0,23616,0
80,SPY   ,2023-01-31,2023-01-30,409.0,14054,0
81,SPY   ,2023-01-31,2023-01-30,410.0,26934,0
82,SPY   ,2023-01-31,2023-01-30,411.0,9255,0
83,SPY   ,2023-01-31,2023-01-30,412.0,19792,0
84,SPY   ,2023-01-31,2023-01-30,413.0,8260,0
85,SPY   ,2023-01-31,2023-01-30,414.0,5614,0
86,SPY   ,2023-01-31,2023-01-30,415.0,8692,0
87,SPY   ,2023-01-31,2023-01-30,416.0,14109,0
88,SPY   ,2023-01-31,2023-01-30,417.0,2213,0
89,SPY   ,2023-01-31,2023-01-30,418.0,2087,0
90,SPY   ,2023-01-31,2023-01-30,419.0,2485,0
91,SPY   ,2023-01-31,2023-01-30,420.0,10574,0
92,SPY   ,2023-01-31,2023-01-30,421.0,988,0
93,SPY   ,2023-01-31,2023-01-30,422.0,428,0
94,SPY   ,2023-01-31,2023-01-30,423.0,809,0
95,SPY   ,2023-01-31,2023-01-30,424.0,767,0
96,SPY   ,2023-01-31,2023-01-30,425.0,654,0
97,SPY   ,2023-01-31,2023-01-30,426.0,110,0
98,SPY   ,2023-01-31,2023-01-30,427.0,254,0
99,SPY   ,2023-01-31,2023-01-30,428.0,29,0
100,SPY   ,2023-01-31,2023-01-30,429.0,1,0
101,SPY   ,2023-01-31,2023-01-30,430.0,111,0
