index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put,TotalOI
0,SPY   ,2023-02-24,2023-02-23,341.0,0,0,0
1,SPY   ,2023-02-24,2023-02-23,342.0,0,0,0
2,SPY   ,2023-02-24,2023-02-23,343.0,0,0,0
3,SPY   ,2023-02-24,2023-02-23,344.0,0,0,0
4,SPY   ,2023-02-24,2023-02-23,345.0,0,1,1
5,SPY   ,2023-02-24,2023-02-23,346.0,0,4,4
6,SPY   ,2023-02-24,2023-02-23,347.0,0,0,0
7,SPY   ,2023-02-24,2023-02-23,348.0,0,0,0
8,SPY   ,2023-02-24,2023-02-23,349.0,0,0,0
9,SPY   ,2023-02-24,2023-02-23,350.0,0,840,840
10,SPY   ,2023-02-24,2023-02-23,351.0,0,0,0
11,SPY   ,2023-02-24,2023-02-23,352.0,0,0,0
12,SPY   ,2023-02-24,2023-02-23,353.0,0,0,0
13,SPY   ,2023-02-24,2023-02-23,354.0,0,0,0
14,SPY   ,2023-02-24,2023-02-23,355.0,0,285,285
15,SPY   ,2023-02-24,2023-02-23,356.0,0,0,0
16,SPY   ,2023-02-24,2023-02-23,357.0,0,0,0
17,SPY   ,2023-02-24,2023-02-23,358.0,0,0,0
18,SPY   ,2023-02-24,2023-02-23,359.0,0,0,0
19,SPY   ,2023-02-24,2023-02-23,360.0,0,89,89
20,SPY   ,2023-02-24,2023-02-23,361.0,0,0,0
21,SPY   ,2023-02-24,2023-02-23,362.0,0,577,577
22,SPY   ,2023-02-24,2023-02-23,363.0,0,128,128
23,SPY   ,2023-02-24,2023-02-23,364.0,0,347,347
24,SPY   ,2023-02-24,2023-02-23,365.0,0,1274,1274
25,SPY   ,2023-02-24,2023-02-23,366.0,0,912,912
26,SPY   ,2023-02-24,2023-02-23,367.0,0,629,629
27,SPY   ,2023-02-24,2023-02-23,368.0,0,432,432
28,SPY   ,2023-02-24,2023-02-23,369.0,0,95,95
29,SPY   ,2023-02-24,2023-02-23,370.0,0,1473,1473
30,SPY   ,2023-02-24,2023-02-23,371.0,0,664,664
31,SPY   ,2023-02-24,2023-02-23,372.0,0,1,1
32,SPY   ,2023-02-24,2023-02-23,373.0,0,2,2
33,SPY   ,2023-02-24,2023-02-23,374.0,0,111,111
34,SPY   ,2023-02-24,2023-02-23,375.0,0,1030,1030
35,SPY   ,2023-02-24,2023-02-23,376.0,0,79,79
36,SPY   ,2023-02-24,2023-02-23,377.0,0,256,256
37,SPY   ,2023-02-24,2023-02-23,378.0,0,458,458
38,SPY   ,2023-02-24,2023-02-23,379.0,0,291,291
39,SPY   ,2023-02-24,2023-02-23,380.0,0,10394,10394
40,SPY   ,2023-02-24,2023-02-23,381.0,0,168,168
41,SPY   ,2023-02-24,2023-02-23,382.0,0,219,219
42,SPY   ,2023-02-24,2023-02-23,383.0,0,392,392
43,SPY   ,2023-02-24,2023-02-23,384.0,0,4749,4749
44,SPY   ,2023-02-24,2023-02-23,385.0,0,3177,3177
45,SPY   ,2023-02-24,2023-02-23,386.0,0,794,794
46,SPY   ,2023-02-24,2023-02-23,387.0,0,3157,3157
47,SPY   ,2023-02-24,2023-02-23,388.0,0,4409,4409
48,SPY   ,2023-02-24,2023-02-23,389.0,0,10608,10608
49,SPY   ,2023-02-24,2023-02-23,390.0,0,15496,15496
50,SPY   ,2023-02-24,2023-02-23,391.0,0,9320,9320
51,SPY   ,2023-02-24,2023-02-23,392.0,0,27852,27852
52,SPY   ,2023-02-24,2023-02-23,393.0,0,7577,7577
53,SPY   ,2023-02-24,2023-02-23,394.0,0,12904,12904
54,SPY   ,2023-02-24,2023-02-23,395.0,0,25137,25137
55,SPY   ,2023-02-24,2023-02-23,396.0,0,19266,19266
56,SPY   ,2023-02-24,2023-02-23,397.0,0,13639,13639
57,SPY   ,2023-02-24,2023-02-23,398.0,0,17625,17625
58,SPY   ,2023-02-24,2023-02-23,399.0,1,18383,18384
59,SPY   ,2023-02-24,2023-02-23,400.0,1,14643,14644
60,SPY   ,2023-02-24,2023-02-23,401.0,22040,3,22043
61,SPY   ,2023-02-24,2023-02-23,402.0,20733,0,20733
62,SPY   ,2023-02-24,2023-02-23,403.0,15989,0,15989
63,SPY   ,2023-02-24,2023-02-23,404.0,13588,0,13588
64,SPY   ,2023-02-24,2023-02-23,405.0,19855,0,19855
65,SPY   ,2023-02-24,2023-02-23,406.0,10317,0,10317
66,SPY   ,2023-02-24,2023-02-23,407.0,13202,0,13202
67,SPY   ,2023-02-24,2023-02-23,408.0,10258,0,10258
68,SPY   ,2023-02-24,2023-02-23,409.0,9685,0,9685
69,SPY   ,2023-02-24,2023-02-23,410.0,25095,0,25095
70,SPY   ,2023-02-24,2023-02-23,411.0,5086,0,5086
71,SPY   ,2023-02-24,2023-02-23,412.0,4045,0,4045
72,SPY   ,2023-02-24,2023-02-23,413.0,6618,0,6618
73,SPY   ,2023-02-24,2023-02-23,414.0,6552,0,6552
74,SPY   ,2023-02-24,2023-02-23,415.0,7916,0,7916
75,SPY   ,2023-02-24,2023-02-23,416.0,5688,0,5688
76,SPY   ,2023-02-24,2023-02-23,417.0,2274,0,2274
77,SPY   ,2023-02-24,2023-02-23,418.0,1676,0,1676
78,SPY   ,2023-02-24,2023-02-23,419.0,465,0,465
79,SPY   ,2023-02-24,2023-02-23,420.0,1416,0,1416
80,SPY   ,2023-02-24,2023-02-23,421.0,454,0,454
81,SPY   ,2023-02-24,2023-02-23,422.0,1572,0,1572
82,SPY   ,2023-02-24,2023-02-23,423.0,14097,0,14097
83,SPY   ,2023-02-24,2023-02-23,424.0,500,0,500
