index,ExpDate,Strike,Call,Put
0,2023-01-26,320.0,0,127
1,2023-01-26,330.0,0,599
2,2023-01-26,331.0,0,0
3,2023-01-26,332.0,0,0
4,2023-01-26,333.0,0,219
5,2023-01-26,334.0,0,0
6,2023-01-26,335.0,0,0
7,2023-01-26,336.0,0,236
8,2023-01-26,337.0,0,521
9,2023-01-26,338.0,0,1
10,2023-01-26,339.0,0,9
11,2023-01-26,340.0,0,389
12,2023-01-26,341.0,0,156
13,2023-01-26,342.0,0,178
14,2023-01-26,343.0,0,120
15,2023-01-26,344.0,0,9
16,2023-01-26,345.0,0,15
17,2023-01-26,346.0,0,53
18,2023-01-26,347.0,0,87
19,2023-01-26,348.0,0,10
20,2023-01-26,349.0,0,136
21,2023-01-26,350.0,0,156
22,2023-01-26,351.0,0,220
23,2023-01-26,352.0,0,0
24,2023-01-26,353.0,0,0
25,2023-01-26,354.0,0,32
26,2023-01-26,355.0,0,119
27,2023-01-26,356.0,0,120
28,2023-01-26,357.0,0,551
29,2023-01-26,358.0,0,32
30,2023-01-26,359.0,0,763
31,2023-01-26,360.0,0,2901
32,2023-01-26,361.0,0,1660
33,2023-01-26,362.0,0,1398
34,2023-01-26,363.0,0,460
35,2023-01-26,364.0,0,791
36,2023-01-26,365.0,0,576
37,2023-01-26,366.0,0,545
38,2023-01-26,367.0,0,504
39,2023-01-26,368.0,0,917
40,2023-01-26,369.0,0,440
41,2023-01-26,370.0,0,416
42,2023-01-26,371.0,0,288
43,2023-01-26,372.0,0,7733
44,2023-01-26,373.0,0,433
45,2023-01-26,374.0,0,5363
46,2023-01-26,375.0,0,801
47,2023-01-26,376.0,0,2586
48,2023-01-26,377.0,0,2467
49,2023-01-26,378.0,0,1372
50,2023-01-26,379.0,0,6253
51,2023-01-26,380.0,0,7392
52,2023-01-26,381.0,0,6906
53,2023-01-26,382.0,0,2031
54,2023-01-26,383.0,0,2896
55,2023-01-26,384.0,0,3573
56,2023-01-26,385.0,0,6059
57,2023-01-26,386.0,0,5848
58,2023-01-26,387.0,0,5852
59,2023-01-26,388.0,0,8394
60,2023-01-26,389.0,0,5531
61,2023-01-26,390.0,0,14915
62,2023-01-26,391.0,0,17286
63,2023-01-26,392.0,0,10745
64,2023-01-26,393.0,0,18873
65,2023-01-26,394.0,0,12749
66,2023-01-26,395.0,0,21608
67,2023-01-26,396.0,0,22128
68,2023-01-26,397.0,0,18427
69,2023-01-26,398.0,0,21267
70,2023-01-26,399.0,0,17718
71,2023-01-26,400.0,0,17864
72,2023-01-26,401.0,0,14787
73,2023-01-26,402.0,0,18623
74,2023-01-26,403.0,0,10540
75,2023-01-26,404.0,839,3495
76,2023-01-26,405.0,15462,3
77,2023-01-26,406.0,18252,0
78,2023-01-26,407.0,21941,0
79,2023-01-26,408.0,17745,0
80,2023-01-26,409.0,16433,0
81,2023-01-26,410.0,34232,0
82,2023-01-26,411.0,6173,0
83,2023-01-26,412.0,5518,0
84,2023-01-26,413.0,8972,0
85,2023-01-26,414.0,1573,0
86,2023-01-26,415.0,1276,0
87,2023-01-26,416.0,578,0
88,2023-01-26,417.0,88,0
89,2023-01-26,418.0,752,0
90,2023-01-26,419.0,157,0
91,2023-01-26,420.0,815,0
92,2023-01-26,421.0,85,0
93,2023-01-26,422.0,229,0
94,2023-01-26,423.0,108,0
95,2023-01-26,424.0,31,0
96,2023-01-26,425.0,53,0
97,2023-01-26,426.0,5,0
98,2023-01-26,427.0,3,0
99,2023-01-26,428.0,2,0
100,2023-01-26,429.0,0,0
101,2023-01-26,430.0,10,0
102,2023-01-26,431.0,0,0
103,2023-01-26,432.0,204,0
104,2023-01-26,433.0,0,0
105,2023-01-26,434.0,0,0
106,2023-01-26,435.0,0,0
107,2023-01-26,436.0,1,0
108,2023-01-26,437.0,0,0
109,2023-01-26,438.0,0,0
110,2023-01-26,439.0,0,0
111,2023-01-26,440.0,0,0
112,2023-01-26,441.0,0,0
113,2023-01-26,442.0,0,0
114,2023-01-26,443.0,0,0
115,2023-01-26,444.0,23,0
116,2023-01-26,445.0,0,0
117,2023-01-26,446.0,0,0
118,2023-01-26,447.0,0,0
119,2023-01-26,448.0,0,0
120,2023-01-26,449.0,0,0
121,2023-01-26,450.0,0,0
122,2023-01-26,451.0,0,0
123,2023-01-26,452.0,0,0
124,2023-01-26,453.0,0,0
125,2023-01-26,454.0,0,0
126,2023-01-26,455.0,1,0
127,2023-01-26,456.0,0,0
128,2023-01-26,457.0,0,0
129,2023-01-26,458.0,0,0
130,2023-01-26,459.0,0,0
131,2023-01-26,460.0,1,0
132,2023-01-26,461.0,14,0
133,2023-01-27,275.0,0,1272
134,2023-01-27,280.0,1,974
135,2023-01-27,285.0,0,462
136,2023-01-27,290.0,0,589
137,2023-01-27,295.0,0,1214
138,2023-01-27,300.0,27,12864
139,2023-01-27,305.0,0,23482
140,2023-01-27,310.0,1,25507
141,2023-01-27,315.0,25,875
142,2023-01-27,320.0,31,36341
143,2023-01-27,325.0,91,50927
144,2023-01-27,330.0,60,16412
145,2023-01-27,331.0,0,15
146,2023-01-27,332.0,0,2348
147,2023-01-27,333.0,0,110
148,2023-01-27,334.0,0,10
149,2023-01-27,335.0,35,23651
150,2023-01-27,336.0,0,11
151,2023-01-27,337.0,0,1
152,2023-01-27,338.0,0,0
153,2023-01-27,339.0,0,0
154,2023-01-27,340.0,687,33169
155,2023-01-27,341.0,0,19
156,2023-01-27,342.0,2,3851
157,2023-01-27,343.0,0,216
158,2023-01-27,344.0,478,1171
159,2023-01-27,345.0,4,3863
160,2023-01-27,346.0,0,1157
161,2023-01-27,347.0,0,87
162,2023-01-27,348.0,2,1930
163,2023-01-27,349.0,0,5
164,2023-01-27,350.0,124,22217
165,2023-01-27,351.0,0,22
166,2023-01-27,352.0,9,2606
167,2023-01-27,353.0,0,87
168,2023-01-27,354.0,3,3207
169,2023-01-27,355.0,16,4226
170,2023-01-27,356.0,8,3329
171,2023-01-27,357.0,0,375
172,2023-01-27,358.0,31,2545
173,2023-01-27,359.0,0,242
174,2023-01-27,360.0,240,9576
175,2023-01-27,361.0,5,1498
176,2023-01-27,362.0,8,3717
177,2023-01-27,363.0,5,1464
178,2023-01-27,364.0,8,2677
179,2023-01-27,365.0,41,10470
180,2023-01-27,366.0,18,11850
181,2023-01-27,367.0,26,4460
182,2023-01-27,368.0,23,4313
183,2023-01-27,369.0,38,4095
184,2023-01-27,370.0,144,19590
185,2023-01-27,371.0,95,2892
186,2023-01-27,372.0,222,2960
187,2023-01-27,373.0,176,1791
188,2023-01-27,374.0,53,4007
189,2023-01-27,375.0,301,32735
190,2023-01-27,376.0,101,5546
191,2023-01-27,377.0,230,6759
192,2023-01-27,378.0,4791,19412
193,2023-01-27,379.0,4990,3839
194,2023-01-27,380.0,5568,33336
195,2023-01-27,381.0,3592,8125
196,2023-01-27,382.0,2036,7017
197,2023-01-27,382.5,2285,4133
198,2023-01-27,383.0,2937,8964
199,2023-01-27,384.0,3363,12783
200,2023-01-27,385.0,3471,30965
201,2023-01-27,386.0,1409,9186
202,2023-01-27,387.0,1330,34206
203,2023-01-27,387.5,1212,5633
204,2023-01-27,388.0,2706,14575
205,2023-01-27,389.0,1361,23148
206,2023-01-27,390.0,4131,59740
207,2023-01-27,391.0,4761,13784
208,2023-01-27,392.0,5467,17564
209,2023-01-27,392.5,5735,8693
210,2023-01-27,393.0,6869,16575
211,2023-01-27,394.0,5599,17688
212,2023-01-27,395.0,8519,38994
213,2023-01-27,396.0,11151,19441
214,2023-01-27,397.0,11999,16098
215,2023-01-27,397.5,9868,8833
216,2023-01-27,398.0,13684,30558
217,2023-01-27,399.0,7331,22683
218,2023-01-27,400.0,24909,43715
219,2023-01-27,401.0,15424,16465
220,2023-01-27,402.0,11485,18459
221,2023-01-27,402.5,8831,7811
222,2023-01-27,403.0,14976,15024
223,2023-01-27,404.0,16344,7604
224,2023-01-27,405.0,31742,3892
225,2023-01-27,406.0,15997,2053
226,2023-01-27,407.0,17132,437
227,2023-01-27,408.0,15491,175
228,2023-01-27,409.0,11400,112
229,2023-01-27,410.0,38184,409
230,2023-01-27,411.0,14893,25
231,2023-01-27,412.0,11482,46
232,2023-01-27,413.0,6789,7
233,2023-01-27,414.0,7555,15
234,2023-01-27,415.0,18202,27
235,2023-01-27,416.0,4682,0
