index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put,TotalOI
0,S     ,2023-02-23,2023-03-17,3.0,0,0,0
1,S     ,2023-02-23,2023-03-17,5.0,0,6,6
2,S     ,2023-02-23,2023-03-17,6.0,0,0,0
3,S     ,2023-02-23,2023-03-17,7.0,0,0,0
4,S     ,2023-02-23,2023-03-17,8.0,0,2,2
5,S     ,2023-02-23,2023-03-17,9.0,10,4,14
6,S     ,2023-02-23,2023-03-17,10.0,69,663,732
7,S     ,2023-02-23,2023-03-17,11.0,4,1090,1094
8,S     ,2023-02-23,2023-03-17,12.5,86,1020,1106
9,S     ,2023-02-23,2023-03-17,14.0,612,966,1578
10,S     ,2023-02-23,2023-03-17,15.0,6468,3535,10003
11,S     ,2023-02-23,2023-03-17,16.0,8607,1020,9627
12,S     ,2023-02-23,2023-03-17,17.5,2177,250,2427
13,S     ,2023-02-23,2023-03-17,19.0,922,74,996
14,S     ,2023-02-23,2023-03-17,20.0,1300,603,1903
15,S     ,2023-02-23,2023-03-17,21.0,208,18,226
16,S     ,2023-02-23,2023-03-17,22.5,397,164,561
17,S     ,2023-02-23,2023-03-17,24.0,58,38,96
18,S     ,2023-02-23,2023-03-17,25.0,196,74,270
19,S     ,2023-02-23,2023-03-17,26.0,1123,391,1514
20,S     ,2023-02-23,2023-03-17,27.0,708,49,757
21,S     ,2023-02-23,2023-03-17,28.0,1273,42,1315
22,S     ,2023-02-23,2023-03-17,29.0,520,109,629
23,S     ,2023-02-23,2023-03-17,30.0,92,0,92
24,S     ,2023-02-23,2023-03-17,31.0,201,53,254
25,S     ,2023-02-23,2023-03-17,32.0,659,0,659
26,S     ,2023-02-23,2023-03-17,33.0,33,0,33
27,S     ,2023-02-23,2023-03-17,34.0,57,0,57
28,S     ,2023-02-23,2023-03-17,35.0,355,0,355
29,S     ,2023-02-23,2023-03-17,40.0,427,0,427
30,S     ,2023-02-23,2023-04-21,5.0,0,0,0
31,S     ,2023-02-23,2023-04-21,7.0,0,0,0
32,S     ,2023-02-23,2023-04-21,8.0,0,0,0
33,S     ,2023-02-23,2023-04-21,9.0,0,1,1
34,S     ,2023-02-23,2023-04-21,10.0,0,69,69
35,S     ,2023-02-23,2023-04-21,11.0,0,8,8
