,ExpDate,Maximum Pain,Highest Premium Strike,Highest DFSxOI Strike,Top 2 OI Strikes,ITM P/C Ratio,Top 5 ITM OI Calls,Top 5 ITM OI Puts,Top 5 OI Calls,Top 5 OI Puts
0,2023-02-17,200.0,105.0,15.0,"{120.0: 87788.0, 200.0: 77672.0}",0.0435019115911133,"[(200.0, 48525.0), (160.0, 36996.0), (210.0, 36752.0), (120.0, 23100.0), (190.0, 20659.0)]","[(215.0, 4961.0), (220.0, 3649.0), (225.0, 2610.0), (230.0, 2559.0), (217.5, 1762.0)]","{200.0: 48525.0, 220.0: 47412.0, 250.0: 43497.0, 160.0: 36996.0, 210.0: 36752.0}","{120.0: 64688.0, 70.0: 54688.0, 80.0: 52812.0, 190.0: 47947.0, 160.0: 40128.0}"
1,2023-02-24,200.0,200.0,15.0,"{200.0: 33777.0, 210.0: 30572.0}",0.048563637613522656,"[(210.0, 25368.0), (200.0, 22229.0), (190.0, 9341.0), (170.0, 6369.0), (195.0, 5965.0)]","[(215.0, 1407.0), (220.0, 1349.0), (240.0, 1073.0), (230.0, 653.0), (217.5, 508.0)]","{210.0: 25368.0, 200.0: 22229.0, 220.0: 19840.0, 240.0: 13472.0, 230.0: 10556.0}","{190.0: 14432.0, 180.0: 12751.0, 200.0: 11548.0, 155.0: 7805.0, 150.0: 7394.0}"
2,2023-03-03,180.0,200.0,15.0,"{160.0: 12455.0, 200.0: 11781.0}",0.049014607002086714,"[(200.0, 8263.0), (210.0, 4654.0), (195.0, 3914.0), (205.0, 3792.0), (197.5, 3006.0)]","[(220.0, 784.0), (215.0, 554.0), (240.0, 441.0), (217.5, 391.0), (230.0, 315.0)]","{230.0: 8803.0, 200.0: 8263.0, 300.0: 6731.0, 250.0: 6635.0, 220.0: 6038.0}","{160.0: 11264.0, 150.0: 9780.0, 170.0: 4921.0, 200.0: 3518.0, 180.0: 3203.0}"
3,2023-03-10,200.0,177.5,15.0,"{195.0: 4508.0, 200.0: 3539.0}",0.058917964360250444,"[(200.0, 2013.0), (210.0, 1901.0), (177.5, 1889.0), (190.0, 1450.0), (202.5, 1382.0)]","[(215.0, 223.0), (250.0, 161.0), (217.5, 148.0), (225.0, 132.0), (230.0, 92.0)]","{265.0: 3408.0, 310.0: 2783.0, 250.0: 2621.0, 300.0: 2174.0, 200.0: 2013.0}","{195.0: 3784.0, 180.0: 2587.0, 170.0: 1590.0, 190.0: 1531.0, 200.0: 1526.0}"
4,2023-03-17,200.0,900.0,1.67,"{200.0: 76455.0, 300.0: 73207.0}",0.1435322358050612,"[(200.0, 39751.0), (135.0, 27640.0), (180.0, 20264.0), (190.0, 16870.0), (150.0, 13475.0)]","[(216.67, 2919.0), (850.0, 2354.0), (230.0, 1822.0), (900.0, 1735.0), (520.0, 1729.0)]","{300.0: 72748.0, 666.67: 70245.0, 825.0: 60223.0, 200.0: 39751.0, 316.67: 29631.0}","{100.0: 39039.0, 200.0: 36704.0, 135.0: 33858.0, 33.33: 33639.0, 140.0: 29832.0}"
5,2023-03-24,190.0,200.0,20.0,"{200.0: 4211.0, 220.0: 3321.0}",0.14852327857690018,"[(200.0, 2520.0), (210.0, 2418.0), (205.0, 1311.0), (197.5, 1139.0), (202.5, 651.0)]","[(220.0, 588.0), (215.0, 459.0), (230.0, 197.0), (240.0, 136.0), (225.0, 111.0)]","{220.0: 2733.0, 200.0: 2520.0, 210.0: 2418.0, 270.0: 1593.0, 205.0: 1311.0}","{200.0: 1691.0, 50.0: 1543.0, 180.0: 1140.0, 170.0: 892.0, 150.0: 763.0}"
6,2023-03-31,200.0,210.0,80.0,"{210.0: 846.0, 180.0: 757.0}",0.058803535010197146,"[(210.0, 715.0), (155.0, 306.0), (205.0, 296.0), (212.5, 257.0), (200.0, 254.0)]","[(215.0, 64.0), (230.0, 22.0), (235.0, 22.0), (260.0, 22.0), (220.0, 16.0)]","{210.0: 715.0, 250.0: 622.0, 220.0: 607.0, 280.0: 495.0, 230.0: 458.0}","{170.0: 706.0, 180.0: 510.0, 150.0: 510.0, 175.0: 399.0, 200.0: 292.0}"
7,2023-04-21,200.0,80.0,5.0,"{80.0: 29778.0, 100.0: 27007.0}",0.10166640877807902,"[(80.0, 25226.0), (200.0, 13241.0), (125.0, 11080.0), (175.0, 10738.0), (150.0, 7658.0)]","[(216.67, 2776.0), (225.0, 2109.0), (215.0, 1360.0), (220.0, 964.0), (258.33, 894.0)]","{80.0: 25226.0, 316.67: 22098.0, 600.0: 20965.0, 240.0: 13610.0, 200.0: 13241.0}","{100.0: 25447.0, 150.0: 17614.0, 191.67: 13902.0, 75.0: 13208.0, 125.0: 12268.0}"
8,2023-05-19,180.0,215.0,50.0,"{215.0: 27315.0, 100.0: 20635.0}",0.16793158291246965,"[(210.0, 10221.0), (200.0, 7993.0), (180.0, 7978.0), (150.0, 3916.0), (125.0, 3719.0)]","[(310.0, 5252.0), (215.0, 1392.0), (220.0, 1269.0), (320.0, 1169.0), (225.0, 843.0)]","{215.0: 25923.0, 210.0: 10221.0, 200.0: 7993.0, 180.0: 7978.0, 220.0: 7427.0}","{100.0: 19550.0, 140.0: 11562.0, 120.0: 7947.0, 110.0: 7217.0, 105.0: 6126.0}"
9,2023-06-16,200.0,1000.0,1.67,"{200.0: 50402.0, 825.0: 43189.0}",0.48023431388600846,"[(200.0, 25881.0), (150.0, 12697.0), (183.33, 9935.0), (180.0, 8317.0), (185.0, 7969.0)]","[(233.33, 7632.0), (220.0, 6979.0), (216.67, 6168.0), (1080.0, 3630.0), (1060.0, 3614.0)]","{825.0: 43189.0, 333.33: 33813.0, 200.0: 25881.0, 500.0: 21570.0, 466.67: 20903.0}","{1.67: 41937.0, 100.0: 28610.0, 200.0: 24521.0, 50.0: 17415.0, 33.33: 16785.0}"
