,ExpDate,Maximum Pain,Highest Premium Strike,Highest DFSxOI Strike,Top 2 OI Strikes,ITM P/C Ratio,Top 5 ITM OI Calls,Top 5 ITM OI Puts,Top 5 OI Calls,Top 5 OI Puts
0,2023-03-03,190.0,200.0,15.0,"{200.0: 46474.0, 220.0: 39527.0}",1.1548323471400395,"[(195.0, 6917), (190.0, 6012), (180.0, 3758), (170.0, 3196), (185.0, 2755)]","[(200.0, 9377.0), (210.0, 6404.0), (197.5, 4512.0), (235.0, 3851.0), (205.0, 3512.0)]","{220.0: 37180, 200.0: 37097, 210.0: 20328, 250.0: 15887, 215.0: 14770}","{150.0: 15153.0, 160.0: 12891.0, 190.0: 11814.0, 170.0: 11525.0, 180.0: 9832.0}"
1,2023-03-10,190.0,195.0,15.0,"{195.0: 8745.0, 150.0: 8253.0}",0.7623592076790767,"[(190.0, 2542), (195.0, 2469), (155.0, 2094), (177.5, 1794), (192.5, 1339)]","[(200.0, 2190.0), (215.0, 2144.0), (205.0, 1944.0), (197.5, 1595.0), (202.5, 1204.0)]","{320.0: 5644, 200.0: 5582, 210.0: 4946, 250.0: 4389, 205.0: 4192}","{150.0: 7940.0, 195.0: 6276.0, 170.0: 3438.0, 180.0: 3218.0, 190.0: 2557.0}"
2,2023-03-17,180.0,900.0,1.67,"{200.0: 89839.0, 300.0: 74993.0}",0.5742860580613307,"[(135.0, 27595), (180.0, 20620), (190.0, 17520), (195.0, 14414), (150.0, 13062)]","[(200.0, 44626.0), (205.0, 8350.0), (215.0, 6688.0), (210.0, 6497.0), (218.33, 4937.0)]","{300.0: 74590, 666.67: 70958, 825.0: 60262, 200.0: 45213, 400.0: 36801}","{200.0: 44626.0, 100.0: 39277.0, 135.0: 34519.0, 33.33: 33769.0, 150.0: 32181.0}"
3,2023-03-24,200.0,200.0,20.0,"{200.0: 5568.0, 210.0: 3682.0}",1.3183582917359955,"[(195.0, 1146), (190.0, 616), (155.0, 511), (180.0, 346), (170.0, 218)]","[(200.0, 2264.0), (212.5, 927.0), (220.0, 874.0), (215.0, 501.0), (210.0, 468.0)]","{200.0: 3304, 210.0: 3214, 220.0: 2111, 197.5: 1836, 250.0: 1668}","{200.0: 2264.0, 50.0: 1544.0, 175.0: 1540.0, 170.0: 1435.0, 150.0: 1391.0}"
4,2023-03-31,175.0,195.0,25.0,"{195.0: 5813.0, 190.0: 3357.0}",0.6969427882785741,"[(190.0, 2435), (175.0, 2145), (177.5, 521), (195.0, 499), (155.0, 396)]","[(200.0, 1506.0), (205.0, 913.0), (197.5, 828.0), (210.0, 571.0), (202.5, 448.0)]","{202.5: 2669, 190.0: 2435, 175.0: 2145, 210.0: 2030, 250.0: 1532}","{195.0: 5314.0, 200.0: 1506.0, 185.0: 1434.0, 150.0: 1237.0, 180.0: 1159.0}"
5,2023-04-06,170.0,200.0,100.0,"{200.0: 330.0, 197.5: 227.0}",0.3917808219178082,"[(172.5, 104), (195.0, 63), (190.0, 27), (160.0, 22), (187.5, 19)]","[(200.0, 85.0), (270.0, 16.0), (197.5, 12.0), (205.0, 11.0), (210.0, 6.0)]","{250.0: 624, 200.0: 245, 260.0: 237, 197.5: 215, 202.5: 206}","{145.0: 203.0, 130.0: 101.0, 195.0: 96.0, 200.0: 85.0, 160.0: 84.0}"
6,2023-04-21,175.0,80.0,5.0,"{80.0: 29779.0, 100.0: 29175.0}",0.29317587446878063,"[(80.0, 25226), (125.0, 10819), (175.0, 10790), (150.0, 8361), (120.0, 7255)]","[(200.0, 9908.0), (210.0, 3548.0), (216.67, 3189.0), (208.33, 2949.0), (205.0, 2619.0)]","{80.0: 25226, 600.0: 23451, 316.67: 22039, 433.33: 17060, 200.0: 15283}","{100.0: 27612.0, 150.0: 19693.0, 191.67: 18256.0, 120.0: 14201.0, 75.0: 13226.0}"
7,2023-05-19,180.0,310.0,50.0,"{215.0: 29118.0, 100.0: 20928.0}",0.565297458662066,"[(180.0, 8285), (150.0, 3975), (195.0, 3810), (125.0, 3737), (160.0, 3202)]","[(310.0, 5249.0), (205.0, 5199.0), (200.0, 4754.0), (210.0, 3827.0), (215.0, 2994.0)]","{215.0: 26124, 210.0: 11256, 200.0: 10193, 180.0: 8285, 220.0: 7297}","{100.0: 19828.0, 140.0: 11538.0, 120.0: 8148.0, 110.0: 7322.0, 105.0: 6200.0}"
8,2023-06-16,180.0,1000.0,1.67,"{200.0: 47265.0, 825.0: 42984.0}",0.9056708484777426,"[(150.0, 12286), (180.0, 10480), (183.33, 9401), (185.0, 7988), (140.0, 7566)]","[(200.0, 22106.0), (233.33, 7993.0), (220.0, 7746.0), (216.67, 6361.0), (210.0, 4495.0)]","{825.0: 42984, 333.33: 33229, 200.0: 25159, 500.0: 21365, 466.67: 20924}","{1.67: 41939.0, 100.0: 31743.0, 200.0: 22106.0, 50.0: 17793.0, 33.33: 16932.0}"
9,2023-07-21,185.0,185.0,5.0,"{250.0: 25961.0, 185.0: 17099.0}",0.6062168702466006,"[(190.0, 3922), (185.0, 3908), (150.0, 3196), (195.0, 2916), (180.0, 2071)]","[(200.0, 3684.0), (210.0, 2364.0), (205.0, 2352.0), (225.0, 2125.0), (240.0, 1746.0)]","{250.0: 24452, 210.0: 6819, 200.0: 5941, 225.0: 5269, 205.0: 3941}","{185.0: 13191.0, 100.0: 5738.0, 50.0: 5247.0, 120.0: 4864.0, 75.0: 4258.0}"
