index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put
0,TSLA  ,2023-02-01,2023-02-03,15.0,11,312
1,TSLA  ,2023-02-01,2023-02-03,20.0,1,600
2,TSLA  ,2023-02-01,2023-02-03,25.0,40,93
3,TSLA  ,2023-02-01,2023-02-03,30.0,0,378
4,TSLA  ,2023-02-01,2023-02-03,35.0,2,1721
5,TSLA  ,2023-02-01,2023-02-03,40.0,0,415
6,TSLA  ,2023-02-01,2023-02-03,45.0,0,1879
7,TSLA  ,2023-02-01,2023-02-03,50.0,126,3236
8,TSLA  ,2023-02-01,2023-02-03,55.0,25,1059
9,TSLA  ,2023-02-01,2023-02-03,60.0,13,4421
10,TSLA  ,2023-02-01,2023-02-03,65.0,10,1493
11,TSLA  ,2023-02-01,2023-02-03,70.0,68,4099
12,TSLA  ,2023-02-01,2023-02-03,75.0,18,3410
13,TSLA  ,2023-02-01,2023-02-03,80.0,49,5856
14,TSLA  ,2023-02-01,2023-02-03,85.0,127,14046
15,TSLA  ,2023-02-01,2023-02-03,86.0,23,3731
16,TSLA  ,2023-02-01,2023-02-03,87.0,33,545
17,TSLA  ,2023-02-01,2023-02-03,88.0,46,10433
18,TSLA  ,2023-02-01,2023-02-03,89.0,29,5622
19,TSLA  ,2023-02-01,2023-02-03,90.0,119,8018
20,TSLA  ,2023-02-01,2023-02-03,91.0,32,101
21,TSLA  ,2023-02-01,2023-02-03,92.0,26,111
22,TSLA  ,2023-02-01,2023-02-03,93.0,69,1591
23,TSLA  ,2023-02-01,2023-02-03,94.0,34,1384
24,TSLA  ,2023-02-01,2023-02-03,95.0,35,2233
25,TSLA  ,2023-02-01,2023-02-03,96.0,39,1760
26,TSLA  ,2023-02-01,2023-02-03,97.0,63,889
27,TSLA  ,2023-02-01,2023-02-03,98.0,18,610
28,TSLA  ,2023-02-01,2023-02-03,99.0,13,1302
29,TSLA  ,2023-02-01,2023-02-03,100.0,534,8420
30,TSLA  ,2023-02-01,2023-02-03,101.0,28,629
31,TSLA  ,2023-02-01,2023-02-03,102.0,45,1605
32,TSLA  ,2023-02-01,2023-02-03,103.0,73,928
33,TSLA  ,2023-02-01,2023-02-03,104.0,115,1095
34,TSLA  ,2023-02-01,2023-02-03,105.0,533,4226
35,TSLA  ,2023-02-01,2023-02-03,106.0,107,2218
36,TSLA  ,2023-02-01,2023-02-03,107.0,135,2977
37,TSLA  ,2023-02-01,2023-02-03,108.0,158,2217
38,TSLA  ,2023-02-01,2023-02-03,109.0,209,1631
39,TSLA  ,2023-02-01,2023-02-03,110.0,1381,14914
40,TSLA  ,2023-02-01,2023-02-03,111.0,222,2250
41,TSLA  ,2023-02-01,2023-02-03,112.0,293,2429
42,TSLA  ,2023-02-01,2023-02-03,113.0,419,3371
43,TSLA  ,2023-02-01,2023-02-03,114.0,438,2465
44,TSLA  ,2023-02-01,2023-02-03,115.0,1168,6114
45,TSLA  ,2023-02-01,2023-02-03,116.0,522,3769
46,TSLA  ,2023-02-01,2023-02-03,117.0,265,2974
47,TSLA  ,2023-02-01,2023-02-03,118.0,293,1834
48,TSLA  ,2023-02-01,2023-02-03,119.0,361,1438
49,TSLA  ,2023-02-01,2023-02-03,120.0,2031,14123
50,TSLA  ,2023-02-01,2023-02-03,121.0,270,3836
51,TSLA  ,2023-02-01,2023-02-03,122.0,632,3920
52,TSLA  ,2023-02-01,2023-02-03,123.0,1023,4182
53,TSLA  ,2023-02-01,2023-02-03,124.0,770,4664
54,TSLA  ,2023-02-01,2023-02-03,125.0,1221,10816
55,TSLA  ,2023-02-01,2023-02-03,126.0,596,4395
56,TSLA  ,2023-02-01,2023-02-03,127.0,547,3567
57,TSLA  ,2023-02-01,2023-02-03,128.0,664,4011
58,TSLA  ,2023-02-01,2023-02-03,129.0,1613,7929
59,TSLA  ,2023-02-01,2023-02-03,130.0,7774,19253
60,TSLA  ,2023-02-01,2023-02-03,131.0,1327,3039
61,TSLA  ,2023-02-01,2023-02-03,132.0,1189,3778
62,TSLA  ,2023-02-01,2023-02-03,133.0,1022,3831
63,TSLA  ,2023-02-01,2023-02-03,134.0,1838,4809
64,TSLA  ,2023-02-01,2023-02-03,135.0,2464,5601
65,TSLA  ,2023-02-01,2023-02-03,136.0,601,2928
66,TSLA  ,2023-02-01,2023-02-03,137.0,708,3763
67,TSLA  ,2023-02-01,2023-02-03,138.0,901,4364
68,TSLA  ,2023-02-01,2023-02-03,139.0,864,3228
69,TSLA  ,2023-02-01,2023-02-03,140.0,3786,17040
70,TSLA  ,2023-02-01,2023-02-03,141.0,957,2051
71,TSLA  ,2023-02-01,2023-02-03,142.0,1012,5737
72,TSLA  ,2023-02-01,2023-02-03,143.0,1743,2878
73,TSLA  ,2023-02-01,2023-02-03,144.0,1921,4155
74,TSLA  ,2023-02-01,2023-02-03,145.0,8969,10578
75,TSLA  ,2023-02-01,2023-02-03,146.0,1138,2506
76,TSLA  ,2023-02-01,2023-02-03,147.0,962,2606
77,TSLA  ,2023-02-01,2023-02-03,148.0,891,4029
78,TSLA  ,2023-02-01,2023-02-03,149.0,915,4552
79,TSLA  ,2023-02-01,2023-02-03,150.0,10562,25967
80,TSLA  ,2023-02-01,2023-02-03,152.5,1532,7037
81,TSLA  ,2023-02-01,2023-02-03,155.0,11607,14380
82,TSLA  ,2023-02-01,2023-02-03,157.5,3458,14171
83,TSLA  ,2023-02-01,2023-02-03,160.0,11812,23423
84,TSLA  ,2023-02-01,2023-02-03,162.5,2793,8855
85,TSLA  ,2023-02-01,2023-02-03,165.0,10382,17647
86,TSLA  ,2023-02-01,2023-02-03,167.5,4874,7348
87,TSLA  ,2023-02-01,2023-02-03,170.0,19833,11089
88,TSLA  ,2023-02-01,2023-02-03,172.5,12201,5557
89,TSLA  ,2023-02-01,2023-02-03,175.0,24977,8659
90,TSLA  ,2023-02-01,2023-02-03,177.5,10129,3084
91,TSLA  ,2023-02-01,2023-02-03,180.0,36165,8657
92,TSLA  ,2023-02-01,2023-02-03,182.5,8646,2435
93,TSLA  ,2023-02-01,2023-02-03,185.0,16738,3933
94,TSLA  ,2023-02-01,2023-02-03,187.5,6847,2415
95,TSLA  ,2023-02-01,2023-02-03,190.0,21683,3340
96,TSLA  ,2023-02-01,2023-02-03,192.5,3516,4746
97,TSLA  ,2023-02-01,2023-02-03,195.0,10709,4807
98,TSLA  ,2023-02-01,2023-02-03,197.5,4950,2293
99,TSLA  ,2023-02-01,2023-02-03,200.0,54703,3674
100,TSLA  ,2023-02-01,2023-02-03,202.5,6491,1017
101,TSLA  ,2023-02-01,2023-02-03,205.0,6944,1499
102,TSLA  ,2023-02-01,2023-02-03,207.5,4976,1223
103,TSLA  ,2023-02-01,2023-02-03,210.0,14460,913
