index,ProductSymbol,DateGen,ExpDate,Strike,Call,Put,TotalOI
0,TSLA  ,2023-02-09,2023-02-10,15.0,109,187,296
1,TSLA  ,2023-02-09,2023-02-10,20.0,19,1,20
2,TSLA  ,2023-02-09,2023-02-10,25.0,11,250,261
3,TSLA  ,2023-02-09,2023-02-10,30.0,7,1498,1505
4,TSLA  ,2023-02-09,2023-02-10,35.0,2,1462,1464
5,TSLA  ,2023-02-09,2023-02-10,40.0,2,934,936
6,TSLA  ,2023-02-09,2023-02-10,45.0,1,1869,1870
7,TSLA  ,2023-02-09,2023-02-10,50.0,10,2204,2214
8,TSLA  ,2023-02-09,2023-02-10,55.0,3,1158,1161
9,TSLA  ,2023-02-09,2023-02-10,60.0,10,2416,2426
10,TSLA  ,2023-02-09,2023-02-10,65.0,5,1705,1710
11,TSLA  ,2023-02-09,2023-02-10,70.0,14,1611,1625
12,TSLA  ,2023-02-09,2023-02-10,75.0,5,647,652
13,TSLA  ,2023-02-09,2023-02-10,80.0,69,1921,1990
14,TSLA  ,2023-02-09,2023-02-10,85.0,24,1022,1046
15,TSLA  ,2023-02-09,2023-02-10,90.0,59,1793,1852
16,TSLA  ,2023-02-09,2023-02-10,95.0,34,1370,1404
17,TSLA  ,2023-02-09,2023-02-10,98.0,42,695,737
18,TSLA  ,2023-02-09,2023-02-10,99.0,36,1226,1262
19,TSLA  ,2023-02-09,2023-02-10,100.0,164,3115,3279
20,TSLA  ,2023-02-09,2023-02-10,101.0,107,1894,2001
21,TSLA  ,2023-02-09,2023-02-10,102.0,51,513,564
22,TSLA  ,2023-02-09,2023-02-10,103.0,62,997,1059
23,TSLA  ,2023-02-09,2023-02-10,104.0,63,864,927
24,TSLA  ,2023-02-09,2023-02-10,105.0,157,3327,3484
25,TSLA  ,2023-02-09,2023-02-10,106.0,26,1778,1804
26,TSLA  ,2023-02-09,2023-02-10,107.0,54,1827,1881
27,TSLA  ,2023-02-09,2023-02-10,108.0,76,1530,1606
28,TSLA  ,2023-02-09,2023-02-10,109.0,104,1127,1231
29,TSLA  ,2023-02-09,2023-02-10,110.0,539,2354,2893
30,TSLA  ,2023-02-09,2023-02-10,111.0,102,383,485
31,TSLA  ,2023-02-09,2023-02-10,112.0,47,2474,2521
32,TSLA  ,2023-02-09,2023-02-10,113.0,173,1098,1271
33,TSLA  ,2023-02-09,2023-02-10,114.0,142,6026,6168
34,TSLA  ,2023-02-09,2023-02-10,115.0,269,2596,2865
35,TSLA  ,2023-02-09,2023-02-10,116.0,100,1084,1184
36,TSLA  ,2023-02-09,2023-02-10,117.0,175,1609,1784
37,TSLA  ,2023-02-09,2023-02-10,118.0,159,2835,2994
38,TSLA  ,2023-02-09,2023-02-10,119.0,145,816,961
39,TSLA  ,2023-02-09,2023-02-10,120.0,708,5079,5787
40,TSLA  ,2023-02-09,2023-02-10,121.0,243,1777,2020
41,TSLA  ,2023-02-09,2023-02-10,122.0,598,1208,1806
42,TSLA  ,2023-02-09,2023-02-10,123.0,271,1629,1900
43,TSLA  ,2023-02-09,2023-02-10,124.0,328,1550,1878
44,TSLA  ,2023-02-09,2023-02-10,125.0,856,4561,5417
45,TSLA  ,2023-02-09,2023-02-10,126.0,235,1102,1337
46,TSLA  ,2023-02-09,2023-02-10,127.0,377,1912,2289
47,TSLA  ,2023-02-09,2023-02-10,128.0,1144,1351,2495
48,TSLA  ,2023-02-09,2023-02-10,129.0,586,3349,3935
49,TSLA  ,2023-02-09,2023-02-10,130.0,1448,6662,8110
50,TSLA  ,2023-02-09,2023-02-10,131.0,531,2478,3009
51,TSLA  ,2023-02-09,2023-02-10,132.0,652,2086,2738
52,TSLA  ,2023-02-09,2023-02-10,133.0,750,2161,2911
53,TSLA  ,2023-02-09,2023-02-10,134.0,320,4826,5146
54,TSLA  ,2023-02-09,2023-02-10,135.0,1542,6497,8039
55,TSLA  ,2023-02-09,2023-02-10,136.0,391,3119,3510
56,TSLA  ,2023-02-09,2023-02-10,137.0,514,2829,3343
57,TSLA  ,2023-02-09,2023-02-10,138.0,793,5638,6431
58,TSLA  ,2023-02-09,2023-02-10,139.0,959,6547,7506
59,TSLA  ,2023-02-09,2023-02-10,140.0,2599,7943,10542
60,TSLA  ,2023-02-09,2023-02-10,141.0,739,1648,2387
61,TSLA  ,2023-02-09,2023-02-10,142.0,1276,3898,5174
62,TSLA  ,2023-02-09,2023-02-10,143.0,584,570,1154
63,TSLA  ,2023-02-09,2023-02-10,144.0,326,1383,1709
64,TSLA  ,2023-02-09,2023-02-10,145.0,2156,12741,14897
65,TSLA  ,2023-02-09,2023-02-10,146.0,895,1925,2820
66,TSLA  ,2023-02-09,2023-02-10,147.0,1007,3196,4203
67,TSLA  ,2023-02-09,2023-02-10,148.0,412,2401,2813
68,TSLA  ,2023-02-09,2023-02-10,149.0,322,2057,2379
69,TSLA  ,2023-02-09,2023-02-10,150.0,4012,12140,16152
70,TSLA  ,2023-02-09,2023-02-10,152.5,534,3609,4143
71,TSLA  ,2023-02-09,2023-02-10,155.0,6146,7457,13603
72,TSLA  ,2023-02-09,2023-02-10,157.5,1152,4578,5730
73,TSLA  ,2023-02-09,2023-02-10,160.0,3510,10849,14359
74,TSLA  ,2023-02-09,2023-02-10,162.5,1091,3262,4353
75,TSLA  ,2023-02-09,2023-02-10,165.0,4676,12496,17172
76,TSLA  ,2023-02-09,2023-02-10,167.5,1314,4950,6264
77,TSLA  ,2023-02-09,2023-02-10,170.0,5952,15607,21559
78,TSLA  ,2023-02-09,2023-02-10,172.5,2456,6484,8940
79,TSLA  ,2023-02-09,2023-02-10,175.0,5636,13466,19102
80,TSLA  ,2023-02-09,2023-02-10,177.5,2332,6104,8436
81,TSLA  ,2023-02-09,2023-02-10,180.0,7321,17634,24955
82,TSLA  ,2023-02-09,2023-02-10,182.5,2364,8474,10838
83,TSLA  ,2023-02-09,2023-02-10,185.0,7899,19419,27318
84,TSLA  ,2023-02-09,2023-02-10,187.5,2109,8382,10491
85,TSLA  ,2023-02-09,2023-02-10,190.0,14368,20213,34581
86,TSLA  ,2023-02-09,2023-02-10,192.5,3692,7431,11123
87,TSLA  ,2023-02-09,2023-02-10,195.0,14580,16617,31197
88,TSLA  ,2023-02-09,2023-02-10,197.5,7844,4832,12676
89,TSLA  ,2023-02-09,2023-02-10,200.0,33616,17719,51335
90,TSLA  ,2023-02-09,2023-02-10,202.5,11148,3149,14297
91,TSLA  ,2023-02-09,2023-02-10,205.0,21054,3049,24103
92,TSLA  ,2023-02-09,2023-02-10,207.5,7351,2167,9518
93,TSLA  ,2023-02-09,2023-02-10,210.0,26731,3270,30001
94,TSLA  ,2023-02-09,2023-02-10,212.5,5483,1067,6550
95,TSLA  ,2023-02-09,2023-02-10,215.0,17602,1760,19362
96,TSLA  ,2023-02-09,2023-02-10,217.5,6615,465,7080
97,TSLA  ,2023-02-09,2023-02-10,220.0,24174,1634,25808
98,TSLA  ,2023-02-09,2023-02-10,222.5,6071,284,6355
99,TSLA  ,2023-02-09,2023-02-10,225.0,11295,530,11825
100,TSLA  ,2023-02-09,2023-02-10,227.5,6602,205,6807
101,TSLA  ,2023-02-09,2023-02-10,230.0,15959,648,16607
102,TSLA  ,2023-02-09,2023-02-10,232.5,4027,127,4154
103,TSLA  ,2023-02-09,2023-02-10,235.0,12249,253,12502
104,TSLA  ,2023-02-09,2023-02-10,237.5,2865,105,2970
105,TSLA  ,2023-02-09,2023-02-10,240.0,11300,162,11462
106,TSLA  ,2023-02-09,2023-02-10,242.5,2884,0,2884
107,TSLA  ,2023-02-09,2023-02-10,245.0,8497,14,8511
108,TSLA  ,2023-02-09,2023-02-10,247.5,5696,0,5696
109,TSLA  ,2023-02-09,2023-02-10,250.0,14164,32,14196
110,TSLA  ,2023-02-09,2023-02-10,252.5,1270,0,1270
111,TSLA  ,2023-02-09,2023-02-10,255.0,6239,16,6255
112,TSLA  ,2023-02-09,2023-02-10,257.5,1690,1,1691
113,TSLA  ,2023-02-09,2023-02-10,260.0,9340,0,9340
114,TSLA  ,2023-02-09,2023-02-10,265.0,6706,10,6716
115,TSLA  ,2023-02-09,2023-02-10,270.0,12375,0,12375
116,TSLA  ,2023-02-09,2023-02-10,275.0,7991,0,7991
117,TSLA  ,2023-02-09,2023-02-10,280.0,7880,0,7880
118,TSLA  ,2023-02-09,2023-02-10,285.0,12163,0,12163
119,TSLA  ,2023-02-09,2023-02-10,290.0,9158,0,9158
120,TSLA  ,2023-02-09,2023-02-10,295.0,4160,0,4160
121,TSLA  ,2023-02-09,2023-02-10,300.0,3535,1,3536
122,TSLA  ,2023-02-09,2023-02-10,310.0,1721,0,1721
123,TSLA  ,2023-02-09,2023-02-10,320.0,1521,0,1521
124,TSLA  ,2023-02-09,2023-02-10,330.0,1239,0,1239
125,TSLA  ,2023-02-09,2023-02-10,340.0,1341,0,1341
126,TSLA  ,2023-02-09,2023-02-10,350.0,2089,0,2089
127,TSLA  ,2023-02-09,2023-02-10,360.0,3226,0,3226
128,TSLA  ,2023-02-09,2023-02-17,15.0,172,304,476
129,TSLA  ,2023-02-09,2023-02-17,20.0,35,41,76
130,TSLA  ,2023-02-09,2023-02-17,25.0,4,99,103
131,TSLA  ,2023-02-09,2023-02-17,30.0,71,2723,2794
132,TSLA  ,2023-02-09,2023-02-17,35.0,0,5413,5413
133,TSLA  ,2023-02-09,2023-02-17,40.0,163,10375,10538
134,TSLA  ,2023-02-09,2023-02-17,45.0,0,1739,1739
135,TSLA  ,2023-02-09,2023-02-17,50.0,977,17136,18113
136,TSLA  ,2023-02-09,2023-02-17,55.0,41,5311,5352
137,TSLA  ,2023-02-09,2023-02-17,60.0,488,9043,9531
138,TSLA  ,2023-02-09,2023-02-17,65.0,28,6535,6563
139,TSLA  ,2023-02-09,2023-02-17,70.0,74,53619,53693
140,TSLA  ,2023-02-09,2023-02-17,75.0,128,7661,7789
141,TSLA  ,2023-02-09,2023-02-17,80.0,204,27813,28017
142,TSLA  ,2023-02-09,2023-02-17,85.0,259,13279,13538
143,TSLA  ,2023-02-09,2023-02-17,90.0,284,16687,16971
144,TSLA  ,2023-02-09,2023-02-17,95.0,821,17562,18383
145,TSLA  ,2023-02-09,2023-02-17,100.0,3350,38357,41707
146,TSLA  ,2023-02-09,2023-02-17,105.0,20739,29269,50008
147,TSLA  ,2023-02-09,2023-02-17,110.0,3500,25716,29216
148,TSLA  ,2023-02-09,2023-02-17,115.0,15403,23896,39299
149,TSLA  ,2023-02-09,2023-02-17,118.0,266,1643,1909
150,TSLA  ,2023-02-09,2023-02-17,119.0,12,1374,1386
151,TSLA  ,2023-02-09,2023-02-17,120.0,26352,48750,75102
152,TSLA  ,2023-02-09,2023-02-17,121.0,30,1023,1053
153,TSLA  ,2023-02-09,2023-02-17,122.0,184,1331,1515
154,TSLA  ,2023-02-09,2023-02-17,123.0,97,1525,1622
155,TSLA  ,2023-02-09,2023-02-17,124.0,31,1188,1219
156,TSLA  ,2023-02-09,2023-02-17,125.0,12248,16202,28450
157,TSLA  ,2023-02-09,2023-02-17,126.0,47,1124,1171
158,TSLA  ,2023-02-09,2023-02-17,127.0,65,1224,1289
159,TSLA  ,2023-02-09,2023-02-17,128.0,50,2377,2427
160,TSLA  ,2023-02-09,2023-02-17,129.0,93,1622,1715
161,TSLA  ,2023-02-09,2023-02-17,130.0,13516,14900,28416
162,TSLA  ,2023-02-09,2023-02-17,131.0,151,1374,1525
163,TSLA  ,2023-02-09,2023-02-17,132.0,227,1334,1561
164,TSLA  ,2023-02-09,2023-02-17,133.0,70,1306,1376
165,TSLA  ,2023-02-09,2023-02-17,134.0,361,1614,1975
166,TSLA  ,2023-02-09,2023-02-17,135.0,7756,10809,18565
167,TSLA  ,2023-02-09,2023-02-17,136.0,1428,3271,4699
168,TSLA  ,2023-02-09,2023-02-17,137.0,869,1562,2431
169,TSLA  ,2023-02-09,2023-02-17,138.0,1183,1342,2525
170,TSLA  ,2023-02-09,2023-02-17,139.0,940,1043,1983
171,TSLA  ,2023-02-09,2023-02-17,140.0,8021,16054,24075
172,TSLA  ,2023-02-09,2023-02-17,141.0,327,1702,2029
173,TSLA  ,2023-02-09,2023-02-17,142.0,915,1544,2459
174,TSLA  ,2023-02-09,2023-02-17,143.0,268,1252,1520
175,TSLA  ,2023-02-09,2023-02-17,144.0,320,1119,1439
176,TSLA  ,2023-02-09,2023-02-17,145.0,12327,21656,33983
177,TSLA  ,2023-02-09,2023-02-17,146.0,1748,1363,3111
178,TSLA  ,2023-02-09,2023-02-17,147.0,530,4364,4894
179,TSLA  ,2023-02-09,2023-02-17,148.0,248,2082,2330
180,TSLA  ,2023-02-09,2023-02-17,149.0,458,1749,2207
181,TSLA  ,2023-02-09,2023-02-17,150.0,15256,25277,40533
182,TSLA  ,2023-02-09,2023-02-17,152.5,1069,2523,3592
183,TSLA  ,2023-02-09,2023-02-17,155.0,10430,8930,19360
184,TSLA  ,2023-02-09,2023-02-17,157.5,1495,4013,5508
185,TSLA  ,2023-02-09,2023-02-17,160.0,29332,20155,49487
186,TSLA  ,2023-02-09,2023-02-17,162.5,1385,5235,6620
187,TSLA  ,2023-02-09,2023-02-17,165.0,12612,11777,24389
188,TSLA  ,2023-02-09,2023-02-17,167.5,1005,3685,4690
189,TSLA  ,2023-02-09,2023-02-17,170.0,19329,17801,37130
190,TSLA  ,2023-02-09,2023-02-17,172.5,2234,5361,7595
191,TSLA  ,2023-02-09,2023-02-17,175.0,10220,10456,20676
192,TSLA  ,2023-02-09,2023-02-17,177.5,2378,3095,5473
193,TSLA  ,2023-02-09,2023-02-17,180.0,12597,19722,32319
194,TSLA  ,2023-02-09,2023-02-17,182.5,4775,3785,8560
195,TSLA  ,2023-02-09,2023-02-17,185.0,14761,7917,22678
196,TSLA  ,2023-02-09,2023-02-17,187.5,2201,2332,4533
197,TSLA  ,2023-02-09,2023-02-17,190.0,16618,14845,31463
198,TSLA  ,2023-02-09,2023-02-17,192.5,3370,2911,6281
199,TSLA  ,2023-02-09,2023-02-17,195.0,8438,7213,15651
200,TSLA  ,2023-02-09,2023-02-17,197.5,5228,2771,7999
201,TSLA  ,2023-02-09,2023-02-17,200.0,47282,8622,55904
202,TSLA  ,2023-02-09,2023-02-17,202.5,7369,2034,9403
203,TSLA  ,2023-02-09,2023-02-17,205.0,8770,2300,11070
204,TSLA  ,2023-02-09,2023-02-17,207.5,1447,504,1951
205,TSLA  ,2023-02-09,2023-02-17,210.0,19999,2233,22232
206,TSLA  ,2023-02-09,2023-02-17,212.5,2297,283,2580
207,TSLA  ,2023-02-09,2023-02-17,215.0,14588,1998,16586
208,TSLA  ,2023-02-09,2023-02-17,217.5,1220,47,1267
209,TSLA  ,2023-02-09,2023-02-17,220.0,37046,1955,39001
210,TSLA  ,2023-02-09,2023-02-17,222.5,1383,80,1463
211,TSLA  ,2023-02-09,2023-02-17,225.0,10203,636,10839
212,TSLA  ,2023-02-09,2023-02-17,227.5,640,22,662
213,TSLA  ,2023-02-09,2023-02-17,230.0,11393,591,11984
214,TSLA  ,2023-02-09,2023-02-17,232.5,857,42,899
215,TSLA  ,2023-02-09,2023-02-17,235.0,5238,169,5407
216,TSLA  ,2023-02-09,2023-02-17,237.5,661,48,709
217,TSLA  ,2023-02-09,2023-02-17,240.0,7355,107,7462
218,TSLA  ,2023-02-09,2023-02-17,242.5,1036,2,1038
219,TSLA  ,2023-02-09,2023-02-17,245.0,3283,81,3364
220,TSLA  ,2023-02-09,2023-02-17,247.5,604,2,606
221,TSLA  ,2023-02-09,2023-02-17,250.0,20052,108,20160
