index,ExpDate,Strike,Call,Put
0,2023-01-27,15.0,947,7
1,2023-01-27,20.0,78,37
2,2023-01-27,25.0,8,135
3,2023-01-27,30.0,0,366
4,2023-01-27,35.0,15,275
5,2023-01-27,40.0,1,1829
6,2023-01-27,45.0,0,125
7,2023-01-27,50.0,101,2497
8,2023-01-27,55.0,14,2893
9,2023-01-27,60.0,7,3526
10,2023-01-27,65.0,15,6568
11,2023-01-27,70.0,23,14357
12,2023-01-27,75.0,33,6889
13,2023-01-27,80.0,237,10051
14,2023-01-27,85.0,76,13833
15,2023-01-27,86.0,5,2061
16,2023-01-27,87.0,26,193
17,2023-01-27,88.0,5,1961
18,2023-01-27,89.0,8,879
19,2023-01-27,90.0,286,9517
20,2023-01-27,91.0,18,1069
21,2023-01-27,92.0,56,1770
22,2023-01-27,93.0,30,395
23,2023-01-27,94.0,45,1487
24,2023-01-27,95.0,133,5652
25,2023-01-27,96.0,43,364
26,2023-01-27,97.0,20,778
27,2023-01-27,98.0,18,2277
28,2023-01-27,99.0,160,1597
29,2023-01-27,100.0,707,29111
30,2023-01-27,101.0,122,1160
31,2023-01-27,102.0,81,1793
32,2023-01-27,103.0,233,1985
33,2023-01-27,104.0,151,1593
34,2023-01-27,105.0,630,9016
35,2023-01-27,106.0,227,2999
36,2023-01-27,107.0,309,901
37,2023-01-27,108.0,270,2250
38,2023-01-27,109.0,594,1739
39,2023-01-27,110.0,3560,19510
40,2023-01-27,111.0,964,2073
41,2023-01-27,112.0,1010,3789
42,2023-01-27,113.0,724,2327
43,2023-01-27,114.0,434,2745
44,2023-01-27,115.0,4054,13026
45,2023-01-27,116.0,691,3232
46,2023-01-27,117.0,699,4618
47,2023-01-27,118.0,1401,2983
48,2023-01-27,119.0,1175,2548
49,2023-01-27,120.0,4513,28302
50,2023-01-27,121.0,929,2808
51,2023-01-27,122.0,2163,4242
52,2023-01-27,123.0,2311,3305
53,2023-01-27,124.0,1561,5538
54,2023-01-27,125.0,6775,19830
55,2023-01-27,126.0,2202,4611
56,2023-01-27,127.0,2771,8101
57,2023-01-27,128.0,1747,6790
58,2023-01-27,129.0,3028,3775
59,2023-01-27,130.0,15328,22914
60,2023-01-27,131.0,2573,10259
61,2023-01-27,132.0,2637,5851
62,2023-01-27,133.0,2650,4125
