,01/12/23,01/13/23,01/17/23,01/18/23,01/19/23,01/20/23,01/23/23,01/24/23,01/25/23,01/27/23,01/30/23,01/31/23,02/01/23,02/02/23,02/03/23,02/06/23,02/07/23,02/08/23,02/09/23,02/10/23,02/13/23,02/14/23,02/16/23,02/17/23,02/21/23,02/22/23,02/23/23,02/24/23,02/27/23
01/13/23,120.0,120.0,122.40,,,,,,,,,,,,,,,,,,,,,,,,,,
01/20/23,136.67,135.0,133.33,131.0,130.0,130.0,133.42,,,,,,,,,,,,,,,,,,,,,,
01/27/23,125.0,125.0,124.0,128.0,130.0,130.0,130.0,135.0,138.0,147.0,177.90,,,,,,,,,,,,,,,,,,
02/03/23,119.0,120.0,120.0,125.0,127.0,127.0,130.0,134.0,136.0,145.0,157.5,160.0,162.5,165.0,175.0,189.98,,,,,,,,,,,,,
02/10/23,130.0,130.0,125.0,129.0,129.0,129.0,130.0,137.0,138.0,141.0,147.0,150.0,155.0,160.0,165.0,175.0,182.5,185.0,190.0,197.5,196.89,,,,,,,,
02/17/23,135.0,135.0,130.0,130.0,130.0,130.0,130.0,130.0,135.0,140.0,145.0,145.0,145.0,145.0,150.0,150.0,150.0,152.5,157.5,160.0,165.0,165.0,180.0,180.0,208.31,,,,
02/24/23,120.0,120.0,120.0,122.0,122.0,125.0,126.0,129.0,130.0,135.0,140.0,145.0,145.0,150.0,155.0,155.0,160.0,160.0,165.0,172.5,170.0,170.0,190.0,190.0,195.0,197.5,195.0,197.5,196.88
03/03/23,110.0,120.0,121.0,124.0,125.0,128.0,128.0,129.0,129.0,131.0,135.0,150.0,155.0,160.0,160.0,162.5,162.5,165.0,170.0,170.0,172.5,172.5,180.0,180.0,190.0,190.0,195.0,197.5,197.5
03/10/23,,,,,,,,,,157.5,170.0,170.0,170.0,170.0,175.0,177.5,177.5,177.5,180.0,187.5,187.5,187.5,195.0,195.0,195.0,195.0,195.0,195.0,195.0
03/17/23,165.0,166.67,163.33,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,163.33,166.67,166.67,166.67,170.0,170.0,170.0,170.0,175.0,175.0,180.0,180.0,180.0,180.0,180.0
03/24/23,,,,,,,,,,,,,,50.0,187.5,190.0,190.0,190.0,200.0,200.0,200.0,200.0,197.5,197.5,200.0,200.0,200.0,200.0,197.5
03/31/23,,,,,,,,,,,,,,,,,,,100.0,200.0,195.0,195.0,197.5,197.5,200.0,200.0,200.0,200.0,195.0
04/06/23,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,197.5,190.0
04/21/23,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,140.0,140.0,140.0,141.67,141.67,141.67,150.0,150.0,150.0,150.0,158.33,158.33,158.33,160.0,160.0,165.0,166.67,166.67,166.67,166.67
05/19/23,130.0,130.0,130.0,115.0,115.0,115.0,115.0,120.0,120.0,125.0,135.0,135.0,135.0,140.0,140.0,150.0,150.0,150.0,155.0,160.0,155.0,155.0,175.0,175.0,180.0,180.0,180.0,180.0,180.0
06/16/23,185.0,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,180.0,180.0,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33
07/21/23,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
09/15/23,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,156.67,160.0,160.0,160.0,160.0,160.0,160.0,163.33,165.0,165.0,166.67,166.67,166.67,173.33,173.33,173.33,173.33,173.33,173.33,173.33
11/17/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,200.0
12/15/23,145.0,145.0,150.0,145.0,135.0,135.0,140.0,135.0,135.0,135.0,145.0,150.0,150.0,160.0,160.0,160.0,160.0,165.0,165.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
01/19/24,180.0,180.0,180.0,180.0,180.0,180.0,175.0,173.33,173.33,173.33,173.33,173.33,173.33,173.33,175.0,175.0,175.0,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33
