,ExpDate,DateGen,Maximum Pain,Top 5 Calls,Top 5 Puts,highestOIstrike
0,2023-02-03,2023-01-31,36.0,"    Strike   Call
47    59.0  10868
36    49.0   6933
45    57.0   5973
34    48.0   3759
46    58.0   3388","    Strike   Put
38    50.0  1562
14    38.0  1236
28    45.0  1145
40    52.0   976
36    49.0   974",47.0
1,2023-02-10,2023-01-31,25.0,"     Strike  Call
110    65.0  2713
75     40.0  2005
106    61.0  1024
103    58.0   774
102    57.0   597","    Strike   Put
75    40.0  2223
65    32.0  1219
89    47.0  1192
83    44.0  1016
66    33.0   762",75.0
2,2023-02-17,2023-01-31,20.0,"     Strike  Call
153    65.0  4635
157    85.0  3694
148    60.0  3606
158    90.0  3104
143    55.0  2613","     Strike   Put
128    45.0  5595
124    40.0  3245
122    30.0  2867
138    50.0  2808
121    25.0  2728",20.0
3,2023-02-24,2023-01-31,25.0,"     Strike  Call
189    60.0   694
177    48.0   451
181    52.0   412
194    65.0   357
184    55.0   246","     Strike   Put
159    25.0  2503
164    35.0   484
169    40.0   356
163    34.0   266
174    45.0   198",25.0
4,2023-03-03,2023-01-31,25.0,"     Strike  Call
226    65.0   194
217    56.0    65
227    70.0    60
219    58.0    58
216    55.0    53","     Strike  Put
196    25.0  743
199    38.0  231
206    45.0  154
197    30.0  113
201    40.0   78",25.0
5,2023-03-10,2023-01-31,30.0,"     Strike  Call
256    70.0   105
244    54.0    71
246    56.0    31
248    58.0    29
252    62.0    25","     Strike  Put
246    56.0   38
236    46.0   38
234    44.0   35
242    52.0   31
232    42.0   25",30.0
6,2023-03-17,2023-01-31,20.0,"     Strike  Call
276   110.0  2342
274   100.0  2011
265    55.0  1871
266    60.0  1784
267    65.0  1715","     Strike   Put
260    30.0  7631
261    35.0  7513
262    40.0  3492
263    45.0  3340
259    25.0  2671",20.0
7,2023-04-21,2023-01-31,20.0,"     Strike  Call
294   100.0  1287
286    60.0  1249
289    75.0   836
288    70.0   733
287    65.0   650","     Strike   Put
280    30.0  2407
284    50.0  2011
282    40.0  1441
283    45.0  1367
279    25.0  1122",20.0
8,2023-06-16,2023-01-31,20.0,"     Strike  Call
325   140.0  2623
309    60.0  2113
308    55.0  1713
311    70.0  1668
317   100.0  1572","     Strike   Put
306    45.0  8820
307    50.0  8785
305    40.0  3745
303    30.0  3234
301    22.5  2164",20.0
9,2023-07-21,2023-01-31,20.0,"     Strike  Call
339    80.0   509
336    65.0   457
337    70.0   374
333    50.0   341
338    75.0   295","     Strike   Put
330    35.0  1560
329    30.0  1370
334    55.0  1295
331    40.0  1106
339    80.0   799",20.0
10,2023-09-15,2023-01-31,20.0,"     Strike  Call
351    60.0  3890
347    40.0  1809
352    65.0   867
357    90.0   404
350    55.0   235","     Strike   Put
347    40.0  1281
346    35.0   531
348    45.0   453
349    50.0   445
344    25.0   298",20.0
11,2024-01-19,2023-01-31,20.0,"     Strike  Call
406   300.0  2545
428   520.0  2416
379   120.0  2301
373    90.0  2015
385   150.0  1629","     Strike   Put
364    45.0  2302
367    60.0  2250
361    30.0  2054
363    40.0  1689
371    80.0  1012",360.0
12,2024-06-21,2023-01-31,20.0,"     Strike  Call
444    90.0    40
440    70.0    32
442    80.0    29
436    50.0    25
434    40.0    19","     Strike  Put
433    35.0  415
435    45.0  406
442    80.0   70
436    50.0   65
432    30.0   39",20.0
13,2025-01-17,2023-01-31,20.0,"     Strike  Call
454    60.0  1857
455    65.0   861
464   110.0   804
463   105.0   459
453    55.0   206","     Strike  Put
452    50.0  508
453    55.0  272
449    35.0  253
451    45.0  235
454    60.0  208",20.0
