,ExpDate,DateGen,Maximum Pain,Top 5 Calls,Top 5 Puts,highestOIstrike
0,2023-02-03,2023-02-03,49.0,"{60.0: 9248, 57.0: 5418, 49.0: 3861, 59.0: 3755, 56.0: 2586}","{50.0: 2069, 45.0: 1450, 53.0: 1429, 38.0: 1236, 56.0: 1000}",20.0
1,2023-02-10,2023-02-03,40.0,"{65.0: 3132, 72.0: 3072, 40.0: 2005, 75.0: 1424, 70.0: 936}","{40.0: 2197, 32.0: 1219, 44.0: 931, 47.0: 913, 58.0: 905}",25.0
2,2023-02-17,2023-02-03,50.0,"{65.0: 4926, 85.0: 3500, 90.0: 3255, 55.0: 2514, 60.0: 2486}","{45.0: 5556, 30.0: 4702, 40.0: 3104, 35.0: 2957, 50.0: 2853}",20.0
3,2023-02-24,2023-02-03,48.0,"{60.0: 757, 70.0: 490, 48.0: 449, 52.0: 420, 65.0: 383}","{25.0: 2503, 35.0: 481, 40.0: 266, 34.0: 246, 36.0: 199}",25.0
4,2023-03-03,2023-02-03,55.0,"{65.0: 183, 70.0: 129, 55.0: 84, 58.0: 66, 60.0: 65}","{25.0: 743, 38.0: 221, 45.0: 181, 30.0: 113, 40.0: 79}",25.0
5,2023-03-10,2023-02-03,54.0,"{70.0: 136, 54.0: 73, 65.0: 60, 58.0: 51, 55.0: 45}","{44.0: 301, 46.0: 283, 45.0: 110, 52.0: 82, 47.0: 48}",30.0
6,2023-03-17,2023-02-03,55.0,"{100.0: 2827, 65.0: 2327, 110.0: 2192, 85.0: 2133, 55.0: 1873}","{35.0: 7986, 30.0: 7597, 40.0: 3196, 45.0: 2995, 50.0: 2907}",20.0
7,2023-03-24,2023-02-03,55.0,"{64.0: 40, 55.0: 21, 65.0: 17, 60.0: 15, 69.0: 15}","{69.0: 10, 48.0: 5, 57.0: 4, 65.0: 3, 60.0: 2}",45.0
8,2023-04-21,2023-02-03,45.0,"{100.0: 1388, 60.0: 1309, 75.0: 960, 70.0: 805, 65.0: 723}","{30.0: 2433, 50.0: 2049, 45.0: 1425, 40.0: 1268, 25.0: 1148}",20.0
9,2023-06-16,2023-02-03,85.0,"{60.0: 2271, 70.0: 1729, 55.0: 1691, 140.0: 1620, 100.0: 1511}","{50.0: 9273, 45.0: 8790, 40.0: 3770, 30.0: 3252, 35.0: 2162}",20.0
10,2023-07-21,2023-02-03,80.0,"{85.0: 1287, 80.0: 719, 65.0: 462, 70.0: 393, 75.0: 386}","{40.0: 1662, 35.0: 1578, 30.0: 1491, 55.0: 1298, 80.0: 799}",20.0
11,2023-09-15,2023-02-03,40.0,"{60.0: 3895, 40.0: 1808, 65.0: 870, 90.0: 443, 80.0: 382}","{40.0: 1283, 50.0: 544, 35.0: 534, 45.0: 502, 25.0: 300}",20.0
12,2024-01-19,2023-02-03,40.0,"{520.0: 2798, 300.0: 2201, 120.0: 2160, 90.0: 2032, 200.0: 1657}","{60.0: 2229, 45.0: 2227, 30.0: 2048, 40.0: 1619, 35.0: 1134}",20.0
13,2024-06-21,2023-02-03,80.0,"{90.0: 40, 80.0: 35, 70.0: 33, 50.0: 28, 65.0: 24}","{35.0: 412, 45.0: 407, 80.0: 70, 50.0: 65, 40.0: 40}",20.0
14,2025-01-17,2023-02-03,60.0,"{60.0: 1877, 65.0: 881, 110.0: 874, 105.0: 472, 100.0: 226}","{75.0: 1039, 50.0: 566, 45.0: 295, 55.0: 279, 35.0: 250}",20.0
