,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio
0,2023-02-07,2023-02-10,40.0,40.0,"{65.0: 3561, 72.0: 3531, 66.0: 2160, 40.0: 2018, 70.0: 1866}","{40.0: 2189, 32.0: 1219, 56.0: 1054, 47.0: 1040, 60.0: 980}","{40.0: 4207, 65.0: 3838, 72.0: 3544, 66.0: 2954, 70.0: 1960}",0.8028990450204638
1,2023-02-07,2023-02-17,50.0,30.0,"{65.0: 4928, 85.0: 3500, 90.0: 3260, 55.0: 2510, 60.0: 2426}","{30.0: 5223, 35.0: 5073, 45.0: 4204, 50.0: 3228, 40.0: 3038}","{65.0: 6041, 45.0: 5499, 50.0: 5394, 30.0: 5317, 35.0: 5148}",1.111738421592899
2,2023-02-07,2023-02-24,48.0,25.0,"{60.0: 759, 70.0: 503, 48.0: 447, 52.0: 417, 65.0: 337}","{25.0: 2503, 35.0: 481, 40.0: 262, 34.0: 246, 50.0: 199}","{25.0: 2507, 60.0: 841, 52.0: 571, 70.0: 515, 48.0: 514}",1.1765906771010548
3,2023-02-07,2023-03-03,52.0,25.0,"{65.0: 276, 100.0: 228, 70.0: 138, 66.0: 72, 55.0: 68}","{25.0: 743, 38.0: 224, 45.0: 192, 35.0: 159, 47.0: 124}","{25.0: 743, 65.0: 326, 100.0: 228, 38.0: 225, 45.0: 194}",1.571035242290749
4,2023-02-07,2023-03-10,54.0,44.0,"{70.0: 142, 54.0: 74, 65.0: 68, 58.0: 51, 60.0: 47}","{44.0: 307, 46.0: 286, 45.0: 108, 52.0: 91, 47.0: 53}","{44.0: 307, 46.0: 286, 70.0: 160, 65.0: 117, 52.0: 115}",1.654632972322503
5,2023-02-07,2023-03-17,50.0,30.0,"{100.0: 2785, 65.0: 2320, 85.0: 2152, 110.0: 2072, 55.0: 1878}","{35.0: 8031, 30.0: 7623, 40.0: 3062, 45.0: 2992, 50.0: 2864}","{35.0: 8223, 30.0: 7635, 50.0: 4047, 45.0: 3460, 40.0: 3375}",1.4601133692796904
6,2023-02-07,2023-03-24,55.0,100.0,"{64.0: 42, 60.0: 39, 55.0: 21, 65.0: 20, 69.0: 19}","{62.0: 23, 60.0: 19, 46.0: 12, 59.0: 11, 69.0: 9}","{60.0: 58, 64.0: 42, 55.0: 28, 69.0: 28, 62.0: 27}",0.4866920152091255
7,2023-02-07,2023-04-21,75.0,30.0,"{100.0: 1443, 60.0: 1306, 75.0: 1003, 70.0: 1000, 65.0: 988}","{30.0: 2433, 50.0: 1998, 45.0: 1427, 40.0: 1250, 25.0: 1136}","{50.0: 2484, 30.0: 2451, 60.0: 1950, 45.0: 1792, 75.0: 1618}",1.197089947089947
8,2023-02-07,2023-06-16,85.0,45.0,"{60.0: 2279, 70.0: 1709, 55.0: 1688, 140.0: 1599, 100.0: 1471}","{50.0: 9239, 45.0: 8419, 40.0: 3698, 30.0: 3248, 35.0: 2162}","{50.0: 9849, 45.0: 8854, 40.0: 3911, 55.0: 3562, 30.0: 3260}",1.7361416026344676
9,2023-02-07,2023-07-21,80.0,30.0,"{85.0: 1319, 80.0: 750, 70.0: 509, 65.0: 467, 75.0: 392}","{40.0: 1666, 30.0: 1594, 35.0: 1581, 55.0: 1332, 80.0: 799}","{30.0: 1843, 40.0: 1798, 85.0: 1695, 35.0: 1596, 80.0: 1549}",2.1180978581253687
10,2023-02-07,2023-09-15,40.0,40.0,"{60.0: 3896, 40.0: 1808, 65.0: 883, 90.0: 440, 80.0: 393}","{40.0: 1284, 45.0: 762, 50.0: 586, 35.0: 584, 25.0: 297}","{60.0: 4051, 40.0: 3092, 65.0: 1138, 45.0: 780, 35.0: 619}",0.548721071863581
11,2023-02-07,2024-01-19,90.0,520.0,"{520.0: 2797, 300.0: 2205, 120.0: 2160, 90.0: 2047, 200.0: 1657}","{45.0: 2222, 60.0: 2183, 30.0: 2049, 40.0: 1620, 35.0: 1141}","{90.0: 2833, 60.0: 2823, 520.0: 2797, 45.0: 2606, 40.0: 2446}",0.47254161421177787
12,2023-02-07,2024-06-21,80.0,35.0,"{90.0: 42, 80.0: 35, 70.0: 34, 65.0: 31, 50.0: 28}","{35.0: 412, 45.0: 407, 80.0: 70, 50.0: 66, 40.0: 40}","{35.0: 422, 45.0: 419, 80.0: 105, 50.0: 94, 90.0: 79}",4.120996441281139
13,2023-02-07,2025-01-17,75.0,110.0,"{60.0: 1878, 65.0: 908, 110.0: 867, 105.0: 472, 100.0: 227}","{75.0: 1040, 50.0: 545, 45.0: 296, 55.0: 294, 35.0: 256}","{60.0: 2083, 75.0: 1216, 65.0: 957, 110.0: 956, 50.0: 685}",0.6274406332453826
