,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio,All P/C Ratio
0,2023-02-17,2023-02-17,55.0,35.0,"{90.0: 5580, 65.0: 4233, 75.0: 4205, 80.0: 4182, 70.0: 4059}","{35.0: 6664, 30.0: 5296, 45.0: 4995, 50.0: 4686, 40.0: 3641}","{35.0: 6757, 50.0: 6349, 65.0: 6289, 45.0: 6229, 70.0: 6161}",1.1715835876568328,1.1715835876568328
1,2023-02-17,2023-02-24,50.0,25.0,"{75.0: 1883, 100.0: 1669, 87.0: 1173, 80.0: 1050, 70.0: 956}","{25.0: 2505, 57.0: 1390, 65.0: 1322, 60.0: 1126, 40.0: 929}","{75.0: 2768, 25.0: 2509, 65.0: 2001, 57.0: 1912, 60.0: 1792}",1.115555122521557,1.115555122521557
2,2023-02-17,2023-03-03,65.0,25.0,"{85.0: 922, 90.0: 834, 65.0: 708, 100.0: 706, 70.0: 665}","{70.0: 1252, 40.0: 970, 25.0: 746, 60.0: 709, 55.0: 706}","{70.0: 1917, 40.0: 973, 85.0: 957, 65.0: 897, 75.0: 873}",1.3716480083311637,1.3716480083311637
3,2023-02-17,2023-03-10,54.0,30.0,"{70.0: 321, 90.0: 252, 75.0: 151, 78.0: 145, 80.0: 115}","{30.0: 2551, 44.0: 317, 46.0: 293, 74.0: 262, 50.0: 250}","{30.0: 2552, 70.0: 462, 74.0: 325, 44.0: 317, 46.0: 301}",2.4155474155474157,2.4155474155474157
4,2023-02-17,2023-03-17,55.0,30.0,"{100.0: 4482, 90.0: 3380, 85.0: 2585, 75.0: 2545, 70.0: 2436}","{35.0: 8188, 30.0: 7704, 50.0: 3708, 45.0: 3546, 40.0: 3218}","{35.0: 8377, 30.0: 7716, 50.0: 4873, 100.0: 4505, 65.0: 4299}",1.2328490330029829,1.2328490330029829
5,2023-02-17,2023-03-24,90.0,55.0,"{65.0: 265, 69.0: 216, 60.0: 189, 55.0: 171, 100.0: 120}","{55.0: 523, 90.0: 355, 45.0: 264, 70.0: 235, 56.0: 221}","{55.0: 694, 65.0: 457, 90.0: 435, 70.0: 303, 60.0: 272}",1.9319648093841642,1.9319648093841642
6,2023-02-17,2023-03-31,67.0,45.0,"{80.0: 493, 67.0: 345, 68.0: 202, 85.0: 168, 75.0: 140}","{45.0: 333, 54.0: 172, 40.0: 163, 55.0: 80, 60.0: 76}","{80.0: 503, 67.0: 353, 45.0: 338, 68.0: 206, 75.0: 181}",0.8245243128964059,0.8245243128964059
7,2023-02-17,2023-04-21,60.0,30.0,"{60.0: 1477, 70.0: 1240, 75.0: 1212, 65.0: 1150, 80.0: 1110}","{30.0: 3803, 40.0: 3109, 35.0: 2335, 50.0: 2226, 55.0: 1458}","{30.0: 3825, 40.0: 3265, 50.0: 2749, 60.0: 2552, 35.0: 2362}",1.557280938044684,1.557280938044684
8,2023-02-17,2023-06-16,55.0,45.0,"{60.0: 2319, 100.0: 1823, 70.0: 1709, 55.0: 1708, 80.0: 1583}","{50.0: 9232, 45.0: 8380, 40.0: 3394, 30.0: 3248, 22.5: 2209}","{50.0: 9848, 45.0: 8794, 40.0: 3605, 55.0: 3564, 60.0: 3273}",1.6741671793970292,1.6741671793970292
9,2023-02-17,2023-07-21,30.0,30.0,"{85.0: 1435, 80.0: 909, 90.0: 781, 70.0: 587, 65.0: 570}","{30.0: 1808, 40.0: 1741, 35.0: 1652, 55.0: 1347, 60.0: 924}","{30.0: 2057, 40.0: 1874, 85.0: 1835, 80.0: 1772, 35.0: 1659}",1.799616066154755,1.799616066154755
10,2023-02-17,2023-09-15,40.0,40.0,"{60.0: 3883, 40.0: 1838, 65.0: 861, 90.0: 472, 80.0: 402}","{50.0: 1509, 35.0: 1438, 40.0: 1433, 45.0: 1054, 25.0: 301}","{60.0: 4117, 40.0: 3271, 50.0: 1531, 35.0: 1475, 65.0: 1134}",0.7881488081978169,0.7881488081978169
11,2023-02-17,2023-10-20,75.0,40.0,"{85.0: 12, 75.0: 11, 70.0: 7, 80.0: 3, 45.0: 1}","{40.0: 235, 70.0: 10, 75.0: 7, 45.0: 5, 60.0: 4}","{40.0: 235, 75.0: 18, 70.0: 17, 85.0: 12, 45.0: 6}",7.555555555555555,7.555555555555555
12,2023-02-17,2024-01-19,40.0,520.0,"{520.0: 2790, 300.0: 2256, 120.0: 2161, 90.0: 2140, 200.0: 1675}","{45.0: 2216, 60.0: 2198, 30.0: 2015, 40.0: 1625, 80.0: 1399}","{90.0: 2970, 60.0: 2884, 520.0: 2790, 45.0: 2594, 40.0: 2461}",0.48670292726924863,0.48670292726924863
13,2023-02-17,2024-06-21,80.0,35.0,"{90.0: 46, 60.0: 36, 85.0: 36, 50.0: 35, 65.0: 34}","{45.0: 436, 35.0: 414, 50.0: 221, 75.0: 100, 80.0: 96}","{45.0: 444, 35.0: 425, 50.0: 256, 80.0: 130, 75.0: 121}",4.092071611253197,4.092071611253197
14,2023-02-17,2025-01-17,60.0,110.0,"{60.0: 1893, 65.0: 923, 110.0: 920, 105.0: 478, 100.0: 244}","{75.0: 4031, 50.0: 559, 45.0: 330, 55.0: 309, 35.0: 255}","{75.0: 4212, 60.0: 2107, 110.0: 1011, 65.0: 990, 50.0: 720}",1.121161825726141,1.121161825726141
