,ExpDate,DateGen,Maximum Pain,Top 5 Calls,Top 5 Puts,highestOIstrike
0,2023-01-30,2023-01-31,320.0,"    Strike   Call
78   407.0  29778
76   405.0  28581
77   406.0  28057
81   410.0  26934
74   403.0  25295","    Strike    Put
71   400.0  26003
69   398.0  16952
68   397.0  15834
61   390.0  14839
70   399.0  14728",320.0
1,2023-01-31,2023-01-31,320.0,"     Strike   Call
217   408.0  25579
219   410.0  23945
214   405.0  23875
218   409.0  23308
212   403.0  19146","     Strike    Put
199   390.0  32062
209   400.0  22207
210   401.0  19151
193   384.0  16852
212   403.0  14521",320.0
2,2023-02-01,2023-01-31,335.0,"     Strike   Call
357   410.0  17390
347   400.0   8228
355   408.0   7543
352   405.0   5954
354   407.0   5888","     Strike    Put
335   388.0  19756
337   390.0  15250
347   400.0  12015
338   391.0   7005
344   397.0   6680",335.0
3,2023-02-02,2023-01-31,320.0,"     Strike   Call
505   420.0  12177
495   410.0  10381
490   405.0   7850
493   408.0   7633
491   406.0   7167","     Strike    Put
472   387.0  18724
477   392.0   8068
490   405.0   7507
485   400.0   7147
491   406.0   6962",445.0
4,2023-02-03,2023-01-31,275.0,"     Strike   Call
645   410.0  35094
646   411.0  17074
629   395.0  14971
650   415.0  12348
642   407.0  11738","     Strike    Put
561   320.0  49114
623   390.0  33350
629   395.0  32504
611   380.0  26117
558   305.0  25264",275.0
5,2023-02-06,2023-01-31,330.0,"     Strike  Call
773   405.0  3610
788   420.0  3428
775   407.0  2366
778   410.0  2165
772   404.0  2121","     Strike   Put
758   390.0  7005
738   370.0  5285
773   405.0  4149
768   400.0  3349
772   404.0  3336",330.0
6,2023-02-07,2023-01-31,330.0,"     Strike  Call
899   405.0  2301
896   402.0  2130
898   404.0  2119
897   403.0  1787
906   412.0  1758","     Strike   Put
904   410.0  3119
900   406.0  3082
902   408.0  2762
901   407.0  2592
898   404.0  2231",330.0
7,2023-02-08,2023-01-31,330.0,"      Strike  Call
1024   404.0  3206
1025   405.0  3161
1028   408.0  2184
1023   403.0  2168
1026   406.0  2158","      Strike   Put
1026   406.0  5315
1025   405.0  4739
1027   407.0  3061
1029   409.0  2262
1023   403.0  2118",330.0
8,2023-02-09,2023-01-31,330.0,"      Strike  Call
1146   400.0  2755
1145   399.0  2651
1156   410.0  2014
1147   401.0  1898
1150   404.0  1768","      Strike   Put
1151   405.0  2746
1153   407.0  2627
1150   404.0  2501
1152   406.0  2435
1154   408.0  2287",330.0
9,2023-02-10,2023-01-31,275.0,"      Strike   Call
1293   410.0  50442
1298   415.0  41999
1303   420.0  11119
1291   408.0   8855
1288   405.0   7586","      Strike    Put
1221   315.0  46199
1223   325.0  37261
1224   330.0  32878
1267   384.0  27078
1257   374.0  27050",275.0
10,2023-02-17,2023-01-31,150.0,"      Strike   Call
1494   410.0  53340
1484   400.0  52522
1504   420.0  42930
1489   405.0  42262
1524   440.0  35953","      Strike     Put
1434   350.0  164964
1464   380.0  156879
1459   375.0  137462
1394   310.0  128038
1454   370.0  123427",150.0
11,2023-02-24,2023-01-31,275.0,"      Strike  Call
1661   400.0  4438
1678   418.0  4227
1676   415.0  3900
1664   403.0  3845
1679   420.0  3559","      Strike    Put
1603   330.0  44012
1600   315.0  29177
1606   345.0  22941
1649   390.0  14672
1620   365.0  12475",275.0
12,2023-03-03,2023-01-31,275.0,"      Strike   Call
1786   420.0  11420
1773   405.0   5191
1761   395.0   4966
1774   406.0   4953
1775   407.0   2359","      Strike    Put
1719   330.0  33626
1722   345.0  17410
1716   315.0  16132
1734   370.0  11457
1755   390.0  10622",275.0
13,2023-03-10,2023-01-31,275.0,"      Strike  Call
1867   402.0   800
1877   410.0   701
1869   403.0   695
1871   405.0   668
1872   406.0   455","      Strike    Put
1828   340.0  36060
1825   325.0  18222
1831   355.0  18200
1834   370.0   1600
1833   365.0   1498",275.0
14,2023-03-17,2023-01-31,150.0,"      Strike   Call
2062   420.0  64908
2052   410.0  48710
2042   400.0  46974
2036   394.0  39938
2092   450.0  34700","      Strike     Put
2022   380.0  128337
1952   310.0  107409
1992   350.0   96082
2012   370.0   86713
2017   375.0   74246",150.0
15,2023-03-31,2023-01-31,255.0,"      Strike   Call
2219   410.0  20741
2213   400.0  12247
2250   442.0   9217
2228   420.0   7816
2202   385.0   6827","      Strike     Put
2164   325.0  121058
2168   345.0   57516
2160   305.0   52977
2207   390.0   32821
2171   350.0   31333",255.0
16,2023-04-21,2023-01-31,150.0,"      Strike   Call
2433   420.0  34177
2442   435.0  32535
2418   405.0  22662
2413   400.0  18891
2436   425.0  18877","      Strike    Put
2403   390.0  60272
2378   365.0  57337
2393   380.0  52634
2373   360.0  42481
2354   270.0  38174",150.0
17,2023-05-19,2023-01-31,180.0,"      Strike  Call
2566   400.0  4555
2581   475.0  2984
2569   415.0  2982
2572   430.0  2903
2571   425.0  2635","      Strike    Put
2566   400.0  32515
2556   390.0  14170
2553   387.0   9718
2514   340.0   9582
2513   335.0   8179",180.0
18,2023-06-16,2023-01-31,150.0,"      Strike   Call
2754   420.0  37540
2734   400.0  26863
2744   410.0  24328
2724   390.0  20406
2764   430.0  19778","      Strike    Put
2679   345.0  82302
2714   380.0  55988
2607   150.0  44295
2734   400.0  34793
2674   340.0  33672",150.0
19,2023-06-30,2023-01-31,255.0,"      Strike   Call
2936   525.0  13807
2931   500.0   5284
2919   440.0   4733
2918   435.0   3814
2920   445.0   3684","      Strike    Put
2887   385.0  17448
2862   360.0   9080
2837   330.0   8062
2852   350.0   7646
2902   400.0   7305",255.0
20,2023-07-21,2023-01-31,150.0,"      Strike  Call
2999   440.0  4936
3000   445.0  4343
2992   405.0  3394
3002   455.0  2742
2991   400.0  1170","      Strike    Put
2981   350.0  12697
2941   150.0   7182
2983   360.0   7157
2982   355.0   6297
2984   365.0   5865",150.0
21,2023-09-15,2023-01-31,150.0,"      Strike  Call
3102   400.0  6565
3116   420.0  6358
3092   390.0  5604
3112   410.0  5509
3120   440.0  5081","      Strike    Put
3086   370.0  19663
3080   340.0  16630
3092   390.0  16595
3082   350.0  15990
3075   315.0  13059",150.0
22,2023-09-29,2023-01-31,255.0,"      Strike  Call
3265   470.0  1159
3242   390.0   949
3261   450.0   874
3202   350.0   830
3259   440.0   777","      Strike   Put
3175   315.0  1699
3176   320.0  1525
3170   290.0   909
3232   380.0   843
3242   390.0   805",255.0
23,2023-12-15,2023-01-31,150.0,"      Strike   Call
3377   660.0  35058
3341   480.0  28259
3355   550.0  16280
3353   540.0  13364
3345   500.0  13108","      Strike    Put
3325   400.0  32560
3327   410.0  30574
3305   300.0  27750
3309   320.0  27201
3315   350.0  25964",150.0
