,ExpDate,DateGen,Maximum Pain,Top 5 Calls,highestOIstrike
0,2023-01-31,2023-02-01,320.0,"{441.0: 3, 462.0: 2, 466.0: 2, 435.0: 1, 402.0: 1}",320.0
1,2023-02-01,2023-02-01,320.0,"{340.0: 1, 366.0: 1, 365.0: 1, 356.0: 1, 454.0: 1}",320.0
2,2023-02-02,2023-02-01,347.0,"{371.0: 1, 442.0: 1, 370.0: 1, 456.0: 1, 340.0: 1}",347.0
3,2023-02-03,2023-02-01,275.0,"{338.0: 1, 366.0: 1, 357.0: 1, 495.0: 1, 280.0: 1}",423.0
4,2023-02-06,2023-02-01,330.0,"{366.0: 1, 363.0: 1, 454.0: 1, 455.0: 1, 330.0: 1}",330.0
5,2023-02-07,2023-02-01,330.0,"{340.0: 1, 384.0: 1, 378.0: 1, 376.0: 1, 452.0: 1}",330.0
6,2023-02-08,2023-02-01,330.0,"{357.0: 1, 382.0: 1, 442.0: 1, 371.0: 1, 350.0: 1}",330.0
7,2023-02-09,2023-02-01,330.0,"{436.0: 1, 427.0: 1, 385.0: 1, 386.0: 1, 355.0: 1}",330.0
8,2023-02-10,2023-02-01,275.0,"{367.0: 1, 366.0: 1, 361.0: 1, 300.0: 1, 275.0: 1}",275.0
9,2023-02-13,2023-02-01,350.0,"{400.0: 3, 398.0: 3, 397.0: 3, 394.0: 2, 393.0: 2}",350.0
10,2023-02-14,2023-02-01,350.0,"{394.0: 4, 397.0: 3, 393.0: 2, 411.0: 2, 390.0: 2}",350.0
11,2023-02-17,2023-02-01,150.0,"{327.0: 1, 318.0: 1, 323.0: 1, 170.0: 1, 160.0: 1}",150.0
12,2023-02-24,2023-02-01,275.0,"{356.0: 1, 357.0: 1, 359.0: 1, 371.0: 1, 280.0: 1}",275.0
13,2023-03-03,2023-02-01,275.0,"{315.0: 1, 310.0: 1, 485.0: 1, 495.0: 1, 285.0: 1}",275.0
14,2023-03-10,2023-02-01,275.0,"{365.0: 1, 475.0: 1, 355.0: 1, 325.0: 1, 377.0: 1}",275.0
15,2023-03-17,2023-02-01,150.0,"{316.0: 1, 313.0: 1, 309.0: 1, 347.0: 1, 195.0: 1}",150.0
16,2023-03-31,2023-02-01,255.0,"{285.0: 4, 265.0: 3, 290.0: 2, 260.0: 1, 356.0: 1}",255.0
17,2023-04-21,2023-02-01,150.0,"{371.0: 1, 210.0: 1, 175.0: 1, 383.0: 1, 361.0: 1}",150.0
18,2023-05-19,2023-02-01,180.0,"{310.0: 1, 555.0: 1, 371.0: 1, 290.0: 1, 285.0: 1}",180.0
19,2023-06-16,2023-02-01,150.0,"{314.0: 1, 304.0: 1, 170.0: 1, 341.0: 1, 327.0: 1}",150.0
20,2023-06-30,2023-02-01,255.0,"{339.0: 2, 344.0: 2, 348.0: 2, 356.0: 2, 255.0: 2}",255.0
21,2023-07-21,2023-02-01,150.0,"{365.0: 2, 640.0: 2, 255.0: 1, 625.0: 1, 635.0: 1}",150.0
22,2023-09-15,2023-02-01,150.0,"{205.0: 2, 245.0: 1, 402.0: 1, 393.0: 1, 160.0: 1}",150.0
23,2023-09-29,2023-02-01,255.0,"{359.0: 1, 371.0: 1, 379.0: 1, 275.0: 1, 255.0: 1}",255.0
24,2023-12-15,2023-02-01,150.0,"{230.0: 9, 695.0: 9, 215.0: 5, 175.0: 3, 155.0: 3}",150.0
25,2023-12-29,2023-02-01,270.0,"{358.0: 1, 374.0: 1, 361.0: 1, 351.0: 1, 355.0: 1}",270.0
26,2024-01-19,2023-02-01,180.0,"{225.0: 10, 205.0: 9, 210.0: 7, 190.0: 5, 215.0: 2}",180.0
27,2024-06-21,2023-02-01,180.0,"{205.0: 1, 220.0: 1, 225.0: 1, 295.0: 1, 215.0: 1}",180.0
28,2024-12-20,2023-02-01,120.0,"{215.0: 9, 210.0: 8, 245.0: 6, 195.0: 5, 185.0: 2}",120.0
29,2025-01-17,2023-02-01,180.0,"{240.0: 4, 220.0: 3, 225.0: 2, 555.0: 1, 265.0: 1}",180.0
30,2025-03-21,2023-02-01,180.0,"{190.0: 1, 240.0: 1, 205.0: 1, 305.0: 1, 215.0: 1}",180.0
31,2025-12-19,2023-02-01,150.0,"{490.0: 1, 215.0: 1, 160.0: 1, 245.0: 1, 330.0: 1}",150.0
