,ExpDate,DateGen,Maximum Pain,Top 5 Calls,Top 5 Puts,highestOIstrike
0,2023-02-01,2023-02-02,414.0,"{417.0: 26071, 414.0: 26020, 420.0: 10175, 415.0: 9807, 412.0: 9675}","{400.0: 38496, 390.0: 31731, 395.0: 26369, 388.0: 24223, 398.0: 20988}",320.0
1,2023-02-02,2023-02-02,400.0
,"{420.0: 32230, 415.0: 23330, 412.0: 17092, 410.0: 15157, 416.0: 11031}","{400.0: 26417, 387.0: 19549, 410.0: 17262, 378.0: 16104, 395.0: 14314}",320.0
2,2023-02-03,2023-02-02,395.0,"{410.0: 34361, 411.0: 18505, 415.0: 17802, 395.0: 14942, 420.0: 14313}","{395.0: 55332, 320.0: 49129, 390.0: 45831, 400.0: 35235, 396.0: 34487}",275.0
3,2023-02-06,2023-02-02,400.0,"{420.0: 7704, 415.0: 6079, 408.0: 6030, 405.0: 5687, 410.0: 5406}","{390.0: 9741, 400.0: 9134, 407.0: 7363, 405.0: 6933, 408.0: 5599}",330.0
4,2023-02-07,2023-02-02,400.0,"{405.0: 4134, 400.0: 3690, 406.0: 3567, 401.0: 3274, 412.0: 3134}","{411.0: 5257, 410.0: 4958, 400.0: 3927, 407.0: 3794, 408.0: 3700}",330.0
5,2023-02-08,2023-02-02,402.0,"{405.0: 4260, 406.0: 4246, 414.0: 3867, 402.0: 3696, 401.0: 3294}","{405.0: 5833, 406.0: 5335, 412.0: 4565, 409.0: 4349, 410.0: 3968}",330.0
6,2023-02-09,2023-02-02,400.0,"{400.0: 3181, 403.0: 2884, 399.0: 2868, 402.0: 2383, 404.0: 2363}","{400.0: 3506, 404.0: 2948, 405.0: 2731, 410.0: 2703, 407.0: 2626}",330.0
7,2023-02-10,2023-02-02,410.0,"{410.0: 50047, 415.0: 42662, 420.0: 11691, 408.0: 11670, 400.0: 7641}","{315.0: 46243, 325.0: 37268, 330.0: 32945, 384.0: 27237, 374.0: 27116}",275.0
8,2023-02-13,2023-02-02,410.0,"{410.0: 1160, 409.0: 828, 411.0: 753, 415.0: 567, 406.0: 542}","{420.0: 1847, 408.0: 1620, 405.0: 1083, 393.0: 738, 407.0: 725}",343.0
9,2023-02-14,2023-02-02,404.0,"{420.0: 884, 412.0: 865, 408.0: 745, 404.0: 596, 411.0: 560}","{403.0: 1268, 405.0: 1124, 380.0: 1063, 410.0: 946, 397.0: 796}",343.0
10,2023-02-15,2023-02-02,410.0,"{420.0: 300, 410.0: 180, 407.0: 97, 406.0: 94, 430.0: 85}","{405.0: 623, 395.0: 598, 406.0: 565, 404.0: 455, 411.0: 368}",350.0
11,2023-02-17,2023-02-02,400.0,"{410.0: 54208, 400.0: 50345, 420.0: 46088, 405.0: 43343, 460.0: 36987}","{375.0: 206877, 380.0: 172384, 350.0: 163827, 395.0: 133625, 310.0: 128098}",150.0
12,2023-02-24,2023-02-02,280.0,"{415.0: 4911, 420.0: 4362, 410.0: 3939, 405.0: 3638, 400.0: 3577}","{330.0: 43984, 315.0: 29180, 345.0: 23015, 390.0: 13726, 365.0: 12593}",275.0
13,2023-03-03,2023-02-02,395.0\,"{420.0: 11046, 405.0: 5676, 406.0: 5172, 395.0: 5080, 415.0: 3632}","{330.0: 33762, 315.0: 28380, 345.0: 17527, 290.0: 12399, 370.0: 11501}",275.0
14,2023-03-10,2023-02-02,430.0,"{410.0: 987, 425.0: 979, 435.0: 871, 406.0: 803, 405.0: 765}","{340.0: 36157, 345.0: 35222, 355.0: 18374, 325.0: 18245, 360.0: 17793}",275.0
15,2023-03-17,2023-02-02,394.0,"{420.0: 64699, 400.0: 48950, 410.0: 48612, 394.0: 39952, 430.0: 36001}","{380.0: 135002, 310.0: 107923, 350.0: 106165, 370.0: 96808, 390.0: 83400}",150.0
16,2023-03-31,2023-02-02,370.0,"{410.0: 20716, 400.0: 12414, 450.0: 9731, 442.0: 9212, 420.0: 7931}","{325.0: 121387, 345.0: 57991, 305.0: 53751, 390.0: 46862, 350.0: 36946}",255.0
