,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio
0,2023-02-09,2023-02-08,411.0,420.0,"{414.0: 38285, 415.0: 37083, 420.0: 28233, 413.0: 27373, 412.0: 21016}","{409.0: 38729, 408.0: 17000, 405.0: 16748, 400.0: 16451, 410.0: 14956}","{409.0: 38729, 414.0: 38285, 415.0: 37083, 420.0: 28233, 413.0: 27373}",0.750833704038901
1,2023-02-09,2023-02-09,400.0,386.0,"{415.0: 23975, 420.0: 22385, 414.0: 18622, 418.0: 14341, 417.0: 13000}","{410.0: 12091, 405.0: 11865, 400.0: 10886, 386.0: 10767, 404.0: 10635}","{415.0: 29624, 414.0: 25597, 420.0: 22435, 410.0: 22353, 411.0: 21115}",0.889653445755498
2,2023-02-09,2023-02-10,405.0,315.0,"{410.0: 64179, 415.0: 59987, 420.0: 32835, 429.0: 16754, 416.0: 16546}","{400.0: 54657, 315.0: 46415, 325.0: 37265, 330.0: 32819, 390.0: 32092}","{410.0: 90622, 415.0: 78783, 400.0: 62256, 315.0: 46415, 405.0: 43989}",1.7751232951927132
3,2023-02-09,2023-02-13,415.0,426.0,"{415.0: 9429, 426.0: 8231, 420.0: 8095, 416.0: 6116, 409.0: 6008}","{410.0: 10843, 402.0: 10512, 415.0: 8490, 400.0: 5187, 416.0: 4885}","{415.0: 17919, 410.0: 16190, 420.0: 11460, 416.0: 11001, 402.0: 10671}",0.9714095464468439
4,2023-02-09,2023-02-14,418.0,400.0,"{419.0: 3755, 417.0: 3711, 416.0: 3629, 418.0: 3007, 420.0: 2929}","{400.0: 9107, 398.0: 5661, 416.0: 4079, 417.0: 3428, 418.0: 3407}","{400.0: 9309, 416.0: 7708, 417.0: 7139, 418.0: 6414, 419.0: 6164}",1.250456128711229
5,2023-02-09,2023-02-15,416.0,400.0,"{422.0: 4178, 420.0: 3746, 418.0: 3486, 413.0: 3262, 425.0: 2519}","{400.0: 5860, 416.0: 4952, 413.0: 3809, 410.0: 3545, 390.0: 3189}","{400.0: 7158, 416.0: 7082, 413.0: 7071, 418.0: 5900, 415.0: 5353}",1.2847816059326544
6,2023-02-09,2023-02-16,420.0,420.0,"{413.0: 3709, 415.0: 3582, 411.0: 3076, 412.0: 2984, 414.0: 2915}","{413.0: 5606, 414.0: 4159, 415.0: 3837, 416.0: 3642, 412.0: 3192}","{413.0: 9315, 415.0: 7419, 414.0: 7074, 412.0: 6176, 416.0: 5481}",1.3053793805842322
7,2023-02-09,2023-02-17,400.0,310.0,"{410.0: 71774, 400.0: 61367, 405.0: 40761, 440.0: 38662, 420.0: 35030}","{375.0: 263157, 380.0: 170160, 350.0: 169362, 310.0: 128072, 400.0: 117412}","{375.0: 267104, 380.0: 184014, 400.0: 178779, 350.0: 169860, 395.0: 131050}",3.052499360930118
8,2023-02-09,2023-02-21,400.0,435.0,"{425.0: 2497, 435.0: 2225, 411.0: 589, 410.0: 548, 405.0: 520}","{410.0: 534, 370.0: 486, 345.0: 480, 395.0: 457, 385.0: 440}","{425.0: 2497, 435.0: 2225, 410.0: 1082, 411.0: 959, 405.0: 850}",0.6858599907278627
9,2023-02-09,2023-02-22,410.0,375.0,"{410.0: 1845, 415.0: 1018, 420.0: 112, 425.0: 93, 430.0: 90}","{410.0: 942, 390.0: 270, 415.0: 257, 375.0: 201, 400.0: 140}","{410.0: 2787, 415.0: 1275, 390.0: 270, 375.0: 201, 425.0: 149}",0.6518987341772152
10,2023-02-09,2023-02-24,428.0,330.0,"{415.0: 8567, 410.0: 7214, 430.0: 7082, 414.0: 6724, 420.0: 6609}","{360.0: 44796, 330.0: 43836, 345.0: 40413, 395.0: 35395, 315.0: 29050}","{360.0: 44821, 330.0: 43843, 345.0: 40425, 395.0: 36822, 315.0: 29053}",3.2724348176479525
11,2023-02-09,2023-03-03,395.0,315.0,"{420.0: 13746, 415.0: 6683, 405.0: 5471, 425.0: 5445, 410.0: 5381}","{355.0: 40492, 330.0: 33761, 370.0: 31052, 315.0: 28969, 340.0: 18990}","{355.0: 40499, 330.0: 33761, 370.0: 31085, 315.0: 28970, 420.0: 20699}",2.900294510588357
12,2023-02-09,2023-03-10,430.0,345.0,"{430.0: 4292, 417.0: 3838, 420.0: 3612, 425.0: 3437, 415.0: 3408}","{350.0: 37778, 345.0: 36858, 330.0: 26295, 365.0: 20110, 370.0: 19541}","{350.0: 37784, 345.0: 36858, 330.0: 26295, 365.0: 20114, 370.0: 19560}",3.9396757527169073
13,2023-02-09,2023-03-17,394.0,310.0,"{420.0: 66141, 410.0: 53606, 400.0: 48989, 394.0: 39861, 450.0: 38826}","{390.0: 151523, 380.0: 116687, 394.0: 111327, 310.0: 109983, 350.0: 106787}","{390.0: 176246, 400.0: 152401, 394.0: 151188, 380.0: 133204, 310.0: 110163}",2.2695216179989113
14,2023-02-09,2023-03-24,408.0,335.0,"{455.0: 3385, 420.0: 1520, 423.0: 1488, 408.0: 1291, 424.0: 1027}","{365.0: 3224, 392.0: 2644, 335.0: 2056, 360.0: 1350, 396.0: 1225}","{455.0: 3385, 365.0: 3224, 392.0: 2645, 335.0: 2056, 410.0: 1832}",1.5733169260082567
15,2023-02-09,2023-03-31,370.0,325.0,"{410.0: 20712, 400.0: 12290, 450.0: 9977, 420.0: 9659, 442.0: 9238}","{325.0: 121286, 345.0: 56632, 305.0: 52676, 350.0: 41899, 390.0: 38303}","{325.0: 121345, 345.0: 57245, 305.0: 52701, 390.0: 42722, 350.0: 42256}",3.146852944100202
16,2023-02-09,2023-04-21,435.0,270.0,"{420.0: 34475, 435.0: 32067, 430.0: 22949, 405.0: 22515, 425.0: 19410}","{390.0: 68517, 365.0: 62861, 380.0: 54243, 360.0: 49904, 385.0: 48975}","{390.0: 73816, 365.0: 63067, 380.0: 56973, 385.0: 53594, 400.0: 52082}",3.272361408109448
17,2023-02-09,2023-05-19,455.0,300.0,"{415.0: 13649, 460.0: 12591, 400.0: 6696, 440.0: 5537, 425.0: 5279}","{400.0: 43206, 385.0: 25005, 360.0: 20183, 300.0: 19770, 370.0: 16814}","{400.0: 49902, 415.0: 30216, 385.0: 25400, 360.0: 20237, 300.0: 19779}",4.3207633727864945
18,2023-02-09,2023-06-16,440.0,150.0,"{420.0: 37123, 400.0: 33627, 410.0: 25461, 440.0: 24602, 390.0: 20442}","{400.0: 89914, 345.0: 82194, 360.0: 79287, 380.0: 61340, 150.0: 43881}","{400.0: 123541, 360.0: 84678, 345.0: 82387, 420.0: 71489, 380.0: 69340}",1.7726998670222025
19,2023-02-09,2023-06-30,300.0,525.0,"{525.0: 12899, 500.0: 7132, 450.0: 5037, 440.0: 4820, 435.0: 4457}","{385.0: 17654, 360.0: 8724, 330.0: 8371, 400.0: 7992, 350.0: 7908}","{385.0: 18610, 525.0: 12899, 400.0: 11388, 350.0: 8971, 360.0: 8970}",1.6316521108458493
20,2023-02-09,2023-07-21,425.0,150.0,"{450.0: 8420, 440.0: 6657, 445.0: 4415, 455.0: 4256, 405.0: 3415}","{350.0: 14340, 360.0: 10792, 380.0: 10489, 365.0: 8880, 150.0: 8744}","{350.0: 14360, 360.0: 10802, 380.0: 10497, 400.0: 9343, 365.0: 8885}",3.4129313948627433
21,2023-02-09,2023-09-15,430.0,250.0,"{420.0: 11104, 400.0: 6423, 415.0: 5878, 390.0: 5606, 500.0: 5503}","{360.0: 23726, 370.0: 21762, 350.0: 19232, 340.0: 18585, 390.0: 17090}","{360.0: 23898, 400.0: 22960, 390.0: 22696, 370.0: 22125, 350.0: 20856}",3.124178183916527
22,2023-02-09,2023-09-29,350.0,315.0,"{470.0: 1192, 450.0: 984, 390.0: 951, 350.0: 823, 440.0: 804}","{315.0: 1867, 320.0: 1621, 290.0: 1150, 400.0: 963, 390.0: 929}","{390.0: 1880, 315.0: 1869, 320.0: 1644, 380.0: 1507, 400.0: 1441}",1.454447400589631
23,2023-02-09,2023-12-15,450.0,660.0,"{660.0: 35055, 480.0: 28306, 550.0: 16044, 540.0: 13346, 500.0: 13212}","{400.0: 32990, 410.0: 30538, 350.0: 29409, 320.0: 28972, 300.0: 27729}","{400.0: 44521, 410.0: 35630, 660.0: 35055, 350.0: 31156, 320.0: 29269}",1.2022466216605283
24,2023-02-09,2023-12-29,300.0,270.0,"{485.0: 528, 490.0: 509, 460.0: 507, 510.0: 404, 420.0: 349}","{400.0: 523, 300.0: 515, 270.0: 472, 385.0: 437, 365.0: 360}","{400.0: 600, 300.0: 584, 460.0: 554, 485.0: 528, 490.0: 509}",1.363473411670982
25,2023-02-09,2024-01-19,375.0,720.0,"{720.0: 14133, 460.0: 12701, 440.0: 11777, 500.0: 9875, 470.0: 9437}","{400.0: 17635, 345.0: 17457, 385.0: 16201, 320.0: 14945, 300.0: 12875}","{400.0: 24774, 385.0: 19913, 345.0: 17962, 320.0: 15394, 720.0: 14133}",1.2551219850978759
26,2023-02-09,2024-03-15,350.0,515.0,"{515.0: 2516, 500.0: 213, 545.0: 200, 440.0: 146, 415.0: 131}","{200.0: 377, 400.0: 217, 350.0: 188, 415.0: 149, 300.0: 97}","{515.0: 2516, 200.0: 377, 415.0: 280, 350.0: 273, 400.0: 221}",0.38995753185111165
27,2023-02-09,2024-06-21,345.0,550.0,"{430.0: 15407, 550.0: 12461, 545.0: 10237, 420.0: 10098, 555.0: 9422}","{400.0: 10135, 365.0: 8643, 380.0: 7380, 390.0: 6793, 395.0: 6252}","{430.0: 16253, 400.0: 15517, 550.0: 12461, 420.0: 10777, 380.0: 10724}",0.5726862691937988
28,2023-02-09,2024-12-20,205.0,150.0,"{600.0: 10775, 450.0: 9166, 455.0: 7908, 400.0: 6989, 520.0: 5622}","{380.0: 17503, 270.0: 14306, 150.0: 13042, 350.0: 9846, 375.0: 7154}","{380.0: 19427, 270.0: 14341, 400.0: 13426, 150.0: 13059, 600.0: 10776}",1.3625202083038435
29,2023-02-09,2025-01-17,300.0,210.0,"{400.0: 1236, 385.0: 618, 425.0: 608, 375.0: 594, 600.0: 520}","{400.0: 2151, 380.0: 2132, 350.0: 1189, 340.0: 1179, 410.0: 1010}","{400.0: 3387, 380.0: 2601, 340.0: 1364, 350.0: 1286, 450.0: 1234}",1.5760069636780882
30,2023-02-09,2025-03-21,200.0,250.0,"{400.0: 213, 620.0: 83, 450.0: 79, 380.0: 70, 200.0: 64}","{250.0: 355, 180.0: 156, 400.0: 93, 475.0: 78, 450.0: 75}","{250.0: 393, 400.0: 306, 180.0: 206, 450.0: 154, 320.0: 89}",1.2114093959731544
31,2023-02-09,2025-12-19,150.0,600.0,"{600.0: 2673, 400.0: 1610, 550.0: 1141, 405.0: 816, 390.0: 570}","{295.0: 922, 270.0: 677, 305.0: 518, 310.0: 418, 375.0: 413}","{600.0: 2676, 400.0: 1950, 405.0: 1221, 550.0: 1142, 390.0: 971}",0.7149138549892319
