,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio,All P/C Ratio
0,2023-02-13,2023-02-10,408.0,315.0,"{415.0: 79895, 410.0: 37760, 420.0: 36451, 413.0: 34077, 412.0: 27966}","{400.0: 61304, 405.0: 52446, 315.0: 46415, 325.0: 37264, 406.0: 37108}","{415.0: 79895, 400.0: 61304, 405.0: 52446, 315.0: 46415, 410.0: 37760}",1.7837952392020673,1.7837952392020673
1,2023-02-13,2023-02-13,415.0,426.0,"{414.0: 31939, 410.0: 26282, 415.0: 24874, 408.0: 14960, 412.0: 14735}","{405.0: 31048, 400.0: 19428, 402.0: 18483, 410.0: 15123, 407.0: 13248}","{410.0: 41405, 405.0: 40145, 414.0: 33769, 415.0: 32854, 408.0: 27602}",1.0056366222409525,1.0056366222409525
2,2023-02-13,2023-02-14,418.0,377.0,"{410.0: 7071, 405.0: 7005, 420.0: 5879, 419.0: 5182, 415.0: 4834}","{399.0: 14778, 398.0: 8960, 400.0: 8637, 405.0: 8442, 410.0: 8337}","{405.0: 15447, 410.0: 15408, 399.0: 15132, 408.0: 10014, 398.0: 9122}",1.3342996261335098,1.3342996261335098
3,2023-02-13,2023-02-15,416.0,422.0,"{422.0: 8580, 421.0: 8190, 420.0: 6094, 413.0: 4641, 410.0: 4470}","{400.0: 8528, 395.0: 6489, 416.0: 5991, 413.0: 5611, 396.0: 5516}","{413.0: 10252, 410.0: 9830, 400.0: 9406, 416.0: 9276, 422.0: 8968}",1.2831471747700394,1.2831471747700394
4,2023-02-13,2023-02-16,413.0,420.0,"{413.0: 6858, 412.0: 6504, 411.0: 6163, 420.0: 5935, 415.0: 5845}","{413.0: 13000, 412.0: 9714, 416.0: 8010, 417.0: 7092, 411.0: 6203}","{413.0: 19858, 412.0: 16218, 411.0: 12366, 414.0: 11957, 416.0: 11932}",1.4337996147652279,1.4337996147652279
5,2023-02-13,2023-02-17,400.0,310.0,"{418.0: 80569, 410.0: 67061, 400.0: 62011, 405.0: 41174, 440.0: 39958}","{375.0: 316232, 350.0: 169008, 380.0: 166957, 310.0: 130644, 390.0: 119265}","{375.0: 320180, 380.0: 180802, 400.0: 178158, 350.0: 169500, 390.0: 135508}",2.8978923386074498,2.8978923386074498
6,2023-02-13,2023-02-21,400.0,345.0,"{425.0: 2883, 435.0: 2280, 418.0: 1722, 410.0: 1193, 411.0: 1127}","{405.0: 3656, 390.0: 2676, 400.0: 1828, 395.0: 1241, 345.0: 1190}","{405.0: 4340, 425.0: 2903, 390.0: 2682, 435.0: 2280, 400.0: 2172}",1.3450567260940032,1.3450567260940032
7,2023-02-13,2023-02-22,415.0,435.0,"{410.0: 2610, 415.0: 1509, 406.0: 1453, 425.0: 1377, 409.0: 1113}","{410.0: 3765, 412.0: 2297, 400.0: 2015, 409.0: 1745, 415.0: 1363}","{410.0: 6375, 415.0: 2872, 409.0: 2858, 412.0: 2721, 406.0: 2660}",1.1736111111111112,1.1736111111111112
8,2023-02-13,2023-02-24,428.0,330.0,"{415.0: 9675, 410.0: 9308, 430.0: 7923, 420.0: 7265, 414.0: 6274}","{360.0: 46324, 330.0: 43859, 345.0: 43574, 395.0: 38390, 390.0: 30806}","{360.0: 46350, 330.0: 43866, 345.0: 43586, 395.0: 39805, 390.0: 31509}",3.2554723842357554,3.2554723842357554
9,2023-02-13,2023-03-03,420.0,315.0,"{420.0: 15338, 425.0: 10829, 415.0: 7561, 410.0: 5795, 405.0: 5363}","{355.0: 40521, 330.0: 32843, 370.0: 29069, 315.0: 28979, 384.0: 25635}","{355.0: 40528, 330.0: 32845, 370.0: 29110, 315.0: 28980, 384.0: 26156}",3.0560493885845346,3.0560493885845346
