,ExpDate,DateGen,Maximum Pain,Top 5 Calls,Top 5 Puts,highestOIstrike
0,2023-02-03,2023-01-31,99.0,"     Strike   Call
99    200.0  53607
91    180.0  33514
87    170.0  22908
89    175.0  22307
119   265.0  18915","    Strike    Put
83   160.0  24950
79   150.0  21815
59   130.0  19130
69   140.0  18503
85   165.0  15819",99.0
1,2023-02-10,2023-01-31,142.0,"     Strike  Call
222   200.0  7526
216   185.0  6905
214   180.0  5783
212   175.0  3944
246   285.0  3886","     Strike    Put
197   145.0  10029
208   165.0   7073
202   150.0   6459
166   114.0   5972
192   140.0   4434",210.0
2,2023-02-17,2023-01-31,15.0,"     Strike   Call
313   160.0  29671
329   200.0  26748
279   120.0  26615
334   220.0  26504
317   170.0  21576","     Strike    Put
267    70.0  50938
279   120.0  49958
273   100.0  48952
274   105.0  29184
275   110.0  27172",275.0
3,2023-02-24,2023-01-31,15.0,"     Strike  Call
500   200.0  6932
484   160.0  2965
492   180.0  2825
486   165.0  2760
460   130.0  2661","     Strike   Put
475   145.0  3057
460   130.0  2451
452   122.0  2339
484   160.0  2120
430   100.0  2050",15.0
4,2023-03-03,2023-01-31,15.0,"     Strike  Call
608   200.0  2664
616   240.0  2365
611   215.0  2267
600   180.0  2191
594   165.0  1921","     Strike   Put
592   160.0  2826
596   170.0  2625
533    45.0  2416
548   110.0  2246
588   150.0  1996",15.0
5,2023-03-10,2023-01-31,15.0,"     Strike  Call
695   200.0   623
687   180.0   533
691   190.0   514
683   170.0   383
705   250.0   350","     Strike   Put
683   170.0  1162
673   148.0   717
660   135.0   378
678   157.5   315
665   140.0   192",15.0
6,2023-03-17,2023-01-31,1.67,"     Strike   Call
893  666.67  70058
836  300.00  69281
912  825.00  57460
784  200.00  40270
845  316.67  29802","     Strike    Put
757  135.00  32592
733   33.33  31362
746  100.00  29867
784  200.00  25773
722    1.67  24718",775.0
7,2023-04-21,2023-01-31,5.0,"      Strike   Call
928    80.00  25236
989   316.67  21467
1022  600.00  17435
1017  550.00  12789
939   125.00  11582","     Strike    Put
932  100.00  22851
927   75.00  13159
939  125.00  13138
946  150.00  12758
937  116.67   9710",5.0
8,2023-05-19,2023-01-31,50.0,"      Strike   Call
1035   110.0  16021
1049   180.0   8302
1055   210.0   7462
1043   150.0   4057
1038   125.0   3629","      Strike   Put
1037   120.0  7576
1034   105.0  6029
1023    50.0  5729
1069   310.0  5238
1033   100.0  5232",50.0
9,2023-06-16,2023-01-31,1.67,"      Strike   Call
1227  825.00  37284
1177  333.33  33476
1192  500.00  24849
1134  200.00  24747
1190  466.67  20782","      Strike    Put
1075    1.67  41907
1099  100.00  25974
1134  200.00  22655
1087   50.00  16898
1086   33.33  15875",1.67
10,2023-07-21,2023-01-31,5.0,"      Strike   Call
1277   250.0  24750
1267   200.0   3570
1269   210.0   3538
1257   150.0   3495
1302   375.0   3078","      Strike    Put
1264   185.0  12500
1247   100.0   5451
1237    50.0   4996
1242    75.0   4257
1251   120.0   4094",5.0
11,2023-09-15,2023-01-31,1.67,"      Strike   Call
1461  758.33  69378
1349  150.00  34800
1361  180.00  33734
1362  183.33  32267
1350  153.33  30480","      Strike    Put
1303    1.67  20010
1369  200.00  16895
1330  100.00  12473
1335  116.67  12246
1314   33.33  11042",1.67
12,2023-12-15,2023-01-31,50.0,"      Strike  Call
1492   200.0  8266
1502   250.0  6686
1493   205.0  5884
1500   240.0  5646
1484   160.0  3152","      Strike   Put
1472   100.0  5305
1478   130.0  5185
1479   135.0  4806
1467    75.0  4017
1470    90.0  3849",50.0
13,2024-01-19,2023-01-31,1.67,"      Strike   Call
1694  825.00  76827
1575  180.00  57542
1576  183.33  52481
1563  150.00  47720
1675  666.67  41333","      Strike    Put
1546  100.00  35008
1533   33.33  32723
1534   50.00  29042
1514    1.67  28082
1582  200.00  24205",1.67
14,2024-03-15,2023-01-31,1.67,"      Strike  Call
1759  275.00  8969
1745  200.00  5096
1762  300.00  4775
1758  266.67  4440
1756  258.33  4131","      Strike   Put
1737  170.00  8724
1726  133.33  5668
1706   50.00  5454
1745  200.00  4640
1714   83.33  4502",1.67
15,2024-06-21,2023-01-31,1.67,"      Strike   Call
1909  400.00  39115
1816   83.33  30602
1848  180.00  21176
1849  183.33  20957
1921  600.00  17038","      Strike    Put
1798    1.67  16247
1837  150.00   9783
1855  200.00   9600
1820  100.00   9356
1863  233.33   6851",1.67
16,2024-09-20,2023-01-31,50.0,"      Strike  Call
1962   200.0  1700
1960   190.0  1527
1952   150.0  1390
1964   220.0  1334
1961   195.0  1325","      Strike   Put
1952   150.0  2590
1942   100.0  2429
1937    75.0  2325
1971   290.0  1431
1962   200.0  1389",50.0
17,2025-01-17,2023-01-31,5.0,"      Strike   Call
2012   170.0  35181
2013   175.0  33674
2028   300.0  31947
2018   200.0  27545
2038   400.0  18161","      Strike    Put
1984    30.0  16526
1998   100.0  16377
1986    40.0  15764
2018   200.0  11269
2008   150.0  10895",5.0
18,2025-06-20,2023-01-31,5.0,"      Strike   Call
2078    95.0  46401
2077    90.0  10362
2086   135.0   4728
2107   240.0   3213
2099   200.0   3117","      Strike   Put
2062    15.0  3518
2079   100.0  2258
2083   120.0  2207
2099   200.0  2191
2087   140.0  2006",5.0
