,ExpDate,DateGen,Maximum Pain,Top 5 Calls,highestOIstrike
0,2023-02-03,2023-02-01,99.0,"{99.0: 13, 15.0: 11, 65.0: 10, 35.0: 2, 20.0: 1}",99.0
1,2023-02-10,2023-02-01,140.0,"{30.0: 3, 35.0: 2, 40.0: 2, 20.0: 1, 15.0: 1}",210.0
2,2023-02-17,2023-02-01,15.0,"{124.0: 30, 121.0: 28, 65.0: 28, 119.0: 13, 25.0: 2}",275.0
3,2023-02-24,2023-02-01,15.0,"{20.0: 3, 25.0: 3, 15.0: 3, 75.0: 1, 85.0: 1}",15.0
4,2023-03-03,2023-02-01,15.0,"{111.0: 2, 75.0: 1, 65.0: 1, 50.0: 1, 25.0: 1}",15.0
5,2023-03-10,2023-02-01,15.0,"{40.0: 2, 149.0: 2, 139.0: 2, 134.0: 2, 95.0: 1}",15.0
6,2023-03-17,2023-02-01,1.67,"{55.0: 33, 3.33: 29, 65.0: 25, 8.33: 15, 5.0: 2}",775.0
7,2023-04-21,2023-02-01,5.0,"{5.0: 14, 40.0: 6, 35.0: 5, 20.0: 4, 25.0: 3}",5.0
8,2023-05-19,2023-02-01,50.0,"{310.0: 65, 85.0: 63, 50.0: 63, 55.0: 51, 340.0: 7}",50.0
9,2023-06-16,2023-02-01,1.67,"{6.67: 75, 70.0: 53, 55.0: 31, 60.0: 15, 65.0: 4}",1.67
10,2023-07-21,2023-02-01,5.0,"{40.0: 20, 95.0: 19, 20.0: 12, 10.0: 5, 15.0: 4}",5.0
11,2023-09-15,2023-02-01,1.67,"{55.0: 22, 45.0: 6, 65.0: 4, 40.0: 3, 35.0: 1}",1.67
12,2023-12-15,2023-02-01,50.0,"{60.0: 37, 330.0: 34, 70.0: 27, 75.0: 18, 65.0: 4}",50.0
13,2024-01-19,2023-02-01,1.67,"{70.0: 141, 21.67: 108, 75.0: 94, 55.0: 81, 6.67: 75}",1.67
14,2024-03-15,2023-02-01,1.67,"{240.0: 14, 11.67: 11, 6.67: 6, 10.0: 6, 260.0: 1}",1.67
15,2024-06-21,2023-02-01,1.67,"{60.0: 54, 70.0: 45, 13.33: 39, 5.0: 20, 55.0: 6}",1.67
16,2024-09-20,2023-02-01,50.0,"{55.0: 27, 95.0: 22, 75.0: 10, 60.0: 10, 70.0: 9}",50.0
17,2025-01-17,2023-02-01,5.0,"{75.0: 189, 10.0: 133, 95.0: 125, 25.0: 103, 15.0: 28}",5.0
18,2025-06-20,2023-02-01,5.0,"{55.0: 10, 25.0: 9, 40.0: 8, 15.0: 7, 10.0: 2}",5.0
