,ExpDate,DateGen,Maximum Pain,Top 5 Calls,Top 5 Puts,highestOIstrike
0,2023-02-03,2023-02-06,190.0,"{200.0: 40873, 210.0: 19101, 195.0: 18265, 265.0: 17695, 220.0: 17479}","{185.0: 25396, 150.0: 24074, 160.0: 22933, 180.0: 22876, 187.5: 20450}",15.0
1,2023-02-10,2023-02-06,155.0,"{200.0: 28709, 250.0: 12958, 190.0: 12610, 220.0: 12511, 210.0: 12502}","{150.0: 11724, 145.0: 11492, 165.0: 11178, 170.0: 10667, 160.0: 10350}",15.0
2,2023-02-17,2023-02-06,120.0,"{220.0: 31271, 250.0: 30554, 160.0: 28799, 200.0: 26820, 120.0: 26452}","{70.0: 53580, 120.0: 50161, 100.0: 36594, 105.0: 29171, 110.0: 25220}",15.0
3,2023-02-24,2023-02-06,130.0,"{200.0: 6977, 240.0: 3655, 210.0: 3424, 160.0: 2905, 225.0: 2886}","{122.0: 5451, 155.0: 5179, 145.0: 3746, 150.0: 3603, 100.0: 2601}",15.0
4,2023-03-03,2023-02-06,120.0,"{200.0: 5133, 215.0: 3143, 170.0: 2433, 240.0: 2394, 220.0: 2277}","{162.5: 3999, 160.0: 3609, 145.0: 3441, 150.0: 2986, 170.0: 2968}",15.0
5,2023-03-10,2023-02-06,177.5,"{177.5: 1801, 280.0: 1103, 190.0: 1093, 200.0: 1067, 250.0: 1035}","{170.0: 1234, 148.0: 739, 175.0: 649, 110.0: 593, 190.0: 529}",15.0
6,2023-03-17,2023-02-06,135.0,"{300.0: 71030, 666.67: 70148, 825.0: 58047, 200.0: 45140, 316.67: 29732}","{135.0: 34076, 33.33: 33383, 200.0: 33217, 100.0: 31149, 140.0: 27645}",1.67
7,2023-03-24,2023-02-06,220.0,"{250.0: 464, 200.0: 450, 245.0: 445, 190.0: 281, 195.0: 209}","{167.5: 428, 150.0: 359, 220.0: 299, 170.0: 292, 155.0: 246}",20.0
8,2023-04-21,2023-02-06,80.0,"{80.0: 25229, 316.67: 21932, 600.0: 17686, 240.0: 13072, 550.0: 12867}","{100.0: 23371, 150.0: 15070, 75.0: 13179, 125.0: 12607, 116.67: 9651}",5.0
9,2023-05-19,2023-02-06,110.0,"{110.0: 15993, 210.0: 9203, 180.0: 8194, 200.0: 5556, 150.0: 4096}","{100.0: 24329, 140.0: 11212, 120.0: 7566, 110.0: 7240, 105.0: 6095}",50.0
10,2023-06-16,2023-02-06,10.0,"{825.0: 38581, 333.33: 33690, 200.0: 25462, 500.0: 23995, 466.67: 20805}","{1.67: 41907, 100.0: 26549, 200.0: 23248, 50.0: 16944, 33.33: 16179}",1.67
11,2023-07-21,2023-02-06,150.0,"{250.0: 24351, 185.0: 7003, 200.0: 5035, 210.0: 4892, 150.0: 3353}","{185.0: 12983, 100.0: 5445, 50.0: 5119, 120.0: 4379, 75.0: 4167}",5.0
12,2023-09-15,2023-02-06,150.0,"{758.33: 69525, 150.0: 33945, 180.0: 33665, 183.33: 32277, 153.33: 30482}","{1.67: 20021, 200.0: 17040, 116.67: 12245, 100.0: 11995, 33.33: 11420}",1.67
13,2023-12-15,2023-02-06,85.0,"{250.0: 15756, 260.0: 10031, 200.0: 8505, 205.0: 6682, 240.0: 5735}","{150.0: 11776, 160.0: 10729, 130.0: 10494, 135.0: 5914, 100.0: 5669}",50.0
14,2024-01-19,2023-02-06,150.0,"{825.0: 75446, 180.0: 57355, 183.33: 52474, 150.0: 47568, 666.67: 41151}","{100.0: 37190, 33.33: 32831, 50.0: 29893, 1.67: 28689, 200.0: 24441}",1.67
15,2024-03-15,2023-02-06,100.0,"{275.0: 8959, 200.0: 4976, 300.0: 4639, 266.67: 4452, 258.33: 4134}","{170.0: 8796, 133.33: 5692, 50.0: 5528, 200.0: 4669, 83.33: 4512}",1.67
16,2024-06-21,2023-02-06,83.33,"{400.0: 38960, 83.33: 30599, 180.0: 21158, 183.33: 20977, 600.0: 17134}","{1.67: 16249, 150.0: 9856, 100.0: 9694, 200.0: 9650, 233.33: 7032}",1.67
17,2024-09-20,2023-02-06,290.0,"{200.0: 1754, 190.0: 1485, 150.0: 1426, 195.0: 1410, 350.0: 1407}","{150.0: 2722, 290.0: 2563, 75.0: 2322, 100.0: 2269, 200.0: 1406}",50.0
18,2025-01-17,2023-02-06,30.0,"{170.0: 35127, 175.0: 33629, 300.0: 31080, 200.0: 28032, 400.0: 18835}","{100.0: 17428, 30.0: 16476, 40.0: 15779, 200.0: 12390, 150.0: 11753}",5.0
19,2025-06-20,2023-02-06,95.0,"{95.0: 46405, 90.0: 10297, 135.0: 4714, 240.0: 4312, 200.0: 3456}","{15.0: 3888, 100.0: 3295, 200.0: 2754, 130.0: 2110, 140.0: 1963}",5.0
