,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio
0,2023-02-09,2023-02-10,155.0,285.0,"{200.0: 33616, 210.0: 26731, 220.0: 24174, 205.0: 21054, 215.0: 17602}","{190.0: 20213, 185.0: 19419, 200.0: 17719, 180.0: 17634, 195.0: 16617}","{200.0: 51335, 190.0: 34581, 195.0: 31197, 210.0: 30001, 185.0: 27318}",0.8573092591110344
1,2023-02-09,2023-02-17,120.0,70.0,"{200.0: 47282, 220.0: 37046, 160.0: 29332, 120.0: 26352, 105.0: 20739}","{70.0: 53619, 120.0: 48750, 100.0: 38357, 105.0: 29269, 80.0: 27813}","{120.0: 75102, 200.0: 55904, 70.0: 53693, 105.0: 50008, 160.0: 49487}",1.0116412253175617
2,2023-02-09,2023-02-24,130.0,260.0,"{260.0: 9703, 200.0: 6411, 220.0: 5664, 240.0: 4347, 300.0: 3513}","{155.0: 5625, 150.0: 5531, 145.0: 4581, 160.0: 3463, 190.0: 3090}","{260.0: 9708, 200.0: 8562, 150.0: 8149, 155.0: 7248, 160.0: 6399}",0.8938447278532072
3,2023-02-09,2023-03-03,170.0,300.0,"{200.0: 5857, 300.0: 4600, 250.0: 3890, 215.0: 3369, 240.0: 3034}","{150.0: 5488, 162.5: 4314, 170.0: 4288, 145.0: 3728, 160.0: 3477}","{200.0: 7475, 170.0: 6754, 150.0: 6503, 300.0: 4604, 160.0: 4547}",0.9742538869363198
4,2023-02-09,2023-03-10,177.5,55.0,"{200.0: 2039, 265.0: 1940, 177.5: 1796, 250.0: 1231, 187.5: 1205}","{170.0: 1221, 180.0: 1205, 55.0: 1200, 105.0: 1150, 165.0: 893}","{200.0: 2608, 177.5: 2032, 265.0: 1940, 202.5: 1924, 190.0: 1874}",0.7930053608548193
5,2023-02-09,2023-03-17,135.0,825.0,"{300.0: 71583, 666.67: 70187, 825.0: 59709, 200.0: 43065, 316.67: 29717}","{200.0: 34611, 135.0: 34024, 33.33: 33555, 100.0: 30841, 140.0: 29071}","{200.0: 77676, 300.0: 72033, 666.67: 70187, 135.0: 61831, 825.0: 59709}",0.6699865520680564
6,2023-02-09,2023-03-24,155.0,50.0,"{210.0: 2263, 200.0: 1562, 205.0: 1057, 250.0: 604, 245.0: 505}","{200.0: 1579, 50.0: 1543, 190.0: 569, 180.0: 547, 150.0: 545}","{200.0: 3141, 210.0: 2282, 50.0: 1543, 205.0: 1092, 190.0: 891}",0.9221606419058649
7,2023-02-09,2023-04-21,80.0,600.0,"{80.0: 25226, 316.67: 21919, 600.0: 17967, 240.0: 12461, 200.0: 11974}","{100.0: 24330, 150.0: 17008, 75.0: 13176, 125.0: 12585, 116.67: 9686}","{80.0: 29744, 100.0: 25961, 150.0: 24002, 125.0: 23704, 316.67: 21920}",0.7579101416793913
8,2023-02-09,2023-05-19,110.0,100.0,"{110.0: 15972, 210.0: 9345, 180.0: 8211, 200.0: 7326, 150.0: 4083}","{100.0: 24427, 140.0: 11247, 120.0: 7834, 110.0: 7304, 180.0: 6143}","{100.0: 25495, 110.0: 23276, 180.0: 14354, 140.0: 13229, 120.0: 9966}",1.2280439543912092
9,2023-02-09,2023-06-16,150.0,825.0,"{825.0: 38984, 333.33: 33450, 200.0: 25022, 500.0: 23851, 466.67: 20800}","{1.67: 41907, 100.0: 27397, 200.0: 24011, 50.0: 17406, 33.33: 16573}","{200.0: 49033, 1.67: 42017, 825.0: 38984, 333.33: 33681, 100.0: 30874}",0.7365992172863967
10,2023-02-09,2023-07-21,150.0,250.0,"{250.0: 24394, 200.0: 5267, 210.0: 5194, 185.0: 3925, 215.0: 3511}","{185.0: 12890, 100.0: 5499, 50.0: 5108, 120.0: 4458, 75.0: 4164}","{250.0: 25973, 185.0: 16815, 200.0: 7366, 150.0: 6698, 210.0: 6029}",1.097308426533937
11,2023-02-09,2023-09-15,150.0,758.33,"{758.33: 71871, 150.0: 33851, 180.0: 33728, 183.33: 32295, 153.33: 30482}","{1.67: 20021, 200.0: 17190, 116.67: 12235, 100.0: 11931, 33.33: 11371}","{758.33: 71871, 150.0: 42965, 180.0: 40157, 183.33: 37565, 153.33: 32309}",0.46991114114245025
12,2023-02-09,2023-12-15,85.0,250.0,"{250.0: 15717, 260.0: 10069, 200.0: 8827, 205.0: 6814, 240.0: 5740}","{150.0: 11888, 160.0: 10768, 130.0: 10587, 100.0: 5800, 135.0: 5786}","{250.0: 19167, 160.0: 13597, 150.0: 13411, 130.0: 11376, 260.0: 10818}",1.0258664706002492
13,2023-02-09,2024-01-19,100.0,825.0,"{825.0: 75733, 666.67: 40887, 180.0: 39185, 366.67: 38759, 400.0: 38699}","{100.0: 39037, 33.33: 32829, 50.0: 30237, 1.67: 29243, 200.0: 24221}","{825.0: 75733, 200.0: 57578, 100.0: 52931, 233.33: 51057, 180.0: 50204}",0.521437028949029
14,2023-02-09,2024-03-15,100.0,600.0,"{275.0: 8958, 200.0: 5084, 300.0: 4711, 266.67: 4453, 258.33: 4134}","{170.0: 8784, 133.33: 5693, 50.0: 5525, 200.0: 4667, 83.33: 4513}","{275.0: 9964, 200.0: 9751, 170.0: 9058, 100.0: 6405, 133.33: 6281}",0.9513067673655967
15,2023-02-09,2024-06-21,83.33,400.0,"{400.0: 38916, 83.33: 30601, 600.0: 17171, 616.67: 14012, 758.33: 13795}","{1.67: 16473, 150.0: 9913, 100.0: 9780, 200.0: 9770, 233.33: 7139}","{400.0: 38950, 83.33: 34812, 600.0: 17171, 1.67: 17103, 100.0: 15138}",0.5798693157514344
16,2023-02-09,2024-09-20,290.0,75.0,"{200.0: 1744, 190.0: 1486, 220.0: 1479, 150.0: 1419, 350.0: 1413}","{290.0: 2781, 150.0: 2726, 75.0: 2322, 100.0: 2209, 200.0: 1409}","{150.0: 4145, 290.0: 3235, 200.0: 3153, 100.0: 2586, 75.0: 2332}",1.0699265751739515
17,2023-02-09,2025-01-17,40.0,610.0,"{170.0: 35448, 175.0: 33514, 300.0: 31171, 200.0: 28264, 400.0: 18854}","{100.0: 17510, 30.0: 16532, 40.0: 15779, 200.0: 12455, 150.0: 11823}","{170.0: 45113, 200.0: 40719, 175.0: 38062, 300.0: 34282, 40.0: 30491}",0.5790081596780313
