,DateGen,ExpDate,ITM Maximum Pain,All Maxpain,Top 5 Calls,Top 5 Puts,highestOIstrike,ITM P/C Ratio,All P/C Ratio
0,2023-02-10,2023-02-10,155.0,140.0,"{210.0: 31515, 220.0: 28166, 215.0: 27101, 200.0: 26855, 230.0: 22576}","{200.0: 56205, 195.0: 36675, 190.0: 23021, 140.0: 17488, 185.0: 16562}","{200.0: 83060, 195.0: 48973, 210.0: 42469, 190.0: 32743, 220.0: 30502}",1.0389560081390046,1.0389560081390046
1,2023-02-10,2023-02-17,120.0,70.0,"{200.0: 38964, 220.0: 36295, 160.0: 29125, 120.0: 26337, 250.0: 21061}","{70.0: 53618, 80.0: 50100, 120.0: 48304, 100.0: 38586, 105.0: 29283}","{120.0: 74641, 200.0: 59605, 70.0: 53692, 80.0: 50289, 105.0: 50004}",1.0945040320892818,1.0945040320892818
2,2023-02-10,2023-02-24,130.0,150.0,"{260.0: 8868, 220.0: 5495, 250.0: 4487, 240.0: 4392, 200.0: 4349}","{155.0: 5697, 150.0: 5105, 180.0: 4889, 145.0: 4735, 160.0: 3938}","{260.0: 8873, 150.0: 8186, 200.0: 7946, 180.0: 7494, 155.0: 7427}",0.9518725443061059,0.9518725443061059
3,2023-02-10,2023-03-03,170.0,150.0,"{200.0: 5465, 230.0: 4406, 300.0: 4356, 250.0: 4168, 215.0: 4163}","{150.0: 6316, 160.0: 4433, 162.5: 4417, 170.0: 4383, 145.0: 3737}","{200.0: 7679, 150.0: 7328, 170.0: 6844, 160.0: 5518, 162.5: 4609}",0.9533322575439729,0.9533322575439729
4,2023-02-10,2023-03-10,177.5,310.0,"{265.0: 3228, 310.0: 2847, 200.0: 1799, 177.5: 1793, 250.0: 1630}","{175.0: 1750, 180.0: 1376, 170.0: 1314, 55.0: 1200, 105.0: 1144}","{265.0: 3228, 310.0: 2858, 200.0: 2766, 175.0: 2168, 177.5: 2034}",0.7393736327638246,0.7393736327638246
5,2023-02-10,2023-03-17,135.0,825.0,"{300.0: 70534, 666.67: 70173, 825.0: 59770, 200.0: 41135, 316.67: 29536}","{200.0: 36171, 135.0: 33819, 33.33: 33564, 100.0: 30899, 140.0: 29119}","{200.0: 77306, 300.0: 70984, 666.67: 70173, 135.0: 61623, 825.0: 59770}",0.6913628970053993,0.6913628970053993
6,2023-02-10,2023-03-24,155.0,50.0,"{210.0: 2503, 200.0: 1775, 205.0: 1073, 220.0: 1002, 250.0: 666}","{200.0: 1592, 50.0: 1543, 220.0: 815, 150.0: 632, 190.0: 611}","{200.0: 3367, 210.0: 2676, 220.0: 1817, 50.0: 1554, 205.0: 1161}",0.8713704025098458,0.8713704025098458
7,2023-02-10,2023-03-31,155.0,105.0,"{220.0: 214, 210.0: 109, 215.0: 77, 155.0: 71, 150.0: 54}","{105.0: 117, 150.0: 74, 165.0: 63, 205.0: 55, 200.0: 47}","{220.0: 218, 210.0: 153, 150.0: 128, 105.0: 117, 200.0: 88}",0.6703601108033241,0.6703601108033241
8,2023-02-10,2023-04-21,80.0,600.0,"{80.0: 25226, 316.67: 21923, 600.0: 19528, 433.33: 12429, 200.0: 11649}","{100.0: 24215, 150.0: 17705, 191.67: 14035, 75.0: 13190, 125.0: 12531}","{80.0: 29746, 100.0: 25785, 150.0: 24904, 125.0: 23657, 316.67: 21925}",0.779526247095741,0.779526247095741
9,2023-02-10,2023-05-19,110.0,100.0,"{110.0: 15971, 210.0: 10617, 180.0: 8194, 200.0: 7443, 205.0: 4241}","{100.0: 24336, 140.0: 11286, 120.0: 7865, 110.0: 7213, 180.0: 6178}","{100.0: 25414, 110.0: 23184, 180.0: 14372, 140.0: 13243, 210.0: 11396}",1.2107824920463712,1.2107824920463712
10,2023-02-10,2023-06-16,150.0,825.0,"{825.0: 38759, 333.33: 33330, 200.0: 24583, 500.0: 20905, 466.67: 20830}","{1.67: 41907, 100.0: 27661, 200.0: 21462, 50.0: 17516, 33.33: 16605}","{200.0: 46045, 1.67: 42013, 825.0: 38759, 333.33: 33561, 100.0: 31139}",0.7486730859945835,0.7486730859945835
11,2023-02-10,2023-07-21,150.0,250.0,"{250.0: 24445, 200.0: 5234, 210.0: 5121, 185.0: 3901, 215.0: 3713}","{185.0: 12871, 100.0: 5617, 50.0: 5093, 120.0: 4405, 75.0: 4159}","{250.0: 26023, 185.0: 16772, 200.0: 7340, 150.0: 6898, 210.0: 6607}",1.0931190001277353,1.0931190001277353
12,2023-02-10,2023-09-15,150.0,758.33,"{758.33: 71874, 150.0: 33794, 180.0: 33739, 183.33: 32296, 153.33: 30481}","{1.67: 20022, 200.0: 17206, 116.67: 12236, 100.0: 11994, 33.33: 11367}","{758.33: 71874, 150.0: 43045, 180.0: 40198, 183.33: 37566, 153.33: 32332}",0.470445785211926,0.470445785211926
13,2023-02-10,2023-12-15,85.0,90.0,"{250.0: 15738, 260.0: 10090, 200.0: 8599, 205.0: 7180, 240.0: 5760}","{150.0: 12283, 160.0: 10735, 130.0: 10590, 90.0: 6015, 100.0: 6013}","{250.0: 19193, 150.0: 13798, 160.0: 13568, 130.0: 11368, 260.0: 10840}",1.0324100643368472,1.0324100643368472
14,2023-02-10,2024-01-19,100.0,825.0,"{825.0: 74430, 666.67: 40830, 180.0: 39249, 366.67: 38785, 400.0: 38575}","{100.0: 39514, 33.33: 32826, 50.0: 30356, 1.67: 29256, 200.0: 24170}","{825.0: 74430, 200.0: 56569, 100.0: 53428, 233.33: 51030, 180.0: 50308}",0.52230310478059,0.52230310478059
15,2023-02-10,2024-03-15,100.0,600.0,"{275.0: 8961, 200.0: 5180, 300.0: 4882, 266.67: 4459, 258.33: 4133}","{170.0: 8883, 133.33: 5692, 50.0: 5570, 200.0: 4694, 83.33: 4511}","{275.0: 9967, 200.0: 9874, 170.0: 9166, 100.0: 6441, 133.33: 6282}",0.9467995951196683,0.9467995951196683
16,2023-02-10,2024-06-21,83.33,758.33,"{400.0: 38877, 83.33: 30601, 600.0: 17173, 616.67: 14018, 758.33: 13726}","{1.67: 16473, 150.0: 9876, 200.0: 9782, 100.0: 9746, 233.33: 7139}","{400.0: 38912, 83.33: 34809, 600.0: 17173, 1.67: 17103, 100.0: 15092}",0.5785627176420459,0.5785627176420459
17,2023-02-10,2024-09-20,290.0,75.0,"{200.0: 1718, 190.0: 1486, 220.0: 1463, 150.0: 1425, 350.0: 1418}","{290.0: 2808, 150.0: 2726, 75.0: 2322, 100.0: 2199, 200.0: 1416}","{150.0: 4151, 290.0: 3274, 200.0: 3134, 100.0: 2576, 75.0: 2332}",1.0641166862916398,1.0641166862916398
18,2023-02-10,2025-01-17,40.0,610.0,"{170.0: 35451, 175.0: 33489, 300.0: 30698, 200.0: 28163, 400.0: 19094}","{100.0: 17653, 30.0: 16537, 40.0: 15780, 200.0: 12455, 150.0: 11838}","{170.0: 45145, 200.0: 40618, 175.0: 37985, 300.0: 33773, 40.0: 30492}",0.5830331707788132,0.5830331707788132
