Series Search Results for ROKU

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
ROKU  		2023	02	03	20	000	C P 	0	91	25000000
ROKU  		2023	02	03	25	000	C P 	0	12	25000000
ROKU  		2023	02	03	29	000	C P 	0	8	25000000
ROKU  		2023	02	03	30	000	C P 	0	63	25000000
ROKU  		2023	02	03	31	000	C P 	0	30	25000000
ROKU  		2023	02	03	32	000	C P 	0	47	25000000
ROKU  		2023	02	03	33	000	C P 	0	39	25000000
ROKU  		2023	02	03	34	000	C P 	0	281	25000000
ROKU  		2023	02	03	35	000	C P 	0	227	25000000
ROKU  		2023	02	03	35	500	C P 	0	28	25000000
ROKU  		2023	02	03	36	000	C P 	0	177	25000000
ROKU  		2023	02	03	36	500	C P 	0	260	25000000
ROKU  		2023	02	03	37	000	C P 	0	526	25000000
ROKU  		2023	02	03	37	500	C P 	0	25	25000000
ROKU  		2023	02	03	38	000	C P 	0	1235	25000000
ROKU  		2023	02	03	38	500	C P 	0	84	25000000
ROKU  		2023	02	03	39	000	C P 	0	93	25000000
ROKU  		2023	02	03	39	500	C P 	0	9	25000000
ROKU  		2023	02	03	40	000	C P 	0	282	25000000
ROKU  		2023	02	03	40	500	C P 	0	15	25000000
ROKU  		2023	02	03	41	000	C P 	0	215	25000000
ROKU  		2023	02	03	41	500	C P 	0	184	25000000
ROKU  		2023	02	03	42	000	C P 	0	354	25000000
ROKU  		2023	02	03	42	500	C P 	0	140	25000000
ROKU  		2023	02	03	43	000	C P 	0	448	25000000
ROKU  		2023	02	03	43	500	C P 	0	306	25000000
ROKU  		2023	02	03	44	000	C P 	0	787	25000000
ROKU  		2023	02	03	44	500	C P 	0	434	25000000
ROKU  		2023	02	03	45	000	C P 	0	1145	25000000
ROKU  		2023	02	03	45	500	C P 	0	442	25000000
ROKU  		2023	02	03	46	000	C P 	0	379	25000000
ROKU  		2023	02	03	46	500	C P 	0	370	25000000
ROKU  		2023	02	03	47	000	C P 	0	333	25000000
ROKU  		2023	02	03	47	500	C P 	0	241	25000000
ROKU  		2023	02	03	48	000	C P 	0	627	25000000
ROKU  		2023	02	03	48	500	C P 	0	465	25000000
ROKU  		2023	02	03	49	000	C P 	0	873	25000000
ROKU  		2023	02	03	49	500	C P 	0	462	25000000
ROKU  		2023	02	03	50	000	C P 	0	2035	25000000
ROKU  		2023	02	03	51	000	C P 	0	774	25000000
ROKU  		2023	02	03	52	000	C P 	0	978	25000000
ROKU  		2023	02	03	53	000	C P 	0	1426	25000000
ROKU  		2023	02	03	54	000	C P 	0	650	25000000
ROKU  		2023	02	03	55	000	C P 	0	952	25000000
ROKU  		2023	02	03	56	000	C P 	0	999	25000000
ROKU  		2023	02	03	57	000	C P 	0	660	25000000
ROKU  		2023	02	03	58	000	C P 	0	755	25000000
ROKU  		2023	02	03	59	000	C P 	0	668	25000000
ROKU  		2023	02	03	60	000	C P 	0	1198	25000000
ROKU  		2023	02	03	61	000	C P 	0	1505	25000000
ROKU  		2023	02	03	62	000	C P 	0	1043	25000000
ROKU  		2023	02	03	63	000	C P 	846	0	25000000
ROKU  		2023	02	03	64	000	C P 	571	0	25000000
ROKU  		2023	02	03	65	000	C P 	1460	0	25000000
ROKU  		2023	02	03	66	000	C P 	822	0	25000000
ROKU  		2023	02	03	67	000	C P 	1223	0	25000000
ROKU  		2023	02	03	68	000	C P 	362	0	25000000
ROKU  		2023	02	03	69	000	C P 	385	0	25000000
ROKU  		2023	02	03	70	000	C P 	884	0	25000000
ROKU  		2023	02	03	71	000	C P 	392	0	25000000
ROKU  		2023	02	03	72	000	C P 	177	0	25000000
ROKU  		2023	02	03	73	000	C P 	187	0	25000000
ROKU  		2023	02	03	74	000	C P 	95	0	25000000
ROKU  		2023	02	03	75	000	C P 	350	0	25000000
ROKU  		2023	02	03	76	000	C P 	13	0	25000000
ROKU  		2023	02	03	77	000	C P 	100	0	25000000
ROKU  		2023	02	03	78	000	C P 	66	0	25000000
ROKU  		2023	02	03	79	000	C P 	27	0	25000000
ROKU  		2023	02	03	80	000	C P 	2	0	25000000
ROKU  		2023	02	03	81	000	C P 	0	0	25000000
ROKU  		2023	02	03	82	000	C P 	0	0	25000000
ROKU  		2023	02	03	83	000	C P 	0	0	25000000
ROKU  		2023	02	03	84	000	C P 	0	0	25000000
ROKU  		2023	02	03	85	000	C P 	0	0	25000000
ROKU  		2023	02	03	86	000	C P 	0	0	25000000
ROKU  		2023	02	03	87	000	C P 	0	0	25000000
ROKU  		2023	02	03	90	000	C P 	0	0	25000000
ROKU  		2023	02	03	95	000	C P 	0	0	25000000
ROKU  		2023	02	03	100	000	C P 	0	0	25000000
ROKU  		2023	02	10	25	000	C P 	0	360	25000000
ROKU  		2023	02	10	29	000	C P 	0	28	25000000
ROKU  		2023	02	10	30	000	C P 	0	603	25000000
ROKU  		2023	02	10	31	000	C P 	1	79	25000000
ROKU  		2023	02	10	32	000	C P 	0	1219	25000000
ROKU  		2023	02	10	33	000	C P 	0	762	25000000
ROKU  		2023	02	10	34	000	C P 	7	54	25000000
ROKU  		2023	02	10	35	000	C P 	4	118	25000000
ROKU  		2023	02	10	36	000	C P 	0	56	25000000
ROKU  		2023	02	10	37	000	C P 	1	176	25000000
ROKU  		2023	02	10	38	000	C P 	1	554	25000000
ROKU  		2023	02	10	38	500	C P 	0	240	25000000
ROKU  		2023	02	10	39	000	C P 	0	284	25000000
ROKU  		2023	02	10	39	500	C P 	12	0	25000000
ROKU  		2023	02	10	40	000	C P 	2018	2191	25000000
ROKU  		2023	02	10	40	500	C P 	6	3	25000000
ROKU  		2023	02	10	41	000	C P 	19	145	25000000
ROKU  		2023	02	10	41	500	C P 	0	8	25000000
ROKU  		2023	02	10	42	000	C P 	15	309	25000000
ROKU  		2023	02	10	42	500	C P 	1	9	25000000
ROKU  		2023	02	10	43	000	C P 	44	157	25000000
ROKU  		2023	02	10	43	500	C P 	2	12	25000000
ROKU  		2023	02	10	44	000	C P 	106	925	25000000
ROKU  		2023	02	10	44	500	C P 	24	1	25000000
ROKU  		2023	02	10	45	000	C P 	114	221	25000000
ROKU  		2023	02	10	45	500	C P 	18	45	25000000
ROKU  		2023	02	10	46	000	C P 	500	132	25000000
ROKU  		2023	02	10	46	500	C P 	15	63	25000000
ROKU  		2023	02	10	47	000	C P 	86	905	25000000
ROKU  		2023	02	10	47	500	C P 	18	137	25000000
ROKU  		2023	02	10	48	000	C P 	114	212	25000000
ROKU  		2023	02	10	48	500	C P 	21	265	25000000
ROKU  		2023	02	10	49	000	C P 	109	207	25000000
ROKU  		2023	02	10	49	500	C P 	58	95	25000000
