ProductSymbol	Year	Month	Day	Integer	Dec	C/P	Call	Put	PositionLimit	
ROKU  	2023	02	17	20	000	C P 	1	358	25000000
ROKU  	2023	02	17	22	500	C P 	20	428	25000000
ROKU  	2023	02	17	25	000	C P 	17	2720	25000000
ROKU  	2023	02	17	30	000	C P 	95	5244	25000000
ROKU  	2023	02	17	35	000	C P 	85	6008	25000000
ROKU  	2023	02	17	36	000	C P 	3	60	25000000
ROKU  	2023	02	17	36	500	C P 	0	3	25000000
ROKU  	2023	02	17	37	000	C P 	0	12	25000000
ROKU  	2023	02	17	37	500	C P 	0	66	25000000
ROKU  	2023	02	17	38	000	C P 	0	24	25000000
ROKU  	2023	02	17	38	500	C P 	0	47	25000000
ROKU  	2023	02	17	39	000	C P 	0	77	25000000
ROKU  	2023	02	17	40	000	C P 	756	2835	25000000
ROKU  	2023	02	17	41	000	C P 	0	50	25000000
ROKU  	2023	02	17	42	000	C P 	19	577	25000000
ROKU  	2023	02	17	43	000	C P 	7	841	25000000
ROKU  	2023	02	17	44	000	C P 	15	239	25000000
ROKU  	2023	02	17	45	000	C P 	1298	4446	25000000
ROKU  	2023	02	17	45	500	C P 	41	256	25000000
ROKU  	2023	02	17	46	000	C P 	69	381	25000000
ROKU  	2023	02	17	46	500	C P 	40	252	25000000
ROKU  	2023	02	17	47	000	C P 	75	861	25000000
ROKU  	2023	02	17	47	500	C P 	52	661	25000000
ROKU  	2023	02	17	48	000	C P 	37	910	25000000
ROKU  	2023	02	17	48	500	C P 	34	287	25000000
ROKU  	2023	02	17	49	000	C P 	167	551	25000000
ROKU  	2023	02	17	49	500	C P 	156	523	25000000
ROKU  	2023	02	17	50	000	C P 	2061	3925	25000000
ROKU  	2023	02	17	51	000	C P 	274	1674	25000000
ROKU  	2023	02	17	52	000	C P 	114	1035	25000000
ROKU  	2023	02	17	53	000	C P 	113	767	25000000
ROKU  	2023	02	17	54	000	C P 	409	870	25000000
ROKU  	2023	02	17	55	000	C P 	2473	1622	25000000
ROKU  	2023	02	17	56	000	C P 	628	515	25000000
ROKU  	2023	02	17	57	000	C P 	979	211	25000000
ROKU  	2023	02	17	58	000	C P 	599	527	25000000
ROKU  	2023	02	17	59	000	C P 	683	315	25000000
ROKU  	2023	02	17	60	000	C P 	3505	1082	25000000
ROKU  	2023	02	17	61	000	C P 	1638	178	25000000
ROKU  	2023	02	17	62	000	C P 	727	267	25000000
ROKU  	2023	02	17	63	000	C P 	649	153	25000000
