Series Search Results for ROKU

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
ROKU  		2023	01	20	20	000	C P 	0	100	25000000
ROKU  		2023	01	20	22	500	C P 	0	516	25000000
ROKU  		2023	01	20	25	000	C P 	0	2438	25000000
ROKU  		2023	01	20	30	000	C P 	0	6650	25000000
ROKU  		2023	01	20	31	000	C P 	0	557	25000000
ROKU  		2023	01	20	32	000	C P 	0	801	25000000
ROKU  		2023	01	20	33	000	C P 	0	68	25000000
ROKU  		2023	01	20	34	000	C P 	0	238	25000000
ROKU  		2023	01	20	34	500	C P 	0	61	25000000
ROKU  		2023	01	20	35	000	C P 	0	4997	25000000
ROKU  		2023	01	20	35	500	C P 	0	61	25000000
ROKU  		2023	01	20	36	000	C P 	0	784	25000000
ROKU  		2023	01	20	36	500	C P 	0	521	25000000
ROKU  		2023	01	20	37	000	C P 	0	436	25000000
ROKU  		2023	01	20	37	500	C P 	0	630	25000000
ROKU  		2023	01	20	38	000	C P 	0	446	25000000
ROKU  		2023	01	20	38	500	C P 	0	664	25000000
ROKU  		2023	01	20	39	000	C P 	0	703	25000000
ROKU  		2023	01	20	39	500	C P 	0	1442	25000000
ROKU  		2023	01	20	40	000	C P 	0	8689	25000000
ROKU  		2023	01	20	40	500	C P 	0	1578	25000000
ROKU  		2023	01	20	41	000	C P 	0	625	25000000
ROKU  		2023	01	20	41	500	C P 	0	318	25000000
ROKU  		2023	01	20	42	000	C P 	0	715	25000000
ROKU  		2023	01	20	42	500	C P 	0	539	25000000
ROKU  		2023	01	20	43	000	C P 	0	753	25000000
ROKU  		2023	01	20	43	500	C P 	0	264	25000000
ROKU  		2023	01	20	44	000	C P 	0	911	25000000
ROKU  		2023	01	20	44	500	C P 	0	446	25000000
ROKU  		2023	01	20	45	000	C P 	0	7413	25000000
ROKU  		2023	01	20	45	500	C P 	0	5565	25000000
ROKU  		2023	01	20	46	000	C P 	0	1137	25000000
ROKU  		2023	01	20	46	500	C P 	0	777	25000000
ROKU  		2023	01	20	47	000	C P 	0	988	25000000
ROKU  		2023	01	20	47	500	C P 	0	507	25000000
ROKU  		2023	01	20	48	000	C P 	0	966	25000000
ROKU  		2023	01	20	48	500	C P 	0	1208	25000000
ROKU  		2023	01	20	49	000	C P 	0	1710	25000000
ROKU  		2023	01	20	49	500	C P 	0	1813	25000000
ROKU  		2023	01	20	50	000	C P 	0	6145	25000000
ROKU  		2023	01	20	51	000	C P 	0	971	25000000
ROKU  		2023	01	20	52	000	C P 	2	883	25000000
ROKU  		2023	01	20	53	000	C P 	907	0	25000000
ROKU  		2023	01	20	54	000	C P 	876	0	25000000
ROKU  		2023	01	20	55	000	C P 	4073	0	25000000
ROKU  		2023	01	20	56	000	C P 	565	0	25000000
ROKU  		2023	01	20	57	000	C P 	582	0	25000000
ROKU  		2023	01	20	58	000	C P 	99	0	25000000
ROKU  		2023	01	20	59	000	C P 	191	0	25000000
ROKU  		2023	01	20	60	000	C P 	5141	0	25000000
ROKU  		2023	01	20	61	000	C P 	88	0	25000000
ROKU  		2023	01	20	62	000	C P 	400	0	25000000
ROKU  		2023	01	20	65	000	C P 	4269	0	25000000
ROKU  		2023	01	20	70	000	C P 	5424	0	25000000
ROKU  		2023	01	20	75	000	C P 	3171	0	25000000
ROKU  		2023	01	20	80	000	C P 	1230	0	25000000
ROKU  		2023	01	20	85	000	C P 	1859	0	25000000
ROKU  		2023	01	20	90	000	C P 	3444	0	25000000
ROKU  		2023	01	20	95	000	C P 	1342	0	25000000
ROKU  		2023	01	20	100	000	C P 	2315	0	25000000
ROKU  		2023	01	20	105	000	C P 	1256	0	25000000
ROKU  		2023	01	20	110	000	C P 	1796	0	25000000
ROKU  		2023	01	20	115	000	C P 	704	0	25000000
ROKU  		2023	01	20	120	000	C P 	1099	0	25000000
ROKU  		2023	01	20	125	000	C P 	1655	0	25000000
ROKU  		2023	01	20	130	000	C P 	2644	0	25000000
ROKU  		2023	01	20	135	000	C P 	1554	0	25000000
ROKU  		2023	01	20	140	000	C P 	2518	0	25000000
ROKU  		2023	01	20	145	000	C P 	1805	0	25000000
ROKU  		2023	01	20	150	000	C P 	1709	0	25000000
ROKU  		2023	01	20	155	000	C P 	1771	0	25000000
ROKU  		2023	01	20	160	000	C P 	468	0	25000000
ROKU  		2023	01	20	165	000	C P 	2758	0	25000000
ROKU  		2023	01	20	170	000	C P 	1245	0	25000000
ROKU  		2023	01	20	175	000	C P 	883	0	25000000
ROKU  		2023	01	20	180	000	C P 	970	0	25000000
ROKU  		2023	01	20	185	000	C P 	835	0	25000000
ROKU  		2023	01	20	190	000	C P 	610	0	25000000
ROKU  		2023	01	20	195	000	C P 	438	0	25000000
ROKU  		2023	01	20	200	000	C P 	1648	0	25000000
ROKU  		2023	01	20	205	000	C P 	436	0	25000000
ROKU  		2023	01	20	210	000	C P 	873	0	25000000
ROKU  		2023	01	20	220	000	C P 	891	0	25000000
ROKU  		2023	01	20	230	000	C P 	10151	0	25000000
ROKU  		2023	01	20	240	000	C P 	383	0	25000000
ROKU  		2023	01	20	250	000	C P 	2696	0	25000000
ROKU  		2023	01	20	260	000	C P 	619	0	25000000
ROKU  		2023	01	20	270	000	C P 	476	0	25000000
ROKU  		2023	01	20	280	000	C P 	667	0	25000000
ROKU  		2023	01	20	290	000	C P 	543	0	25000000
ROKU  		2023	01	20	300	000	C P 	4327	0	25000000
ROKU  		2023	01	20	310	000	C P 	321	0	25000000
ROKU  		2023	01	20	320	000	C P 	490	0	25000000
ROKU  		2023	01	20	330	000	C P 	614	0	25000000
ROKU  		2023	01	20	340	000	C P 	619	0	25000000
ROKU  		2023	01	20	350	000	C P 	1904	0	25000000
ROKU  		2023	01	20	360	000	C P 	503	0	25000000
ROKU  		2023	01	20	370	000	C P 	719	0	25000000
ROKU  		2023	01	20	380	000	C P 	478	0	25000000
ROKU  		2023	01	20	390	000	C P 	215	0	25000000
ROKU  		2023	01	20	400	000	C P 	3036	0	25000000
ROKU  		2023	01	20	410	000	C P 	634	0	25000000
ROKU  		2023	01	20	420	000	C P 	252	0	25000000
ROKU  		2023	01	20	430	000	C P 	238	0	25000000
ROKU  		2023	01	20	440	000	C P 	827	0	25000000
ROKU  		2023	01	20	450	000	C P 	2701	0	25000000
ROKU  		2023	01	20	460	000	C P 	296	0	25000000
ROKU  		2023	01	20	470	000	C P 	350	0	25000000
ROKU  		2023	01	20	480	000	C P 	242	0	25000000
ROKU  		2023	01	20	490	000	C P 	223	0	25000000
ROKU  		2023	01	20	500	000	C P 	1873	0	25000000
ROKU  		2023	01	20	520	000	C P 	140	0	25000000
ROKU  		2023	01	20	540	000	C P 	170	0	25000000
ROKU  		2023	01	20	560	000	C P 	205	0	25000000
ROKU  		2023	01	20	580	000	C P 	118	0	25000000
ROKU  		2023	01	20	600	000	C P 	584	0	25000000
ROKU  		2023	01	20	620	000	C P 	125	0	25000000
ROKU  		2023	01	20	640	000	C P 	312	0	25000000
ROKU  		2023	01	20	660	000	C P 	106	0	25000000
ROKU  		2023	01	20	670	000	C P 	65	0	25000000
ROKU  		2023	01	20	680	000	C P 	89	0	25000000
ROKU  		2023	01	20	690	000	C P 	211	0	25000000
ROKU  		2023	01	20	700	000	C P 	1573	0	25000000
ROKU  		2023	01	20	720	000	C P 	2283	0	25000000
ROKU  		2023	01	27	20	000	C P 	0	53	25000000
ROKU  		2023	01	27	25	000	C P 	0	19	25000000
ROKU  		2023	01	27	29	000	C P 	0	38	25000000
ROKU  		2023	01	27	30	000	C P 	1	93	25000000
ROKU  		2023	01	27	31	000	C P 	5	98	25000000
ROKU  		2023	01	27	32	000	C P 	1	42	25000000
ROKU  		2023	01	27	33	000	C P 	0	76	25000000
ROKU  		2023	01	27	34	000	C P 	0	108	25000000
ROKU  		2023	01	27	35	000	C P 	3	2435	25000000
ROKU  		2023	01	27	36	000	C P 	9	104	25000000
ROKU  		2023	01	27	37	000	C P 	11	126	25000000
ROKU  		2023	01	27	38	000	C P 	27	94	25000000
ROKU  		2023	01	27	38	500	C P 	0	177	25000000
ROKU  		2023	01	27	39	000	C P 	117	543	25000000
ROKU  		2023	01	27	39	500	C P 	8	206	25000000
ROKU  		2023	01	27	40	000	C P 	161	499	25000000
ROKU  		2023	01	27	40	500	C P 	26	19	25000000
ROKU  		2023	01	27	41	000	C P 	79	377	25000000
ROKU  		2023	01	27	41	500	C P 	12	39	25000000
ROKU  		2023	01	27	42	000	C P 	112	139	25000000
ROKU  		2023	01	27	42	500	C P 	89	93	25000000
ROKU  		2023	01	27	43	000	C P 	117	192	25000000
ROKU  		2023	01	27	43	500	C P 	18	75	25000000
ROKU  		2023	01	27	44	000	C P 	284	801	25000000
ROKU  		2023	01	27	44	500	C P 	62	166	25000000
ROKU  		2023	01	27	45	000	C P 	285	8149	25000000
ROKU  		2023	01	27	45	500	C P 	48	88	25000000
ROKU  		2023	01	27	46	000	C P 	176	383	25000000
ROKU  		2023	01	27	46	500	C P 	71	246	25000000
ROKU  		2023	01	27	47	000	C P 	158	753	25000000
ROKU  		2023	01	27	47	500	C P 	82	1188	25000000
ROKU  		2023	01	27	48	000	C P 	264	573	25000000
ROKU  		2023	01	27	48	500	C P 	133	5140	25000000
ROKU  		2023	01	27	49	000	C P 	272	459	25000000
ROKU  		2023	01	27	49	500	C P 	335	380	25000000
ROKU  		2023	01	27	50	000	C P 	1055	1369	25000000
ROKU  		2023	01	27	51	000	C P 	1040	512	25000000
ROKU  		2023	01	27	52	000	C P 	707	740	25000000
ROKU  		2023	01	27	53	000	C P 	983	361	25000000
ROKU  		2023	01	27	54	000	C P 	684	246	25000000
ROKU  		2023	01	27	55	000	C P 	1267	176	25000000
ROKU  		2023	01	27	56	000	C P 	771	38	25000000
ROKU  		2023	01	27	57	000	C P 	462	7	25000000
ROKU  		2023	01	27	58	000	C P 	210	16	25000000
ROKU  		2023	01	27	59	000	C P 	261	0	25000000
ROKU  		2023	01	27	60	000	C P 	362	20	25000000
ROKU  		2023	01	27	61	000	C P 	73	4	25000000
ROKU  		2023	01	27	62	000	C P 	376	2	25000000
ROKU  		2023	01	27	63	000	C P 	61	1	25000000
ROKU  		2023	01	27	64	000	C P 	94	0	25000000
ROKU  		2023	01	27	65	000	C P 	222	1	25000000
ROKU  		2023	01	27	70	000	C P 	132	0	25000000
ROKU  		2023	01	27	75	000	C P 	0	0	25000000
ROKU  		2023	02	03	20	000	C P 	0	91	25000000
ROKU  		2023	02	03	25	000	C P 	0	12	25000000
ROKU  		2023	02	03	29	000	C P 	3	8	25000000
ROKU  		2023	02	03	30	000	C P 	1	63	25000000
ROKU  		2023	02	03	31	000	C P 	0	30	25000000
ROKU  		2023	02	03	32	000	C P 	0	47	25000000
ROKU  		2023	02	03	33	000	C P 	0	45	25000000
ROKU  		2023	02	03	34	000	C P 	13	291	25000000
ROKU  		2023	02	03	35	000	C P 	6	229	25000000
ROKU  		2023	02	03	36	000	C P 	1	177	25000000
ROKU  		2023	02	03	37	000	C P 	1	46	25000000
ROKU  		2023	02	03	38	000	C P 	2	59	25000000
ROKU  		2023	02	03	39	000	C P 	7	67	25000000
ROKU  		2023	02	03	40	000	C P 	55	296	25000000
ROKU  		2023	02	03	41	000	C P 	27	85	25000000
