ProductSymbol	Year	Month	Day	Integer	Dec	C/P	Call	Put	PositionLimit	
ROKU  	2023	01	27	20	000	C P 	0	54	25000000
ROKU  	2023	01	27	25	000	C P 	1	19	25000000
ROKU  	2023	01	27	29	000	C P 	0	38	25000000
ROKU  	2023	01	27	30	000	C P 	1	93	25000000
ROKU  	2023	01	27	31	000	C P 	5	98	25000000
ROKU  	2023	01	27	32	000	C P 	1	42	25000000
ROKU  	2023	01	27	33	000	C P 	1	77	25000000
ROKU  	2023	01	27	34	000	C P 	0	108	25000000
ROKU  	2023	01	27	35	000	C P 	3	2435	25000000
ROKU  	2023	01	27	36	000	C P 	9	104	25000000
ROKU  	2023	01	27	37	000	C P 	11	126	25000000
ROKU  	2023	01	27	38	000	C P 	27	94	25000000
ROKU  	2023	01	27	38	500	C P 	0	177	25000000
ROKU  	2023	01	27	39	000	C P 	116	543	25000000
ROKU  	2023	01	27	39	500	C P 	8	205	25000000
ROKU  	2023	01	27	40	000	C P 	161	497	25000000
ROKU  	2023	01	27	40	500	C P 	26	19	25000000
ROKU  	2023	01	27	41	000	C P 	78	358	25000000
ROKU  	2023	01	27	41	500	C P 	12	38	25000000
ROKU  	2023	01	27	42	000	C P 	112	135	25000000
ROKU  	2023	01	27	42	500	C P 	89	76	25000000
ROKU  	2023	01	27	43	000	C P 	118	138	25000000
ROKU  	2023	01	27	43	500	C P 	13	1242	25000000
ROKU  	2023	01	27	44	000	C P 	209	1945	25000000
ROKU  	2023	01	27	44	500	C P 	62	166	25000000
ROKU  	2023	01	27	45	000	C P 	273	8005	25000000
ROKU  	2023	01	27	45	500	C P 	49	101	25000000
ROKU  	2023	01	27	46	000	C P 	161	393	25000000
ROKU  	2023	01	27	46	500	C P 	70	250	25000000
ROKU  	2023	01	27	47	000	C P 	144	672	25000000
ROKU  	2023	01	27	47	500	C P 	76	1204	25000000
ROKU  	2023	01	27	48	000	C P 	228	900	25000000
ROKU  	2023	01	27	48	500	C P 	129	5185	25000000
ROKU  	2023	01	27	49	000	C P 	237	455	25000000
ROKU  	2023	01	27	49	500	C P 	337	430	25000000
