ProductSymbol	Year	Month	Day	Integer	Dec	C/P	Call	Put	PositionLimit	
SPY   	2023	02	02	320	000	C P 	0	339	360000000
SPY   	2023	02	02	330	000	C P 	0	212	360000000
SPY   	2023	02	02	331	000	C P 	0	5	360000000
SPY   	2023	02	02	332	000	C P 	0	820	360000000
SPY   	2023	02	02	333	000	C P 	0	474	360000000
SPY   	2023	02	02	334	000	C P 	0	410	360000000
SPY   	2023	02	02	335	000	C P 	0	825	360000000
SPY   	2023	02	02	336	000	C P 	0	355	360000000
SPY   	2023	02	02	337	000	C P 	0	453	360000000
SPY   	2023	02	02	338	000	C P 	0	681	360000000
SPY   	2023	02	02	339	000	C P 	0	390	360000000
SPY   	2023	02	02	340	000	C P 	0	3116	360000000
SPY   	2023	02	02	341	000	C P 	0	485	360000000
SPY   	2023	02	02	342	000	C P 	0	22	360000000
SPY   	2023	02	02	343	000	C P 	0	0	360000000
SPY   	2023	02	02	344	000	C P 	0	7	360000000
SPY   	2023	02	02	345	000	C P 	0	548	360000000
SPY   	2023	02	02	346	000	C P 	0	33	360000000
SPY   	2023	02	02	347	000	C P 	0	212	360000000
SPY   	2023	02	02	348	000	C P 	0	433	360000000
SPY   	2023	02	02	349	000	C P 	0	25	360000000
SPY   	2023	02	02	350	000	C P 	0	90	360000000
SPY   	2023	02	02	351	000	C P 	0	93	360000000
SPY   	2023	02	02	352	000	C P 	0	2	360000000
SPY   	2023	02	02	353	000	C P 	0	21	360000000
SPY   	2023	02	02	354	000	C P 	0	15	360000000
SPY   	2023	02	02	355	000	C P 	0	120	360000000
SPY   	2023	02	02	356	000	C P 	0	383	360000000
SPY   	2023	02	02	357	000	C P 	0	59	360000000
SPY   	2023	02	02	358	000	C P 	0	238	360000000
SPY   	2023	02	02	359	000	C P 	0	504	360000000
SPY   	2023	02	02	360	000	C P 	0	3820	360000000
SPY   	2023	02	02	361	000	C P 	0	420	360000000
SPY   	2023	02	02	362	000	C P 	0	2544	360000000
SPY   	2023	02	02	363	000	C P 	0	2109	360000000
SPY   	2023	02	02	364	000	C P 	0	781	360000000
SPY   	2023	02	02	365	000	C P 	0	1137	360000000
SPY   	2023	02	02	366	000	C P 	0	604	360000000
SPY   	2023	02	02	367	000	C P 	0	3149	360000000
SPY   	2023	02	02	368	000	C P 	0	1813	360000000
SPY   	2023	02	02	369	000	C P 	0	2375	360000000
SPY   	2023	02	02	370	000	C P 	0	3300	360000000
SPY   	2023	02	02	371	000	C P 	0	185	360000000
SPY   	2023	02	02	372	000	C P 	0	74	360000000
SPY   	2023	02	02	373	000	C P 	0	144	360000000
SPY   	2023	02	02	374	000	C P 	0	340	360000000
SPY   	2023	02	02	375	000	C P 	0	2499	360000000
SPY   	2023	02	02	376	000	C P 	0	260	360000000
