Series Search Results for SPY

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
SPY   		2023	02	17	150	000	C P 	0	14726	360000000
SPY   		2023	02	17	160	000	C P 	0	3915	360000000
SPY   		2023	02	17	170	000	C P 	0	2892	360000000
SPY   		2023	02	17	180	000	C P 	0	3722	360000000
SPY   		2023	02	17	185	000	C P 	0	2066	360000000
SPY   		2023	02	17	190	000	C P 	0	2276	360000000
SPY   		2023	02	17	195	000	C P 	0	2043	360000000
SPY   		2023	02	17	200	000	C P 	0	8516	360000000
SPY   		2023	02	17	205	000	C P 	0	1117	360000000
SPY   		2023	02	17	210	000	C P 	0	2998	360000000
SPY   		2023	02	17	215	000	C P 	0	1542	360000000
SPY   		2023	02	17	220	000	C P 	0	2298	360000000
SPY   		2023	02	17	225	000	C P 	0	6179	360000000
SPY   		2023	02	17	230	000	C P 	0	14281	360000000
SPY   		2023	02	17	235	000	C P 	0	934	360000000
SPY   		2023	02	17	240	000	C P 	0	26455	360000000
SPY   		2023	02	17	245	000	C P 	0	12771	360000000
SPY   		2023	02	17	250	000	C P 	0	11387	360000000
SPY   		2023	02	17	255	000	C P 	0	3023	360000000
SPY   		2023	02	17	260	000	C P 	0	11143	360000000
SPY   		2023	02	17	265	000	C P 	0	11921	360000000
SPY   		2023	02	17	270	000	C P 	0	18784	360000000
SPY   		2023	02	17	275	000	C P 	0	19465	360000000
SPY   		2023	02	17	280	000	C P 	0	38567	360000000
SPY   		2023	02	17	285	000	C P 	0	4970	360000000
SPY   		2023	02	17	290	000	C P 	0	25836	360000000
SPY   		2023	02	17	295	000	C P 	0	31996	360000000
SPY   		2023	02	17	300	000	C P 	0	21001	360000000
SPY   		2023	02	17	301	000	C P 	0	6153	360000000
SPY   		2023	02	17	302	000	C P 	0	5919	360000000
SPY   		2023	02	17	303	000	C P 	0	8182	360000000
SPY   		2023	02	17	304	000	C P 	0	3626	360000000
SPY   		2023	02	17	305	000	C P 	0	3777	360000000
SPY   		2023	02	17	306	000	C P 	0	4768	360000000
SPY   		2023	02	17	307	000	C P 	0	4813	360000000
SPY   		2023	02	17	308	000	C P 	0	7509	360000000
SPY   		2023	02	17	309	000	C P 	0	7251	360000000
SPY   		2023	02	17	310	000	C P 	0	130643	360000000
SPY   		2023	02	17	311	000	C P 	0	9943	360000000
SPY   		2023	02	17	312	000	C P 	0	6990	360000000
SPY   		2023	02	17	313	000	C P 	0	4431	360000000
SPY   		2023	02	17	314	000	C P 	0	4338	360000000
SPY   		2023	02	17	315	000	C P 	0	45287	360000000
SPY   		2023	02	17	316	000	C P 	0	6437	360000000
SPY   		2023	02	17	317	000	C P 	0	4883	360000000
SPY   		2023	02	17	318	000	C P 	0	4859	360000000
SPY   		2023	02	17	319	000	C P 	0	5344	360000000
SPY   		2023	02	17	320	000	C P 	0	28668	360000000
SPY   		2023	02	17	321	000	C P 	0	9705	360000000
SPY   		2023	02	17	322	000	C P 	0	8048	360000000
SPY   		2023	02	17	323	000	C P 	0	5445	360000000
SPY   		2023	02	17	324	000	C P 	0	12875	360000000
SPY   		2023	02	17	325	000	C P 	0	55060	360000000
SPY   		2023	02	17	326	000	C P 	0	2927	360000000
SPY   		2023	02	17	327	000	C P 	0	5314	360000000
SPY   		2023	02	17	328	000	C P 	0	3024	360000000
SPY   		2023	02	17	329	000	C P 	0	2751	360000000
SPY   		2023	02	17	330	000	C P 	0	93487	360000000
SPY   		2023	02	17	331	000	C P 	0	3619	360000000
SPY   		2023	02	17	332	000	C P 	0	3682	360000000
SPY   		2023	02	17	333	000	C P 	0	5249	360000000
SPY   		2023	02	17	334	000	C P 	0	5038	360000000
SPY   		2023	02	17	335	000	C P 	0	21796	360000000
SPY   		2023	02	17	336	000	C P 	0	5535	360000000
SPY   		2023	02	17	337	000	C P 	0	5089	360000000
SPY   		2023	02	17	338	000	C P 	0	2211	360000000
SPY   		2023	02	17	339	000	C P 	0	5352	360000000
SPY   		2023	02	17	340	000	C P 	0	86655	360000000
SPY   		2023	02	17	341	000	C P 	0	8748	360000000
SPY   		2023	02	17	342	000	C P 	0	2663	360000000
SPY   		2023	02	17	343	000	C P 	0	4232	360000000
SPY   		2023	02	17	344	000	C P 	0	4510	360000000
SPY   		2023	02	17	345	000	C P 	0	8142	360000000
SPY   		2023	02	17	346	000	C P 	0	5000	360000000
SPY   		2023	02	17	347	000	C P 	0	7288	360000000
SPY   		2023	02	17	348	000	C P 	0	6028	360000000
SPY   		2023	02	17	349	000	C P 	0	4358	360000000
SPY   		2023	02	17	350	000	C P 	0	166882	360000000
SPY   		2023	02	17	351	000	C P 	0	8226	360000000
SPY   		2023	02	17	352	000	C P 	0	13816	360000000
SPY   		2023	02	17	353	000	C P 	0	20309	360000000
SPY   		2023	02	17	354	000	C P 	0	12753	360000000
SPY   		2023	02	17	355	000	C P 	0	38825	360000000
SPY   		2023	02	17	356	000	C P 	0	9127	360000000
SPY   		2023	02	17	357	000	C P 	0	5400	360000000
SPY   		2023	02	17	358	000	C P 	0	24909	360000000
SPY   		2023	02	17	359	000	C P 	0	5677	360000000
SPY   		2023	02	17	360	000	C P 	0	93095	360000000
SPY   		2023	02	17	361	000	C P 	0	5418	360000000
SPY   		2023	02	17	362	000	C P 	0	38843	360000000
SPY   		2023	02	17	363	000	C P 	0	32557	360000000
SPY   		2023	02	17	364	000	C P 	0	20226	360000000
SPY   		2023	02	17	365	000	C P 	0	58638	360000000
SPY   		2023	02	17	366	000	C P 	0	46245	360000000
SPY   		2023	02	17	367	000	C P 	0	5203	360000000
SPY   		2023	02	17	368	000	C P 	0	27456	360000000
SPY   		2023	02	17	369	000	C P 	0	7794	360000000
SPY   		2023	02	17	370	000	C P 	0	103467	360000000
SPY   		2023	02	17	371	000	C P 	0	15162	360000000
SPY   		2023	02	17	372	000	C P 	0	31217	360000000
