Series Search Results for SPY

Products for this option symbol are traded on: 
AMEX ARCA BATS BOX C2 CBOE EDGX EMLD GEM ISE MCRY MIAX MPRL NOBO NSDQ PHLX 

		Series/contract		Strike			Open Interest			
ProductSymbol	year	Month	Day	Integer	Dec	C/P	Call	Put	Position Limit	
SPY   		2023	01	23	300	000	C P 	0	712	360000000
SPY   		2023	01	23	305	000	C P 	0	52	360000000
SPY   		2023	01	23	310	000	C P 	0	21	360000000
SPY   		2023	01	23	315	000	C P 	0	200	360000000
SPY   		2023	01	23	320	000	C P 	0	300	360000000
SPY   		2023	01	23	325	000	C P 	0	53	360000000
SPY   		2023	01	23	330	000	C P 	0	466	360000000
SPY   		2023	01	23	331	000	C P 	0	353	360000000
SPY   		2023	01	23	332	000	C P 	0	486	360000000
SPY   		2023	01	23	333	000	C P 	0	128	360000000
SPY   		2023	01	23	334	000	C P 	0	1825	360000000
SPY   		2023	01	23	335	000	C P 	0	20	360000000
SPY   		2023	01	23	336	000	C P 	0	5	360000000
SPY   		2023	01	23	337	000	C P 	0	580	360000000
SPY   		2023	01	23	338	000	C P 	0	12	360000000
SPY   		2023	01	23	339	000	C P 	0	136	360000000
SPY   		2023	01	23	340	000	C P 	0	238	360000000
SPY   		2023	01	23	341	000	C P 	0	258	360000000
SPY   		2023	01	23	342	000	C P 	0	1516	360000000
SPY   		2023	01	23	343	000	C P 	0	3190	360000000
SPY   		2023	01	23	344	000	C P 	0	1355	360000000
SPY   		2023	01	23	345	000	C P 	0	1049	360000000
SPY   		2023	01	23	346	000	C P 	0	500	360000000
SPY   		2023	01	23	347	000	C P 	0	2	360000000
SPY   		2023	01	23	348	000	C P 	0	88	360000000
SPY   		2023	01	23	349	000	C P 	0	93	360000000
SPY   		2023	01	23	350	000	C P 	0	424	360000000
SPY   		2023	01	23	351	000	C P 	0	828	360000000
SPY   		2023	01	23	352	000	C P 	0	169	360000000
SPY   		2023	01	23	353	000	C P 	0	209	360000000
SPY   		2023	01	23	354	000	C P 	0	410	360000000
SPY   		2023	01	23	355	000	C P 	0	1213	360000000
SPY   		2023	01	23	356	000	C P 	0	1398	360000000
SPY   		2023	01	23	357	000	C P 	0	818	360000000
SPY   		2023	01	23	358	000	C P 	0	937	360000000
SPY   		2023	01	23	359	000	C P 	0	1979	360000000
SPY   		2023	01	23	360	000	C P 	0	439	360000000
SPY   		2023	01	23	361	000	C P 	0	137	360000000
SPY   		2023	01	23	362	000	C P 	0	4925	360000000
SPY   		2023	01	23	363	000	C P 	0	1375	360000000
SPY   		2023	01	23	364	000	C P 	0	161	360000000
SPY   		2023	01	23	365	000	C P 	0	2048	360000000
SPY   		2023	01	23	366	000	C P 	0	649	360000000
SPY   		2023	01	23	367	000	C P 	0	88	360000000
SPY   		2023	01	23	368	000	C P 	0	71	360000000
SPY   		2023	01	23	369	000	C P 	0	584	360000000
SPY   		2023	01	23	370	000	C P 	0	1202	360000000
SPY   		2023	01	23	371	000	C P 	0	1319	360000000
SPY   		2023	01	23	372	000	C P 	0	11525	360000000
SPY   		2023	01	23	373	000	C P 	0	5507	360000000
SPY   		2023	01	23	374	000	C P 	0	4905	360000000
SPY   		2023	01	23	375	000	C P 	0	3424	360000000
SPY   		2023	01	23	376	000	C P 	0	2485	360000000
SPY   		2023	01	23	377	000	C P 	0	8636	360000000
SPY   		2023	01	23	378	000	C P 	0	4302	360000000
SPY   		2023	01	23	379	000	C P 	0	6536	360000000
SPY   		2023	01	23	380	000	C P 	0	8621	360000000
SPY   		2023	01	23	381	000	C P 	0	18971	360000000
SPY   		2023	01	23	382	000	C P 	0	26458	360000000
SPY   		2023	01	23	383	000	C P 	0	33896	360000000
SPY   		2023	01	23	384	000	C P 	0	40016	360000000
SPY   		2023	01	23	385	000	C P 	0	34440	360000000
SPY   		2023	01	23	386	000	C P 	0	9927	360000000
SPY   		2023	01	23	387	000	C P 	0	15661	360000000
SPY   		2023	01	23	388	000	C P 	0	12912	360000000
SPY   		2023	01	23	389	000	C P 	0	16182	360000000
SPY   		2023	01	23	390	000	C P 	0	28750	360000000
SPY   		2023	01	23	391	000	C P 	0	22468	360000000
SPY   		2023	01	23	392	000	C P 	0	23895	360000000
SPY   		2023	01	23	393	000	C P 	0	26062	360000000
SPY   		2023	01	23	394	000	C P 	0	20097	360000000
SPY   		2023	01	23	395	000	C P 	0	21091	360000000
SPY   		2023	01	23	396	000	C P 	0	21481	360000000
SPY   		2023	01	23	397	000	C P 	0	17193	360000000
SPY   		2023	01	23	398	000	C P 	1	13392	360000000
SPY   		2023	01	23	399	000	C P 	2	18667	360000000
SPY   		2023	01	23	400	000	C P 	6	12395	360000000
SPY   		2023	01	23	401	000	C P 	31139	4	360000000
SPY   		2023	01	23	402	000	C P 	19787	0	360000000
SPY   		2023	01	23	403	000	C P 	27598	0	360000000
SPY   		2023	01	23	404	000	C P 	22800	0	360000000
SPY   		2023	01	23	405	000	C P 	16206	0	360000000
SPY   		2023	01	23	406	000	C P 	11208	0	360000000
SPY   		2023	01	23	407	000	C P 	7978	0	360000000
SPY   		2023	01	23	408	000	C P 	6794	0	360000000
